code,level1,level2,level3,name,native,evidence
3,1. Forest formation,1.1 Forest,,Forest,1,plots 2.5%
59,1. Forest formation,1.1 Forest,1.1.1 Primary Forest,Primary Forest,1,plots 7.6%
60,1. Forest formation,1.1 Forest,1.1.2 Secondary Forest,Secondary Forest,1,plots 22.9%; Nahuelbuta probe
61,1. Forest formation,1.1 Forest,1.1.3 Dwarf forest,Dwarf forest,1,envelope 0.01%
11,2. Natural non-forest formation,2.1 Wetland,,Wetland,1,MapBiomas convention
12,2. Natural non-forest formation,2.2 Grassland,,Grassland,1,plots 7.5%
63,2. Natural non-forest formation,2.3 Steppe,,Steppe,1,MapBiomas convention
66,2. Natural non-forest formation,2.4 Shrubland,,Shrubland,1,plots 48.3%
29,2. Natural non-forest formation,2.5 Rocky Outcrop,,Rocky Outcrop,0,high-Andes probe 3500 m
9,3. Farming and silviculture,3.1 Silviculture,,Silviculture,0,Constitucion pine plantation probe
18,3. Farming and silviculture,3.2 Agriculture,,Agriculture,0,plots 3.2%
15,3. Farming and silviculture,3.3 Pasture,,Pasture,0,MapBiomas convention
24,4. Non-vegetated area,4.1 Infrastructure,,Infrastructure,0,Santiago and Vina probes
23,4. Non-vegetated area,4.2 Beach Dune and Sand Spot,,Beach Dune and Sand Spot,0,MapBiomas convention
67,4. Non-vegetated area,4.3 Salt Flat,,Salt Flat,0,UNCONFIRMED
25,4. Non-vegetated area,4.4 Other non-vegetated area,,Other non-vegetated area,0,MapBiomas convention
33,5. Water bodies,5.1 River lake or ocean,,River lake or ocean,0,MapBiomas convention
34,5. Water bodies,5.2 Ice and snow,,Ice and snow,0,MapBiomas convention
0,6. Not observed,,,Not observed,0,ocean and outside Chile
79,,,,UNASSIGNED,0,UNCONFIRMED; envelope 0.00%
80,,,,UNASSIGNED,0,UNCONFIRMED; envelope 0.00%
