scheme,fold,held_out,n_test,test_median,test_mean,test_sd,train_mean,train_sd,pct_out_of_range
kfold5_dataset,0,fold0,220,6.0,7.99,6.98,6.97,7.71,0.5
kfold5_dataset,1,fold1,204,5.0,7.11,4.64,7.19,8.11,0.0
kfold5_dataset,2,fold2,228,5.0,11.14,11.68,6.12,5.57,0.0
kfold5_dataset,3,fold3,204,3.0,5.91,6.27,7.47,7.82,0.0
kfold5_dataset,4,fold4,226,3.0,3.59,2.15,8.12,8.19,0.0
kfold5_location,0,fold0,221,3.0,4.43,3.46,7.88,8.16,0.0
kfold5_location,1,fold1,218,5.0,6.42,3.89,7.37,8.24,0.0
kfold5_location,2,fold2,222,9.0,13.32,11.34,5.59,5.18,0.0
kfold5_location,3,fold3,221,4.0,5.86,7.47,7.51,7.57,0.5
kfold5_location,4,fold4,200,4.0,5.66,4.69,7.52,8.05,0.0
lodo_dataset,0,NA,21,22.0,24.24,12.77,6.84,7.04,4.8
lodo_dataset,1,md002,30,7.0,6.9,2.34,7.18,7.67,0.0
lodo_dataset,2,md003,39,17.0,17.05,5.38,6.81,7.39,0.0
lodo_dataset,3,md004,92,2.0,2.08,1.06,7.65,7.74,0.0
lodo_dataset,4,md005,21,4.0,4.38,1.47,7.23,7.64,0.0
lodo_dataset,5,md006,89,1.0,1.64,0.8,7.67,7.71,0.0
lodo_dataset,6,md008,37,5.0,5.08,2.07,7.25,7.69,0.0
lodo_dataset,7,md009,47,11.0,11.43,3.83,6.98,7.65,0.0
lodo_dataset,8,md015,57,13.0,13.18,3.85,6.84,7.59,0.0
lodo_dataset,9,md019,101,4.0,4.7,2.1,7.43,7.88,0.0
lodo_dataset,10,md020,127,6.0,6.75,2.53,7.23,8.01,0.0
lodo_dataset,11,md021,62,5.0,5.08,2.03,7.3,7.77,0.0
lodo_dataset,12,md022,181,3.0,2.88,1.32,8.04,8.01,0.0
lodo_dataset,13,md023,60,27.0,28.17,8.0,5.94,5.44,0.0
lodo_dataset,14,md025,49,5.0,5.53,2.61,7.25,7.72,0.0
