scheme,fold,held_out,n_test,test_median,test_mean,test_sd,train_mean,train_sd,pct_out_of_range
kfold5_block10,0,fold0,223,4.0,7.21,7.54,7.17,7.59,0.4
kfold5_block10,1,fold1,224,4.0,7.07,9.0,7.21,7.16,0.0
kfold5_block10,2,fold2,202,5.0,7.19,6.73,7.17,7.76,0.0
kfold5_block10,3,fold3,209,5.0,7.2,6.86,7.17,7.74,0.0
kfold5_block10,4,fold4,224,5.0,7.22,7.46,7.17,7.61,0.0
kfold5_block20,0,fold0,224,3.0,5.28,5.57,7.67,7.94,0.0
kfold5_block20,1,fold1,202,5.0,7.46,6.72,7.11,7.76,0.0
kfold5_block20,2,fold2,222,6.0,7.82,6.9,7.01,7.73,0.0
kfold5_block20,3,fold3,223,4.0,7.8,10.8,7.01,6.48,0.0
kfold5_block20,4,fold4,211,6.0,7.58,6.39,7.08,7.83,0.5
kfold5_block25,0,fold0,224,4.0,6.69,6.92,7.3,7.73,0.0
kfold5_block25,1,fold1,224,4.0,7.85,10.75,7.0,6.49,0.0
kfold5_block25,2,fold2,208,5.0,7.15,5.94,7.18,7.92,0.0
kfold5_block25,3,fold3,224,5.0,6.95,6.81,7.24,7.76,0.4
kfold5_block25,4,fold4,202,5.0,7.24,6.21,7.16,7.86,0.0
kfold5_dataset,0,fold0,220,6.0,7.99,6.98,6.97,7.71,0.5
kfold5_dataset,1,fold1,204,5.0,7.11,4.64,7.19,8.11,0.0
kfold5_dataset,2,fold2,228,5.0,11.14,11.68,6.12,5.57,0.0
kfold5_dataset,3,fold3,204,3.0,5.91,6.27,7.47,7.82,0.0
kfold5_dataset,4,fold4,226,3.0,3.59,2.15,8.12,8.19,0.0
kfold5_location,0,fold0,221,3.0,4.43,3.46,7.88,8.16,0.0
kfold5_location,1,fold1,218,5.0,6.42,3.89,7.37,8.24,0.0
kfold5_location,2,fold2,222,9.0,13.32,11.34,5.59,5.18,0.0
kfold5_location,3,fold3,221,4.0,5.86,7.47,7.51,7.57,0.5
kfold5_location,4,fold4,200,4.0,5.66,4.69,7.52,8.05,0.0
kfold5_owner,0,fold0,211,7.0,8.59,5.16,6.83,8.01,0.0
kfold5_owner,1,fold1,241,3.0,9.17,11.71,6.6,5.76,0.0
kfold5_owner,2,fold2,187,6.0,6.75,3.85,7.27,8.14,0.0
kfold5_owner,3,fold3,232,4.0,5.81,4.96,7.55,8.11,0.0
kfold5_owner,4,fold4,211,3.0,5.36,7.72,7.62,7.48,0.5
kfold5_owner_window,0,fold0,214,3.0,3.54,2.1,8.07,8.15,0.0
kfold5_owner_window,1,fold1,206,7.0,8.59,5.23,6.84,7.99,0.0
kfold5_owner_window,2,fold2,234,7.0,8.43,4.71,6.83,8.16,0.0
kfold5_owner_window,3,fold3,241,3.0,9.17,11.71,6.6,5.76,0.0
kfold5_owner_window,4,fold4,187,3.0,5.64,8.15,7.5,7.41,0.5
kfold5_random,0,fold0,217,5.0,7.44,7.95,7.11,7.48,0.0
kfold5_random,1,fold1,217,4.0,7.0,8.33,7.22,7.38,0.0
kfold5_random,2,fold2,216,5.0,7.0,7.12,7.22,7.69,0.0
kfold5_random,3,fold3,216,5.0,6.94,6.58,7.24,7.8,0.0
kfold5_random,4,fold4,216,5.0,7.5,7.82,7.1,7.51,0.5
kfold5_window,0,fold0,215,4.0,7.16,7.58,7.18,7.58,0.0
kfold5_window,1,fold1,218,5.0,7.16,7.58,7.18,7.58,0.0
kfold5_window,2,fold2,209,5.0,7.15,7.57,7.18,7.58,0.0
kfold5_window,3,fold3,212,5.0,7.22,7.62,7.17,7.57,0.0
kfold5_window,4,fold4,228,5.0,7.19,7.59,7.17,7.57,0.4
kfold_loc_time,0,s0t0,26,3.0,7.65,10.51,7.92,7.76,0.0
kfold_loc_time,1,s0t1,41,12.0,11.83,5.23,8.07,8.66,0.0
kfold_loc_time,2,s0t2,3,3.0,3.33,0.58,7.72,8.59,0.0
kfold_loc_time,3,s0t3,6,1.0,1.33,0.52,6.73,6.48,0.0
kfold_loc_time,4,s0t4,148,3.0,3.25,1.71,7.63,6.56,0.0
kfold_loc_time,5,s1t0,25,3.0,8.52,12.44,7.29,7.6,0.0
kfold_loc_time,6,s1t1,46,10.0,10.87,6.23,7.21,8.42,0.0
