"n","reps","dark_n_mean","dark_n_mean_lo","dark_n_mean_hi","dark_n_median","dark_n_median_lo","dark_n_median_hi"
100,100,9.3736,6.90975,13.68275,7.02,5,9.7625
138,100,12.7298550724638,9.63134057971014,16.1835144927536,10.08,8,13
191,100,16.1056020942408,12.9387434554974,20.4236910994764,12.92,11,16
264,100,20.7593560606061,16.9035037878788,26.0157196969697,17.225,14,21
364,100,25.3993956043956,21.0208791208791,30.6962225274725,21.285,17,26.525
503,100,31.4179324055666,27.5028827037773,36.1286282306163,27.15,21.475,33
695,100,37.0149928057554,32.289964028777,41.1390647482014,32.82,27.475,38.525
960,100,44.167125,39.2962239583333,49.7288541666667,40.895,33.45,48
1326,100,51.2842383107089,47.3589177978884,55.5490196078431,48.92,42,55.525
1832,100,59.2247762008734,54.7898744541485,62.6585835152838,58.3,52,63
2531,100,68.2555116554721,65.4239529830107,71.2653891742394,68.8,64,72.525
3497,1,77.3177008864741,77.3177008864741,77.3177008864741,80,80,80
