Location,n_plots,n_locations,years,richness_median,strata,owner
Mapocho,129,1,2022-2024,3.0,counts,"Lopatin, J."
Cauquenes,127,1,2019-2025,6.0,counts,"Galleguillos, M."
Coquimbo,60,1,2022-2022,27.0,counts,"Becerra, P.I."
Petorca,52,1,2025-2025,3.0,counts,"Lopatin, J."
Quebrada_Bellotal,47,1,2019-2019,11.0,cover,"Ovalle, J.F."
Monte_oscuro,39,1,2013-2013,17.0,cover,"Galleguillos, M."
Las_Cardas,30,1,2012-2012,7.0,cover,"Galleguillos, M."
San_Carlos_de_Apoquindo,27,1,2010-2021,2.0,cover,"Miranda, A."
Casa_Blanca,26,1,2010-2014,2.0,cover,"Miranda, A."
Embalse_Caren,25,1,2026-2026,5.0,counts,"Ovalle, J.F."
Pirque,24,1,2010-2019,2.0,"cover,presence","Miranda, A."
Cachagua,22,1,2010-2014,2.0,cover,"Miranda, A."
NA,21,1,2003-2012,22.0,"basal,cover",sPlot
Pichidangui,17,1,2010-2010,2.0,cover,"Miranda, A."
Cerro_Chena,14,1,2021-2021,5.0,cover,"Ovalle, J.F."
Viña_Matetic,11,1,2022-2022,5.0,presence,"Ovalle, J.F."
Curepto,11,1,2017-2017,5.0,presence,"Ovalle, J.F."
Maitencillo,11,1,2019-2019,6.0,presence,"Ovalle, J.F."
Cerro_Negro,10,1,2021-2021,5.0,cover,"Ovalle, J.F."
Rio_Clarillo,10,1,2014-2020,2.0,cover,"Dobbs, C. & Miranda, M.D."
Lliu_Lliu,8,1,2014-2022,5.0,"counts,cover","Altamirano, A."
Sauzal,8,1,2021-2021,4.0,presence,"Ovalle, J.F."
Parque_La_Giganta,8,1,2022-2022,4.0,counts,"Craven, D."
Cerro_Los_Morros,7,1,2021-2021,6.0,cover,"Ovalle, J.F."
Mina_Florida,7,1,2026-2026,4.0,counts,"Ovalle, J.F."
Bosque_Santiago,7,1,2020-2020,1.0,cover,"Dobbs, C. & Miranda, M.D."
Aguas_de_Ramon,7,1,2019-2020,1.0,"cover,presence","Dobbs, C. & Miranda, M.D."
Humedal_Batuco,7,1,2020-2020,1.0,cover,"Dobbs, C. & Miranda, M.D."
Farrellones_de_Santa_Elena,7,1,2020-2020,1.0,cover,"Dobbs, C. & Miranda, M.D."
Quebrada_de_la_Plata,7,1,2020-2020,1.0,cover,"Dobbs, C. & Miranda, M.D."
Viña_Tarapaca,7,1,2020-2020,2.0,cover,"Dobbs, C. & Miranda, M.D."
Altos_de_Chicauma,6,1,2020-2020,2.0,cover,"Dobbs, C. & Miranda, M.D."
Bosque_Panul,6,1,2020-2020,2.0,cover,"Dobbs, C. & Miranda, M.D."
Cerro_Lo_Herrera,6,1,2021-2021,4.0,cover,"Ovalle, J.F."
Cantalao,6,1,2020-2020,1.5,cover,"Dobbs, C. & Miranda, M.D."
