species,family,becerra,parcelas_cl_resto,living_trees,n_parcelas,en_conteos,forma,fuente,motivo
Lithraea caustica,Anacardiaceae,0,472,120,592,True,lenosa,especie,
Drimys winteri,Winteraceae,0,31,517,548,True,lenosa,especie,
Cryptocarya alba,Lauraceae,0,390,153,543,True,lenosa,especie,
Nothofagus dombeyi,Nothofagaceae,0,15,493,508,True,lenosa,especie,
Nothofagus obliqua,Nothofagaceae,0,84,392,476,True,lenosa,especie,
Gevuina avellana,Proteaceae,0,94,312,406,True,lenosa,especie,
Laureliopsis philippiana,Atherospermataceae,0,2,384,386,True,lenosa,especie,
Peumus boldus,Monimiaceae,0,265,98,363,True,lenosa,especie,
Quillaja saponaria,Quillajaceae,0,234,105,339,True,lenosa,especie,
Nothofagus pumilio,Nothofagaceae,0,0,332,332,True,lenosa,especie,
Amomyrtus luma,Myrtaceae,0,2,288,290,True,lenosa,especie,
Luma apiculata,Myrtaceae,0,98,176,274,True,lenosa,especie,
Vachellia caven,Fabaceae,16,220,34,270,True,lenosa,especie,
Persea lingue,Lauraceae,0,110,159,269,True,lenosa,especie,
Nothofagus nitida,Nothofagaceae,0,0,231,231,True,lenosa,especie,
Aextoxicon punctatum,Aextoxicaceae,0,54,171,225,True,lenosa,especie,
Weinmannia trichosperma,Cunoniaceae,0,0,223,223,True,lenosa,especie,
Podocarpus nubigena,Podocarpaceae,0,0,217,217,True,lenosa,especie,
Eucryphia cordifolia,Cunoniaceae,0,0,213,213,True,lenosa,especie,
Nothofagus glauca,Nothofagaceae,0,142,58,200,True,lenosa,especie,
Saxegothaea conspicua,Podocarpaceae,0,0,197,197,True,lenosa,especie,
Caldcluvia paniculata,Cunoniaceae,0,0,194,194,True,lenosa,especie,
Nothofagus betuloides,Nothofagaceae,0,0,189,189,True,lenosa,especie,
Lomatia dentata,Proteaceae,0,84,84,168,True,lenosa,especie,
Nothofagus alpina,Nothofagaceae,0,3,164,167,True,lenosa,especie,
Aristotelia chilensis,Elaeocarpaceae,0,116,44,160,True,lenosa,especie,
Escallonia pulverulenta,Escalloniaceae,0,145,14,159,True,lenosa,especie,
Lomatia hirsuta,Proteaceae,0,47,102,149,True,lenosa,especie,
Lomatia ferruginea,Proteaceae,0,1,145,146,True,lenosa,especie,
Kageneckia oblonga,Rosaceae,0,103,37,140,True,lenosa,especie,
Embothrium coccineum,Proteaceae,0,3,132,135,True,lenosa,especie,
Maytenus boaria,Celastraceae,0,102,29,131,True,lenosa,especie,
Tepualia stipularis,Myrtaceae,0,0,127,127,True,lenosa,especie,
Dasyphyllum diacanthoides,Asteraceae,0,11,116,127,True,lenosa,genero,
Baccharis linearis,Asteraceae,11,109,0,120,True,lenosa,especie,
Nothofagus antárctica,Nothofagaceae,0,0,112,112,True,lenosa,genero,
Pseudopanax laetevirens,Araliaceae,0,0,112,112,True,lenosa,manual,arbol; el catalogo lo trae como Raukaua
Colliguaja odorifera,Euphorbiaceae,14,94,0,108,True,lenosa,especie,
Azara petiolaris,Salicaceae,0,90,17,107,True,lenosa,especie,
Porlieria chilensis,Zygophyllaceae,45,50,3,98,True,lenosa,especie,
Schinus latifolius,Anacardiaceae,0,71,23,94,True,lenosa,especie,
Retanilla trinervia,Rhamnaceae,0,94,0,94,True,lenosa,especie,
Myrceugenia exsucca,Myrtaceae,0,14,75,89,True,lenosa,especie,
Laurelia sempervirens,Atherospermataceae,0,6,79,85,True,lenosa,especie,
Rhaphithamnus spinosus,Verbenaceae,0,24,60,84,True,lenosa,especie,
Amomyrtus meli,Myrtaceae,0,0,79,79,True,lenosa,especie,
Pinus radiata,Pinaceae,0,74,0,74,True,lenosa,especie,
Flourensia thurifera,Asteraceae,23,50,0,73,True,lenosa,especie,
Myrceugenia planipes,Myrtaceae,0,3,69,72,True,lenosa,especie,
Proustia cuneifolia,Asteraceae,36,36,0,72,True,lenosa,especie,
Leucostele chiloensis,,0,68,0,68,True,lenosa,manual,cactus columnar; antes Echinopsis/Trichocereus
Pilgerodendron uviferum,Cupressaceae,0,0,60,60,True,lenosa,especie,
Erodium cicutarium,Geraniaceae,59,0,0,59,True,herbacea,especie,
Citronella mucronata,Cardiopteridaceae,0,48,11,59,True,lenosa,manual,arbol; el catalogo lo trae como Villaresia
Azara integrifolia,Salicaceae,0,50,8,58,True,lenosa,genero,
Cistanthe arenaria,Montiaceae,57,0,0,57,True,herbacea,especie,
Montiopsis trifida,Montiaceae,56,0,0,56,True,herbacea,genero,
Ephedra chilensis,Ephedraceae,26,29,0,55,True,lenosa,especie,
Gochnatia foliolosa,Asteraceae,0,55,0,55,True,lenosa,especie,
Austrocedrus chilensis,Cupressaceae,0,4,50,54,True,lenosa,especie,
Oxalis corniculata,Oxalidaceae,54,0,0,54,True,herbacea,especie,
Lastarriaea chilensis,Polygonaceae,54,0,0,54,True,herbacea,especie,
Gutierrezia resinosa,Asteraceae,32,22,0,54,True,lenosa,especie,
Cestrum parqui,Solanaceae,0,52,0,52,True,lenosa,especie,
Senna cumingii,Fabaceae,40,11,0,51,True,lenosa,especie,
Cumulopuntia sphaerica,Cactaceae,51,0,0,51,True,lenosa,especie,
Araucaria araucana,Araucariaceae,0,9,41,50,True,lenosa,especie,
Pectocarya linearis,Boraginaceae,48,0,0,48,True,herbacea,especie,
Camissonia dentata,Onagraceae,48,0,0,48,True,herbacea,especie,
Schinus polygama,Anacardiaceae,5,41,0,46,True,lenosa,genero,
Trevoa quinquenervia,Rhamnaceae,0,46,0,46,True,lenosa,especie,
Bromus berteroanus,Poaceae,43,1,0,44,True,herbacea,especie,
Calandrinia compressa,Montiaceae,43,0,0,43,True,herbacea,especie,
Eulychnia acida,Cactaceae,35,8,0,43,True,lenosa,genero,
Adesmia tenella,Fabaceae,43,0,0,43,True,herbacea,especie,
Plantago hispidula,Plantaginaceae,42,0,0,42,True,herbacea,especie,
Sophora macrocarpa,Fabaceae,0,41,0,41,True,lenosa,especie,
Leucocoryne ixioides,Amaryllidaceae,40,0,0,40,True,herbacea,especie,
Fitzroya cupressoides,Cupressaceae,0,0,38,38,True,lenosa,especie,
Tetraglochin alata,Rosaceae,0,38,0,38,True,lenosa,genero,
Muehlenbeckia hastulata,Polygonaceae,1,37,0,38,True,lenosa,especie,
Schinus latifolia,Anacardiaceae,0,38,0,38,False,lenosa,genero,
Baccharis paniculata,Asteraceae,5,32,0,37,True,lenosa,especie,
Proustia pyrifolia,Asteraceae,0,36,0,36,True,lenosa,especie,
Crinodendron patagua,Elaeocarpaceae,0,18,17,35,True,lenosa,especie,
Ribes punctatum,Grossulariaceae,0,34,0,34,False,lenosa,genero,
Herniaria cinerea,Caryophyllaceae,33,0,0,33,True,herbacea,especie,
Azara celastrina,Salicaceae,0,21,12,33,True,lenosa,especie,
Aristeguietia salvia,Asteraceae,0,31,0,31,True,lenosa,especie,
Gilia valdiviensis,Polemoniaceae,31,0,0,31,True,herbacea,especie,
Kageneckia angustifolia,Rosaceae,0,27,2,29,True,lenosa,especie,
Montiopsis ramosissima,Montiaceae,29,0,0,29,True,herbacea,especie,
Luma chequen,Myrtaceae,0,24,4,28,True,lenosa,especie,
