site_id,X,Y,lon,lat,year,win_start,win_end,cell,n_obs_center,n_obs_mean5x5,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,error
LT0027,505736.0000000001,4045298.0000000056,-68.9130327325657,-53.7409340888734,2019,2017.0,2019.0,101_809,55.0,62.0,102.0,5.721311475409836,0.3105747126436781,"{""2017"": 16, ""2018"": 19, ""2019"": 27}",3.0,5.0,5.0,"landsat7,landsat8",
LT0009,509885.9999999975,3949147.000000002,-68.8469548619121,-54.6050411843061,2015,2013.0,2015.0,102_790,25.0,30.0,117.0,11.862068965517242,0.163235294117647,"{""2013"": 9, ""2014"": 8, ""2015"": 13}",3.0,5.0,5.0,"landsat7,landsat8",
LT0010,508914.0000000032,3949519.999999998,-68.8620136761992,-54.6017071241703,2015,2013.0,2015.0,102_790,17.0,21.0,169.0,17.3,0.1244117647058823,"{""2013"": 4, ""2014"": 6, ""2015"": 11}",3.0,5.0,5.0,"landsat7,landsat8",
LT0014,512096.9999999984,3982737.0000000047,-68.8140993470909,-54.3031134265657,2017,2015.0,2017.0,102_797,41.0,44.0,112.0,8.186046511627907,0.2278709677419355,"{""2015"": 14, ""2016"": 16, ""2017"": 14}",3.0,5.0,5.0,"landsat7,landsat8",
LT0020,508247.0000000008,4015326.000000004,-68.8741556944634,-54.0102912454639,2013,2011.0,2013.0,102_803,22.0,25.0,119.0,13.708333333333334,0.2432183908045977,"{""2011"": 4, ""2012"": 7, ""2013"": 14}",3.0,5.0,5.0,"landsat7,landsat8",
LT0024,508752.0000000027,4025443.000000003,-68.8667400728942,-53.9193518839837,2013,2011.0,2013.0,102_805,22.0,28.0,130.0,12.51851851851852,0.2168,"{""2011"": 7, ""2012"": 7, ""2013"": 14}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT0025,507950.9999999982,4031459.999999998,-68.8790924428138,-53.8652836443907,2019,2017.0,2019.0,102_806,46.0,51.0,101.0,7.04,0.2681656804733728,"{""2017"": 21, ""2018"": 11, ""2019"": 19}",3.0,5.0,5.0,"landsat7,landsat8",
LT0018,513860.0000000003,3996911.000000007,-68.78766168072,-54.1756798702508,2013,2011.0,2013.0,103_799,16.0,21.0,127.0,17.0,0.188235294117647,"{""2011"": 5, ""2012"": 5, ""2013"": 11}",3.0,5.0,5.0,"landsat7,landsat8",
LT0012,518514.000000001,3966044.999999996,-68.714448020304,-54.4529361424871,2017,2015.0,2017.0,104_793,23.0,29.0,117.0,12.535714285714286,0.144,"{""2015"": 11, ""2016"": 12, ""2017"": 6}",3.0,5.0,5.0,"landsat7,landsat8",
LT0013,518387.9999999985,3973265.0000000047,-68.716838959695,-54.3880533073754,2017,2015.0,2017.0,104_795,33.0,40.0,118.0,9.0,0.2046451612903226,"{""2015"": 15, ""2016"": 15, ""2017"": 10}",3.0,5.0,5.0,"landsat7,landsat8",
