plot_id,lat,lon,year,md,peak_obs,trough_obs,peak_har,strength,aseasonal,amp
32477,-30.659559999999953,-71.67569,2003,NA,272.0,364.0,237.632706117451,0.27776019659245443,0.0,0.3118587762117385
32479,-30.675189999999994,-71.67606,2003,NA,272.0,67.0,252.75220996368188,0.2791058278869904,0.0,0.7852768566459418
32532,-37.80289000000002,-73.0241,2012,NA,122.0,165.0,28.826618053251416,0.047139261283126226,1.0,0.2190811687707901
32644,-37.82254999999997,-72.9969,2006,NA,173.0,208.0,37.35264520226686,0.14016849808678317,0.56,0.4714797181742532
32645,-37.82301999999999,-72.99763,2006,NA,9.0,216.0,38.729669648764066,0.1740262297520871,0.4,0.5260202341846058
32660,-35.83395000000004,-72.50047,2006,NA,9.0,208.0,19.65712351311559,0.3853728678570613,0.0,0.6202169013134802
32661,-35.83369999999999,-72.50045,2006,NA,9.0,173.0,18.749542028013433,0.38986277975362027,0.0,0.5880653964799075
32662,-35.83342000000002,-72.5004,2006,NA,9.0,216.0,18.030627185981768,0.39325129328564645,0.0,0.5830125472818812
32665,-35.833369999999974,-72.50028,2006,NA,9.0,216.0,18.030627185981768,0.39325129328564645,0.0,0.5830125472818812
32666,-35.817519999999966,-72.50052000000001,2006,NA,73.0,159.0,30.45863811145418,0.09785397439634916,0.84,0.5162087872127694
32668,-35.83338000000002,-72.50058,2006,NA,9.0,216.0,18.749542028013433,0.3953178680812174,0.0,0.5554126311171179
32673,-35.98363000000002,-72.6837,2006,NA,208.0,272.0,113.82823833904916,0.036292780087095806,1.0,0.1699675706661108
32674,-35.98359999999997,-72.6837,2006,NA,208.0,272.0,113.82823833904916,0.036292780087095806,1.0,0.1699675706661108
32675,-35.98362000000003,-72.6839,2006,NA,87.0,272.0,114.42830693408378,0.03430944762203254,1.0,0.15855953097343445
32678,-35.98334999999999,-72.68362,2006,NA,208.0,272.0,113.82823833904916,0.03362437758486058,1.0,0.1888109328530052
32679,-35.983449999999976,-72.6836,2006,NA,208.0,272.0,113.82823833904916,0.036292780087095806,1.0,0.1699675706661108
32683,-37.39087999999997,-71.40052,2006,NA,94.0,201.0,45.137957643666965,0.19010801317280643,0.08,0.2993715638915698
32695,-37.38312999999998,-71.47565,2006,NA,129.0,8.0,102.64071629702039,0.06585079815602854,0.92,0.11915705104668933
32742,-33.717530000000004,-70.50988,2006,NA,281.0,69.0,260.5142124814805,0.13590529500938353,0.6,0.2241389046112695
32745,-34.30520000000003,-70.44975,2006,NA,337.0,265.0,21.52930992839259,0.09968123016480936,0.72,0.14714221755663548
32759,-34.229750000000024,-70.51557,2006,NA,230.0,72.0,238.1697414440249,0.17639844532050422,0.36,0.20497287054856622
PCL0161,-30.26458118637716,-71.2731861707276,2012,md002,215.0,66.0,226.4203566656864,0.4955726126807653,0.0,0.228917939911286
PCL0162,-30.275303975719606,-71.26221326102403,2012,md002,215.0,10.0,225.2684133017397,0.555044538495717,0.0,0.28464695990085603
PCL0163,-30.263439446743508,-71.29001578825972,2012,md002,237.0,38.0,232.8242215816618,0.5870835692587267,0.0,0.3794440279404322
PCL0164,-30.270981498679618,-71.27613217094414,2012,md002,237.0,45.0,228.4922623882486,0.6008217363935773,0.0,0.41680764545996984
PCL0165,-30.27232733251767,-71.24628016195688,2012,md002,194.0,45.0,220.24914370148534,0.48984645156101386,0.0,0.27067752699057257
PCL0166,-30.256768594065875,-71.25244528831296,2012,md002,230.0,3.0,223.83780194795648,0.4730622388326716,0.0,0.2855946438014507
PCL0167,-30.256561843300116,-71.26645638456371,2012,md002,194.0,10.0,219.08705311343354,0.45224209203355353,0.0,0.30131986131270727
PCL0168,-30.269033422077786,-71.24713571206617,2012,md002,230.0,10.0,228.06816426485125,0.5008634198822313,0.0,0.37062592566013336
PCL0169,-30.281076505569253,-71.30350192305133,2012,md002,237.0,152.0,236.34808920113753,0.5466674166646336,0.0,0.3711220928835563
PCL0170,-30.2764474014559,-71.28934527027631,2012,md002,237.0,10.0,226.54012562120215,0.5243969787917776,0.0,0.3015172815322875
PCL0171,-30.294421300684277,-71.28232047550893,2012,md002,237.0,73.0,233.09315295833346,0.528913733738602,0.0,0.23553423638145132
PCL0172,-30.25542278443123,-71.23653019176804,2012,md002,237.0,73.0,236.73811259051413,0.6102058578033238,0.0,0.3157170983652274
PCL0173,-30.270959265718812,-71.2303340096269,2012,md002,237.0,123.0,239.6917253012582,0.4926584246416664,0.0,0.41303202966849
PCL0174,-30.29924695606568,-71.23845406122605,2012,md002,237.0,95.0,233.195664664675,0.4957919826330632,0.0,0.2767841431498528
PCL0175,-30.284649685757362,-71.28396856437158,2012,md002,237.0,88.0,234.07411303188434,0.5908464299346726,0.0,0.4688829760750135
PCL0176,-30.288557824153674,-71.29151603363839,2012,md002,237.0,10.0,234.9534879051715,0.5666567429906457,0.0,0.49120135575532914
PCL0177,-30.24992920735592,-71.27379675526802,2012,md002,194.0,38.0,229.95955769050983,0.5774545769401357,0.0,0.4314340007305145
PCL0178,-30.269923256263397,-71.28923395147645,2012,md002,194.0,95.0,213.85098113232866,0.06942762096637038,0.64,0.17825807432333624
PCL0179,-30.29815896457069,-71.30107284115884,2012,md002,237.0,10.0,255.39867275453238,0.4512488583148496,0.0,0.4636547231674194
PCL0180,-30.25778371428876,-71.28987296747854,2012,md002,237.0,73.0,239.16731896473772,0.5335146135459903,0.0,0.39290052031477296
PCL0181,-30.269553608423294,-71.31259733262203,2012,md002,237.0,88.0,247.3349616724658,0.46860350627649305,0.0,0.4488903574148813
PCL0182,-30.251459345318217,-71.2794512613735,2012,md002,237.0,10.0,229.4530361084174,0.5758954665142001,0.0,0.3542068646848202
PCL0183,-30.293306602667563,-71.25326618032939,2012,md002,194.0,3.0,221.7838598354565,0.5138193147756644,0.0,0.28731930265824
PCL0184,-30.288388346581755,-71.25598265051222,2012,md002,194.0,38.0,224.5375566062002,0.5793506880405622,0.0,0.32623362223307284
PCL0185,-30.26306365710161,-71.26570516686351,2012,md002,194.0,88.0,216.84614803941824,0.4699945033491827,0.0,0.3779475329319636
PCL0186,-30.253590067569235,-71.24863913249658,2012,md002,237.0,10.0,227.95793081525616,0.5485407767013368,0.0,0.34755116268992425
PCL0187,-30.283348610108273,-71.26522406154865,2012,md002,237.0,130.0,229.51173758385534,0.6158077403738758,0.0,0.36054285109043116
PCL0188,-30.291161993831263,-71.23641480884675,2012,md002,194.0,144.0,232.365182909811,0.4883872232740465,0.0,0.3097697836313492
PCL0189,-30.281768124470904,-71.31104710605912,2012,md002,237.0,137.0,240.62004659720242,0.4864376459574237,0.0,0.3894786733197861
PCL0190,-30.27891820187099,-71.28755253398101,2012,md002,237.0,144.0,230.39624533556326,0.5906558702854587,0.0,0.38572966590141644
PCL0191,-36.22268184195151,-72.62721710500176,2013,md003,365.0,193.0,22.923755797781364,0.11302750813293018,0.6,0.3372424016396205
PCL0192,-35.98821468660228,-72.471474334046,2013,md003,122.0,193.0,16.674552963697742,0.06990833312849086,1.0,0.2781803218523661
PCL0193,-36.09909421027899,-72.57206604840196,2013,md003,122.0,365.0,91.1507110543005,0.05189813689637654,1.0,0.12464184165000913
PCL0194,-36.139780670839315,-72.4638610420678,2013,md003,158.0,343.0,181.51032780607085,0.12179120264510222,0.84,0.25319238787605647
PCL0195,-35.98222481755349,-72.37395697698523,2013,md003,215.0,1.0,193.613818649101,0.07149009364199105,1.0,0.21473150968551624
PCL0196,-35.99690690152373,-72.39502048985084,2013,md003,222.0,1.0,208.93063466267375,0.07472169742076133,0.72,0.2525266428788502
PCL0197,-36.15851719525201,-72.35920627125152,2013,md003,365.0,1.0,211.69883305238938,0.023553134790566324,0.92,0.18593299388885498
PCL0198,-36.12464354803257,-72.56480204675587,2013,md003,150.0,1.0,183.4135211498277,0.065533313553215,1.0,0.27117609182993563
PCL0199,-36.11598284351181,-72.55291686726235,2013,md003,215.0,8.0,234.51603317194642,0.028647917844642226,1.0,0.24359402060508728
PCL0200,-36.16667486148543,-72.66764638559918,2013,md003,122.0,1.0,137.91414126661832,0.03624385399123667,1.0,0.2439839425541106
PCL0201,-36.004010168143026,-72.46826321009618,2013,md003,158.0,1.0,180.8845195935336,0.10302885158821873,1.0,0.29645826447577706
PCL0202,-36.09755751277829,-72.57095832661408,2013,md003,222.0,365.0,145.8990071688641,0.06392752072328162,1.0,0.4245401008923849
PCL0203,-36.15233586343345,-72.3958761820631,2013,md003,143.0,1.0,184.7417143427445,0.1727802783140588,0.28,0.32025054494539895
PCL0204,-36.15176472177062,-72.39489488999543,2013,md003,143.0,1.0,182.07806354807477,0.17050595840761015,0.24,0.41566304167111723
PCL0205,-36.09701408195366,-72.57349610646266,2013,md003,279.0,1.0,175.9004744655328,0.10077646572447929,0.72,0.2419773161411285
PCL0206,-36.15548059647816,-72.3838582379123,2013,md003,200.0,1.0,185.0703647302836,0.16043235164382455,0.2,0.28909284631411236
PCL0207,-36.09444806317767,-72.5051986021516,2013,md003,236.0,22.0,224.46165826353302,0.1212361391437878,0.68,0.3241441970070203
