plot_id,census_year,win_start,win_end,n_obs,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,indices_ok,plot_size_m2,n_landsat_px_covered,metadata_id,Location,lat,lon
PCL0647,2013,2011,2013,45,24.0,8.227272727272727,0.562,"{""2011"": 9, ""2012"": 11, ""2013"": 25}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Rio_Biobio,-36.77250000000004,-73.18166666666667
PCL0662,2013,2011,2013,49,35.0,7.541666666666667,0.5895,"{""2011"": 12, ""2012"": 13, ""2013"": 24}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Zañartu,-36.79805555555558,-73.16305555555556
32532,2012,2010,2012,80,16.0,4.594936708860759,0.4710077519379845,"{""2010"": 24, ""2011"": 28, ""2012"": 28}",3,5,5,"landsat5,landsat7","evi,kndvi,nbr,ndvi,savi",500.0,0.5555555555555556,NA,NA,-37.80289000000002,-73.0241
PCL0634,2013,2011,2013,45,27.0,8.227272727272727,0.5225316455696203,"{""2011"": 9, ""2012"": 9, ""2013"": 27}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Nonguén,-36.87833333333331,-72.99444444444444
PCL0654,2013,2011,2013,92,20.0,4.0,0.49333333333333335,"{""2011"": 30, ""2012"": 24, ""2013"": 38}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,San_Ramón,-37.872222222222234,-73.00194444444445
PCL0655,2013,2011,2013,92,20.0,4.0,0.49333333333333335,"{""2011"": 30, ""2012"": 24, ""2013"": 38}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,San_Ramón,-37.872222222222206,-73.00166666666667
32644,2006,2004,2006,109,21.0,3.3703703703703702,0.4776470588235294,"{""2004"": 39, ""2005"": 38, ""2006"": 32}",3,5,5,"landsat5,landsat7","evi,kndvi,nbr,ndvi,savi",100.0,0.1111111111111111,NA,NA,-37.82254999999997,-72.9969
32645,2006,2004,2006,107,21.0,3.4339622641509435,0.46058823529411763,"{""2004"": 38, ""2005"": 39, ""2006"": 30}",3,5,5,"landsat5,landsat7","evi,kndvi,nbr,ndvi,savi",100.0,0.1111111111111111,NA,NA,-37.82301999999999,-72.99763
PCL0593,2013,2011,2013,92,30.0,3.956043956043956,0.4980392156862745,"{""2011"": 33, ""2012"": 22, ""2013"": 37}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Chanleo,-37.77416666666665,-72.96638888888889
PCL0640,2013,2011,2013,47,27.0,7.869565217391305,0.497283950617284,"{""2011"": 8, ""2012"": 13, ""2013"": 26}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Penco,-36.744166666666665,-72.92555555555556
PCL0643,2013,2011,2013,88,16.0,4.160919540229885,0.49261744966442955,"{""2011"": 24, ""2012"": 25, ""2013"": 39}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Pichaco,-36.90944444444444,-72.87194444444444
PCL0630,2013,2011,2013,48,19.0,7.702127659574468,0.5953846153846154,"{""2011"": 15, ""2012"": 11, ""2013"": 22}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Los_Ruiles,-35.83305555555555,-72.84333333333333
PCL0582,2013,2011,2013,91,20.0,4.0,0.5124183006535947,"{""2011"": 28, ""2012"": 23, ""2013"": 40}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Angol,-37.76694444444445,-72.78277777777778
PCL0616,2013,2011,2013,72,24.0,5.098591549295775,0.4165034965034965,"{""2011"": 23, ""2012"": 18, ""2013"": 31}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Itata,-36.401111111111106,-72.72805555555557
PCL0628,2013,2011,2013,53,21.0,6.961538461538462,0.6085,"{""2011"": 15, ""2012"": 11, ""2013"": 27}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",400.0,0.4444444444444444,md015,Los_Queules,-35.98722222222223,-72.68916666666667
PCL0200,2013,2011,2013,77,27.0,4.7631578947368425,0.5132824427480916,"{""2011"": 18, ""2012"": 26, ""2013"": 33}",3,5,5,"landsat5,landsat7,landsat8","evi,kndvi,nbr,ndvi,savi",225.0,0.25,md003,Monte_oscuro,-36.16667486148543,-72.66764638559918
PCL0889,2023,2021,2023,89,19.0,4.056818181818182,0.7286666666666667,"{""2021"": 28, ""2022"": 34, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.02881320387533,-72.6764962251924
PCL0890,2023,2021,2023,89,19.0,4.056818181818182,0.7286666666666667,"{""2021"": 28, ""2022"": 34, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.02846985116345,-72.67696460011415
PCL0891,2023,2021,2023,89,19.0,4.056818181818182,0.7276666666666667,"{""2021"": 28, ""2022"": 34, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.029155675245896,-72.67602898172487
PCL0892,2023,2021,2023,89,19.0,4.056818181818182,0.731,"{""2021"": 29, ""2022"": 33, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.02949900245597,-72.67555948967696
PCL0900,2023,2021,2023,89,19.0,4.056818181818182,0.7243333333333334,"{""2021"": 28, ""2022"": 34, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.028124716248556,-72.67743413291656
PCL0901,2023,2021,2023,88,19.0,4.103448275862069,0.7196666666666667,"{""2021"": 28, ""2022"": 33, ""2023"": 27}",3,5,5,"landsat7,landsat8,landsat9","evi,kndvi,nbr,ndvi,savi",706.85,0.7853888888888889,md020,Cauquenes,-36.02778048017223,-72.677903635186
32673,2006,2004,2006,70,22.0,5.260869565217392,0.666530612244898,"{""2004"": 23, ""2005"": 24, ""2006"": 23}",3,5,5,"landsat5,landsat7","evi,kndvi,nbr,ndvi,savi",100.0,0.1111111111111111,NA,NA,-35.98363000000002,-72.6837
32674,2006,2004,2006,70,22.0,5.260869565217392,0.666530612244898,"{""2004"": 23, ""2005"": 24, ""2006"": 23}",3,5,5,"landsat5,landsat7","evi,kndvi,nbr,ndvi,savi",100.0,0.1111111111111111,NA,NA,-35.98359999999997,-72.6837
