plot_id,index,px,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51
32477,ndvi,center,0.2976993,0.29869395,0.30043405,0.3070679,0.3138683,0.3293072,0.34892794,0.36718494,0.377611,0.39238352,0.39867723,0.40296468,0.41076553,0.42984205,0.44267845,0.4720009,0.48845735,0.4881218,0.48906863,0.4936049,0.49723768,0.51084113,0.53822404,0.5445158,0.5271191,0.47360706,0.42150533,0.38570055,0.33827537,0.32265553,0.33845645,0.34139085,0.30067527,0.32186824,0.2998599,0.3762857,0.23265703,0.29040566,0.29040566,0.31100154,0.3154466,0.314759,0.31113,0.30377167,0.37832767,0.36890242,0.36366504,0.3606416,0.36617383,0.2809708,0.28598425,0.29643878
32477,ndvi,mean5x5,0.28156817,0.28140077,0.28763363,0.29830828,0.3121576,0.33219036,0.35436973,0.37016737,0.37960654,0.39045075,0.39568284,0.40548152,0.42273262,0.4476707,0.46229413,0.49636042,0.5147109,0.5078845,0.5040059,0.5105529,0.51366884,0.522594,0.546353,0.55020106,0.5314231,0.47525203,0.42134637,0.38300163,0.33445117,0.3173432,0.33052704,0.33035564,0.29367968,0.31811976,0.29741964,0.3853141,0.23265731,0.27431956,0.27431956,0.29605615,0.29490718,0.29301235,0.28225818,0.27995983,0.34161577,0.34004438,0.34136528,0.3430887,0.3433417,0.2742622,0.27827042,0.28123394
32477,evi,center,0.11964654,0.11967605,0.1206527,0.12549068,0.13036884,0.14141706,0.15472686,0.1670318,0.1772539,0.18623632,0.1899125,0.19186215,0.19519551,0.20091791,0.20971146,0.22482276,0.23277645,0.23513864,0.23967972,0.24296042,0.25254592,0.2673583,0.28560737,0.2909542,0.28200904,0.24836615,0.21658845,0.19485657,0.16446418,0.15434179,0.16393897,0.1657628,0.14573368,0.15603307,0.14166753,0.16681802,0.09362858,0.13894568,0.13894568,0.14020516,0.13821648,0.13561694,0.1328501,0.12693296,0.13462701,0.13372463,0.12986599,0.12776458,0.13022548,0.118364684,0.11625279,0.12114583
32477,evi,mean5x5,0.116622485,0.11615011,0.118277855,0.123770095,0.13176215,0.14407374,0.15850773,0.17179866,0.18305647,0.19261734,0.19792531,0.20481193,0.21446566,0.22536105,0.23661144,0.2576664,0.2678805,0.26494098,0.26500323,0.26689094,0.27227604,0.28254426,0.29968885,0.3045462,0.29554135,0.26076776,0.22768784,0.20362583,0.17195693,0.16093975,0.16933401,0.16901436,0.15022852,0.16292086,0.14829038,0.18406385,0.09967228,0.13826811,0.13826811,0.14217398,0.1404524,0.136912,0.12983559,0.12585679,0.13110176,0.13059764,0.13087314,0.1314333,0.13112138,0.12112401,0.11892039,0.11842751
32477,kndvi,center,0.08848381,0.0890649,0.09007988,0.09426431,0.09880517,0.10919415,0.12268334,0.1351981,0.14222275,0.15344496,0.15819845,0.1616159,0.16775653,0.1834677,0.19438116,0.22139892,0.2372139,0.23737119,0.23880531,0.24346387,0.2467938,0.25883037,0.28390807,0.29133555,0.2793607,0.23656502,0.19415648,0.16341087,0.12571135,0.11111284,0.12026268,0.121800974,0.09827395,0.11146181,0.09797737,0.14065224,0.054076493,0.08413607,0.08413607,0.09691522,0.09980823,0.09947398,0.09725391,0.09307127,0.16765894,0.1621086,0.15919676,0.1573268,0.16041805,0.07909805,0.08178843,0.08774528
32477,kndvi,mean5x5,0.079833575,0.07973418,0.08340101,0.09010145,0.09907543,0.112126425,0.12686853,0.13802333,0.14455785,0.15298477,0.15717354,0.16549827,0.17993239,0.20119467,0.21342388,0.245349,0.2633804,0.25757644,0.25447482,0.26088557,0.26334506,0.2708603,0.29292545,0.29814273,0.28466412,0.23853897,0.19397467,0.16137987,0.12318227,0.10782122,0.11552408,0.115705244,0.094307445,0.10976651,0.09703745,0.14858314,0.05464916,0.07572665,0.07572665,0.08903164,0.08880821,0.08775897,0.08134751,0.07991073,0.1387613,0.13772936,0.13848245,0.1394401,0.13964464,0.076075174,0.07802744,0.079635985
32477,nbr,center,-0.15606347,-0.15150124,-0.15056032,-0.1404498,-0.12531929,-0.09789555,-0.0678913,-0.03323625,-0.014502224,0.00060863025,0.005578692,0.012239026,0.0246886,0.04894829,0.072034076,0.13275371,0.17559214,0.18405402,0.19770728,0.21383165,0.21901971,0.23387575,0.27469847,0.28863534,0.27153385,0.19815974,0.12846124,0.08070082,0.0077305925,-0.009046572,0.023063403,0.023320941,-0.021492336,0.011432867,-0.027838808,0.043770116,-0.15427878,-0.022299236,-0.022299236,-0.024907436,-0.03226432,-0.041664228,-0.053402424,-0.06999995,-0.08263211,-0.09043424,-0.09939962,-0.114180915,-0.12528662,-0.13587515,-0.14815158,-0.1524834
32477,nbr,mean5x5,-0.17328587,-0.17492004,-0.17673852,-0.1682612,-0.15134822,-0.12406604,-0.09404063,-0.059514783,-0.037205122,-0.017926333,-0.006621991,0.011604602,0.036072105,0.0650595,0.08788164,0.14921659,0.18891436,0.18804842,0.19500406,0.20812927,0.21031505,0.22144637,0.26005593,0.2728902,0.25573197,0.18144546,0.11185608,0.065171316,-0.0054503153,-0.023494463,0.0053018695,0.0057913675,-0.035574004,-0.0030781922,-0.0436797,0.034173064,-0.18370724,-0.030582255,-0.030582255,-0.03920091,-0.04688174,-0.056993447,-0.070712,-0.08702224,-0.09215559,-0.1002813,-0.11089132,-0.122365996,-0.12923533,-0.14572512,-0.15840602,-0.16464451
32477,savi,center,0.12569584,0.1268825,0.1282581,0.13284531,0.13770773,0.14734177,0.15919329,0.17104477,0.1817512,0.19077946,0.19466896,0.19777846,0.20252459,0.20942855,0.21873918,0.23526376,0.24342261,0.24378869,0.24591121,0.24816665,0.2555179,0.26862818,0.28673497,0.29201102,0.28306112,0.2499668,0.21850052,0.19693922,0.16713618,0.1565206,0.16489299,0.1658347,0.14421417,0.155585,0.14237121,0.17689802,0.0988633,0.13526547,0.13526547,0.13991554,0.1396459,0.13787962,0.13496311,0.13017575,0.15214358,0.149315,0.14655541,0.14476301,0.14710702,0.12046578,0.120726526,0.12529448
32477,savi,mean5x5,0.122923605,0.12318593,0.12571925,0.13120241,0.1392321,0.15096042,0.16433969,0.1762294,0.18556331,0.1938768,0.1985977,0.20571165,0.21626693,0.22868516,0.23938307,0.25922784,0.26871568,0.26503527,0.2641137,0.26636073,0.2727043,0.2831543,0.30020303,0.30524543,0.29661453,0.26185393,0.22881114,0.20497541,0.17374651,0.1621378,0.1693492,0.1683763,0.14773221,0.16089813,0.14750108,0.18971448,0.10397883,0.13617018,0.13617018,0.14212406,0.14040552,0.13776013,0.13062169,0.1278077,0.14665364,0.1456873,0.14585115,0.14664036,0.14637932,0.12291146,0.12301211,0.1234039
