plot_id,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51
32477,109,116,124,131,138,145,152,159,166,173,180,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,307,314,321,328,335,342,349,356,364,4,11,18,25,32,39,46,53,60,67,74,81,88,95,102
32479,109,116,124,131,138,145,152,159,166,173,180,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,307,314,321,328,335,342,349,356,364,4,11,18,25,32,39,46,53,60,67,74,81,88,95,102
32532,108,115,122,129,136,143,150,158,165,172,179,186,193,200,207,215,222,229,236,243,250,257,265,272,279,286,293,300,307,315,322,329,336,343,350,357,365,1,8,15,22,29,36,43,50,58,65,72,79,86,93,100
32644,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32645,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32660,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32661,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32662,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32665,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32666,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32668,109,116,123,130,137,144,151,159,166,173,180,187,194,201,208,216,223,230,237,244,251,258,266,273,280,287,294,301,308,316,323,330,337,344,351,358,366,2,9,16,23,30,37,44,51,59,66,73,80,87,94,101
32673,108,115,123,130,137,144,151,158,165,172,179,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,308,315,322,329,336,343,350,357,365,2,9,16,23,30,37,44,51,58,66,73,80,87,94,101
32674,108,115,123,130,137,144,151,158,165,172,179,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,308,315,322,329,336,343,350,357,365,2,9,16,23,30,37,44,51,58,66,73,80,87,94,101
32675,108,115,123,130,137,144,151,158,165,172,179,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,308,315,322,329,336,343,350,357,365,2,9,16,23,30,37,44,51,58,66,73,80,87,94,101
32678,108,115,123,130,137,144,151,158,165,172,179,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,308,315,322,329,336,343,350,357,365,2,9,16,23,30,37,44,51,58,66,73,80,87,94,101
32679,108,115,123,130,137,144,151,158,165,172,179,187,194,201,208,215,222,229,236,244,251,258,265,272,279,286,293,300,308,315,322,329,336,343,350,357,365,2,9,16,23,30,37,44,51,58,66,73,80,87,94,101
