"species","genus","family","status"
"Adenopeltis serrata","Adenopeltis","Euphorbiaceae","prune"
"Azara celastrina","Azara","Salicaceae","bind"
"Chusquea cumingii","Chusquea","Poaceae","prune"
"Cryptocarya alba","Cryptocarya","Lauraceae","prune"
"Lithraea caustica","Lithraea","Anacardiaceae","bind"
"Myrceugenia obtusa","Myrceugenia","Myrtaceae","prune"
"Peumus boldus","Peumus","Monimiaceae","prune"
"Proustia pyrifolia","Proustia","Asteraceae","bind"
"Quillaja saponaria","Quillaja","Quillajaceae","prune"
"Buddleja globosa","Buddleja","Scrophulariaceae","prune"
"Citronella mucronata","Citronella","Cardiopteridaceae","bind"
"Retanilla trinervia","Retanilla","Rhamnaceae","bind"
"Escallonia pulverulenta","Escallonia","Escalloniaceae","prune"
"Beilschmiedia miersii","Beilschmiedia","Lauraceae","prune"
"Senna stipulacea","Senna","Fabaceae","bind"
"Kageneckia oblonga","Kageneckia","Rosaceae","prune"
"Schinus velutina","Schinus","Anacardiaceae","bind"
"Acrisione denticulata","Acrisione","Asteraceae","prune"
"Ribes punctatum","Ribes","Grossulariaceae","prune"
"Ageratina glechonophylla","Ageratina","Asteraceae","prune"
"Sophora macrocarpa","Sophora","Fabaceae","prune"
"Clematicissus striata","Clematicissus","Vitaceae","bind"
"Dasyphyllum excelsum","Dasyphyllum","Asteraceae","bind"
"Lobelia excelsa","Lobelia","Campanulaceae","bind"
"Baccharis racemosa","Baccharis","Asteraceae","bind"
"Maytenus boaria","Maytenus","Celastraceae","prune"
"Schinus latifolia","Schinus","Anacardiaceae","bind"
"Tristerix corymbosus","Tristerix","Loranthaceae","prune"
"Vachellia caven","Vachellia","Fabaceae","prune"
"Podanthus mitiqui","Podanthus","Asteraceae","bind"
"Baccharis linearis","Baccharis","Asteraceae","bind"
"Clinopodium gilliesii","Clinopodium","Lamiaceae","bind"
"Colliguaja odorifera","Colliguaja","Euphorbiaceae","prune"
"Retanilla ephedra","Retanilla","Rhamnaceae","bind"
"Mutisia spinosa","Mutisia","Asteraceae","prune"
"Baccharis rhomboidalis","Baccharis","Asteraceae","bind"
"Azara petiolaris","Azara","Salicaceae","bind"
"Schinus polygama","Schinus","Anacardiaceae","bind"
"Proustia cuneifolia","Proustia","Asteraceae","prune"
"Solanum crispum","Solanum","Solanaceae","prune"
"Aristotelia chilensis","Aristotelia","Elaeocarpaceae","prune"
"Calceolaria thyrsiflora","Calceolaria","Calceolariaceae","bind"
"Senecio micropifolius","Senecio","Asteraceae","bind"
"Ephedra chilensis","Ephedra","Ephedraceae","prune"
"Gochnatia foliolosa","Gochnatia","Asteraceae","bind"
"Margyricarpus pinnatus","Margyricarpus","Rosaceae","prune"
"Berberis actinacantha","Berberis","Berberidaceae","prune"
"Colletia spinosissima","Colletia","Rhamnaceae","bind"
"Myoschilos oblongum","Myoschilos","Santalaceae","prune"
"Muehlenbeckia hastulata","Muehlenbeckia","Polygonaceae","bind"
"Drimys winteri","Drimys","Winteraceae","prune"
"Luma chequen","Luma","Myrtaceae","prune"
"Otholobium glandulosum","Otholobium","Fabaceae","prune"
"Persea lingue","Persea","Lauraceae","prune"
"Colliguaja integerrima","Colliguaja","Euphorbiaceae","prune"
"Guindilia trinervis","Guindilia","Sapindaceae","prune"
"Haplopappus integerrimus","Haplopappus","Asteraceae","bind"
"Kageneckia angustifolia","Kageneckia","Rosaceae","prune"
"Schinus montana","Schinus","Anacardiaceae","bind"
"Azorella prolifera","Azorella","Apiaceae","bind"
"Calceolaria hypericina","Calceolaria","Calceolariaceae","bind"
"Gymnophyton isatidicarpum","Gymnophyton","Apiaceae","prune"
"Valeriana stricta","Valeriana","Caprifoliaceae","prune"
"Mutisia acerosa","Mutisia","Asteraceae","bind"
"Tetraglochin alatum","Tetraglochin","Rosaceae","bind"
"Ribes trilobum","Ribes","Grossulariaceae","prune"
"Tristerix verticillatus","Tristerix","Loranthaceae","prune"
"Corynabutilon ceratocarpum","Corynabutilon","Malvaceae","bind"
"Mutisia subulata","Mutisia","Asteraceae","bind"
"Chuquiraga ulicina","Chuquiraga","Asteraceae","prune"
"Escallonia illinita","Escallonia","Escalloniaceae","prune"
"Mulguraea scoparia","Mulguraea","Verbenaceae","prune"
"Escallonia alpina","Escallonia","Escalloniaceae","prune"
"Baccharis paniculata","Baccharis","Asteraceae","bind"
"Colliguaja salicifolia","Colliguaja","Euphorbiaceae","bind"
"Junellia spathulata","Junellia","Verbenaceae","prune"
"Berberis valdiviana","Berberis","Berberidaceae","prune"
"Chusquea culeou","Chusquea","Poaceae","prune"
"Elytropus chilensis","Elytropus","Apocynaceae","prune"
"Gaultheria phillyreifolia","Gaultheria","Ericaceae","prune"
"Lomatia dentata","Lomatia","Proteaceae","prune"
"Maytenus chubutensis","Maytenus","Celastraceae","bind"
"Nothofagus dombeyi","Nothofagus","Nothofagaceae","prune"
"Nothofagus obliqua","Nothofagus","Nothofagaceae","prune"
"Hydrangea serratifolia","Hydrangea","Hydrangeaceae","prune"
"Fuchsia magellanica","Fuchsia","Onagraceae","prune"
"Lomatia hirsuta","Lomatia","Proteaceae","prune"
"Solanum valdiviense","Solanum","Solanaceae","prune"
"Berberis microphylla","Berberis","Berberidaceae","prune"
"Calceolaria integrifolia","Calceolaria","Calceolariaceae","prune"
"Raukaua laetevirens","Raukaua","Araliaceae","prune"
"Azara dentata","Azara","Salicaceae","bind"
"Aextoxicon punctatum","Aextoxicon","Aextoxicaceae","prune"
"Luma apiculata","Luma","Myrtaceae","prune"
"Laurelia sempervirens","Laurelia","Atherospermataceae","prune"
"Adesmia concinna","Adesmia","Fabaceae","bind"
"Diostea juncea","Diostea","Verbenaceae","bind"
"Schinus patagonica","Schinus","Anacardiaceae","bind"
"Colletia hystrix","Colletia","Rhamnaceae","bind"
"Bridgesia incisifolia","Bridgesia","Sapindaceae","bind"
"Eulychnia acida","Eulychnia","Cactaceae","bind"
"Flourensia thurifera","Flourensia","Asteraceae","bind"
"Gutierrezia resinosa","Gutierrezia","Asteraceae","bind"
"Haplopappus cerberoanus","Haplopappus","Asteraceae","bind"
"Eriophyllum ambrosiodes","Eriophyllum","Asteraceae","bind"
"Senna cumingii","Senna","Fabaceae","bind"
"Cestrum parqui","Cestrum","Solanaceae","prune"
"Eucalyptus globulus","Eucalyptus","Myrtaceae","prune"
"Heliotropium stenophyllum","Heliotropium","Boraginaceae","prune"
"Adesmia bedwellii","Adesmia","Fabaceae","bind"
"Fabiana viscosa","Fabiana","Solanaceae","bind"
"Oxalis virgosa","Oxalis","Oxalidaceae","bind"
"Puya berteroniana","Puya","Bromeliaceae","bind"
"Copiapoa coquimbana","Copiapoa","Cactaceae","prune"
"Cordia decandra","Cordia","Boraginaceae","prune"
"Fuchsia lycioides","Fuchsia","Onagraceae","bind"
"Llagunoa glandulosa","Llagunoa","Sapindaceae","bind"
"Lobelia polyphylla","Lobelia","Campanulaceae","prune"
"Solanum pinnatum","Solanum","Solanaceae","prune"
"Vasconcellea chilensis","Vasconcellea","Caricaceae","bind"
"Calceolaria collina","Calceolaria","Calceolariaceae","bind"
"Plectocephalus chilensis","Plectocephalus","Asteraceae","prune"
"Anisomeria littoralis","Anisomeria","Phytolaccaceae","bind"
"Berberis glomerata","Berberis","Berberidaceae","bind"
"Aristeguietia salvia","Aristeguietia","Asteraceae","bind"
"Lepechinia salviae","Lepechinia","Lamiaceae","prune"
"Ophryosporus paradoxus","Ophryosporus","Asteraceae","bind"
"Chiropetalum berteroanum","Chiropetalum","Euphorbiaceae","bind"
"Junellia selaginoides","Junellia","Verbenaceae","bind"
"Pleocarphus revolutus","Pleocarphus","Asteraceae","bind"
"Adiantum chilense","Adiantum","Pteridaceae","prune"
"Azara integrifolia","Azara","Salicaceae","prune"
"Blechnum hastatum","Blechnum","Blechnaceae","bind"
"Bomarea salsilla","Bomarea","Alstroemeriaceae","prune"
