"m","sr_mean","sr_lo","sr_hi","pd_mean","pd_lo","pd_hi","dataset"
1,6.61666666666667,1,29.25,840.05553196115,237.157207,2893.637434075,"Parcelas-CL completo"
2,13.9166666666667,5.475,38.05,1400.52251518344,648.558129525,3017.30837795,"Parcelas-CL completo"
3,20.6833333333333,7,47.675,2006.64591501649,740.65652565,4066.521767525,"Parcelas-CL completo"
4,25.4833333333333,9.475,56.825,2520.76179289475,1210.76259555,4777.45102817657,"Parcelas-CL completo"
5,30.9333333333333,14.475,56.575,2995.24364361625,1631.187828825,4871.65528703918,"Parcelas-CL completo"
7,40.3,19.425,71.05,3619.38614642644,1974.347192075,5828.98313579539,"Parcelas-CL completo"
8,44.8666666666667,22.475,81.575,3951.45909174408,1933.5889735,6347.17830109228,"Parcelas-CL completo"
9,53.8166666666667,25.475,98.15,4496.13843428747,2234.90673587075,7583.76497157681,"Parcelas-CL completo"
11,59.7333333333333,29,88,4841.29149216888,2920.75411204575,6797.9977896375,"Parcelas-CL completo"
14,66.7333333333333,37.375,104.575,5357.62049078562,3444.58010014045,7990.40953674054,"Parcelas-CL completo"
17,77.8666666666667,40.9,120,5832.81265895965,3529.08099945304,8440.96474225311,"Parcelas-CL completo"
20,89.9333333333333,50.425,135.25,6551.66784976195,4293.69443975977,9252.5054173313,"Parcelas-CL completo"
24,98.8666666666667,61.425,143.925,6958.12754972054,5003.43401248915,9372.11917847963,"Parcelas-CL completo"
29,115.633333333333,77.475,160.1,7711.40663167782,5710.8937378959,9882.00601898897,"Parcelas-CL completo"
35,133.45,93.425,169.15,8380.78383027284,6117.85209935615,10316.2260222314,"Parcelas-CL completo"
42,142.983333333333,98.275,173,8843.64658439551,6389.63811942488,10439.5769036905,"Parcelas-CL completo"
51,164.6,114.85,214.35,9684.86762112957,7028.9970100747,11643.4379917092,"Parcelas-CL completo"
62,184.683333333333,143.475,240,10363.5866344578,8539.12106773984,12630.0296128426,"Parcelas-CL completo"
74,202.283333333333,151.425,252.525,10878.5854678496,9230.26300820565,13010.1247577472,"Parcelas-CL completo"
90,221.216666666667,182.475,265.875,11620.2350641364,10092.5352258405,13057.7220244896,"Parcelas-CL completo"
108,248.233333333333,207.8,284.525,12429.3918085518,10767.5240119374,13700.2975886603,"Parcelas-CL completo"
130,260.95,220,305.575,12683.6775085382,11194.781225696,14059.3512265164,"Parcelas-CL completo"
157,288.766666666667,235.475,339.575,13501.8715020993,12132.0335116087,15155.2112086461,"Parcelas-CL completo"
189,306.5,265.8,341.15,13902.2796718564,12729.0500931411,15199.9909288038,"Parcelas-CL completo"
228,333.783333333333,293.125,378.35,14621.7648188375,13290.39953863,15576.6498124335,"Parcelas-CL completo"
275,360.483333333333,319.95,405.675,15332.4799587371,14280.8187919329,16565.3230971957,"Parcelas-CL completo"
332,390.583333333333,357.95,422.05,16026.7770500535,15037.3949573677,16996.6921782579,"Parcelas-CL completo"
400,411.616666666667,378.475,441.05,16424.8843318437,15526.6818737336,17176.4722648846,"Parcelas-CL completo"
483,440.75,400.95,476.775,17149.1698287252,16149.2737415336,18116.6191151446,"Parcelas-CL completo"
582,465.416666666667,437.425,494.15,17708.337590804,16878.9999666836,18376.022033095,"Parcelas-CL completo"
702,490.516666666667,457.375,518.05,18206.3086276448,17221.4511294686,19052.6733080121,"Parcelas-CL completo"
847,516.516666666667,499.475,544,18784.3648500387,18187.4365255996,19457.7285092571,"Parcelas-CL completo"
