"dataset","metric","n","method","value","lo","hi"
"Parcelas-CL completo","taxonomica",1,"Rarefaction",7.12457912457912,1,29.1
"Parcelas-CL completo","taxonomica",79,"Rarefaction",207.233472002816,154.95,257.175
"Parcelas-CL completo","taxonomica",157,"Rarefaction",287.635633290354,241.95,332.075
"Parcelas-CL completo","taxonomica",235,"Rarefaction",340.44400348517,301.975,381.025
"Parcelas-CL completo","taxonomica",313,"Rarefaction",379.78474240428,341,421
"Parcelas-CL completo","taxonomica",391,"Rarefaction",411.042574651385,374,447.025
"Parcelas-CL completo","taxonomica",469,"Rarefaction",436.924748191945,396.925,470.1
"Parcelas-CL completo","taxonomica",547,"Rarefaction",458.97860241579,423.975,491
"Parcelas-CL completo","taxonomica",625,"Rarefaction",478.164507027109,445,508
"Parcelas-CL completo","taxonomica",703,"Rarefaction",495.116941447465,459.925,524
"Parcelas-CL completo","taxonomica",782,"Rarefaction",510.460879170963,481,535.075
"Parcelas-CL completo","taxonomica",860,"Rarefaction",524.129910167183,495.975,547.05
"Parcelas-CL completo","taxonomica",938,"Rarefaction",536.567538456993,508.925,563.05
"Parcelas-CL completo","taxonomica",1016,"Rarefaction",547.958229155071,519.975,569.025
"Parcelas-CL completo","taxonomica",1094,"Rarefaction",558.448278877813,528,578
"Parcelas-CL completo","taxonomica",1172,"Rarefaction",568.156252136683,543.975,584.05
"Parcelas-CL completo","taxonomica",1250,"Rarefaction",577.180019381511,560.95,591
"Parcelas-CL completo","taxonomica",1328,"Rarefaction",585.601645135737,569,596
"Parcelas-CL completo","taxonomica",1406,"Rarefaction",593.490882473784,582,600
"Parcelas-CL completo","taxonomica",1485,"Observed",601,601,601
"Parcelas-CL completo","taxonomica",1486,"Extrapolation",601.092186970131,NA,NA
"Parcelas-CL completo","taxonomica",1564,"Extrapolation",608.074591839553,NA,NA
"Parcelas-CL completo","taxonomica",1642,"Extrapolation",614.661603110868,NA,NA
"Parcelas-CL completo","taxonomica",1720,"Extrapolation",620.87561079158,NA,NA
"Parcelas-CL completo","taxonomica",1798,"Extrapolation",626.737737007169,NA,NA
"Parcelas-CL completo","taxonomica",1876,"Extrapolation",632.267907797616,NA,NA
"Parcelas-CL completo","taxonomica",1954,"Extrapolation",637.484920848305,NA,NA
"Parcelas-CL completo","taxonomica",2032,"Extrapolation",642.406509385513,NA,NA
"Parcelas-CL completo","taxonomica",2110,"Extrapolation",647.049402453678,NA,NA
"Parcelas-CL completo","taxonomica",2188,"Extrapolation",651.429381779347,NA,NA
"Parcelas-CL completo","taxonomica",2267,"Extrapolation",655.612760943233,NA,NA
"Parcelas-CL completo","taxonomica",2345,"Extrapolation",659.507821793335,NA,NA
"Parcelas-CL completo","taxonomica",2423,"Extrapolation",663.182316498511,NA,NA
"Parcelas-CL completo","taxonomica",2501,"Extrapolation",666.648735088097,NA,NA
"Parcelas-CL completo","taxonomica",2579,"Extrapolation",669.918860316827,NA,NA
"Parcelas-CL completo","taxonomica",2657,"Extrapolation",673.003807715765,NA,NA
"Parcelas-CL completo","taxonomica",2735,"Extrapolation",675.914063375273,NA,NA
"Parcelas-CL completo","taxonomica",2813,"Extrapolation",678.659519588439,NA,NA
"Parcelas-CL completo","taxonomica",2891,"Extrapolation",681.24950847611,NA,NA
"Parcelas-CL completo","taxonomica",2970,"Extrapolation",683.723242880262,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1,"Rarefaction",2.64377138051671,0.999999997373961,6.7679005927989
"Parcelas-CL completo","filogenetica_meanPD",79,"Rarefaction",28.4456593833921,23.8476224530914,32.6112847505946
"Parcelas-CL completo","filogenetica_meanPD",157,"Rarefaction",34.548554772517,30.8952980917986,38.1834980616107
"Parcelas-CL completo","filogenetica_meanPD",235,"Rarefaction",38.0493442130955,34.8415707943893,40.7877336625948
"Parcelas-CL completo","filogenetica_meanPD",313,"Rarefaction",40.4805016625466,37.1765454421242,43.287680679259
"Parcelas-CL completo","filogenetica_meanPD",391,"Rarefaction",42.3380950861731,39.6537485597535,44.7316957742492
"Parcelas-CL completo","filogenetica_meanPD",469,"Rarefaction",43.839636862502,41.1093949773712,46.1388388780411
"Parcelas-CL completo","filogenetica_meanPD",547,"Rarefaction",45.0972776837891,43.029172347639,46.9892463958279
"Parcelas-CL completo","filogenetica_meanPD",625,"Rarefaction",46.176163635561,44.0127670203497,48.2377999896214
"Parcelas-CL completo","filogenetica_meanPD",703,"Rarefaction",47.1177855162911,44.8410723393029,48.8868937268042
"Parcelas-CL completo","filogenetica_meanPD",782,"Rarefaction",47.9605334845138,46.1573987994057,49.8026721860648
"Parcelas-CL completo","filogenetica_meanPD",860,"Rarefaction",48.7036328414528,46.752658485063,50.3483556691447
"Parcelas-CL completo","filogenetica_meanPD",938,"Rarefaction",49.3736173432379,47.4235809614001,51.0046078001852
"Parcelas-CL completo","filogenetica_meanPD",1016,"Rarefaction",49.9822823310216,48.2271323161791,51.1437986162547
"Parcelas-CL completo","filogenetica_meanPD",1094,"Rarefaction",50.5390275779961,48.9103046872902,51.8179248507254
"Parcelas-CL completo","filogenetica_meanPD",1172,"Rarefaction",51.0515222893436,49.6193663345526,52.0676896111777
"Parcelas-CL completo","filogenetica_meanPD",1250,"Rarefaction",51.5261485809465,50.391027096956,52.3564500768684
"Parcelas-CL completo","filogenetica_meanPD",1328,"Rarefaction",51.9683056182744,51.0298608788129,52.6092873864061
"Parcelas-CL completo","filogenetica_meanPD",1406,"Rarefaction",52.3826244657318,51.5661076890774,52.7674853930636
"Parcelas-CL completo","filogenetica_meanPD",1485,"Observed",52.7779924375653,52.7779924375653,52.7779924375653
"Parcelas-CL completo","filogenetica_meanPD",1486,"Extrapolation",52.7828567126523,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1564,"Extrapolation",53.1522023897073,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1642,"Extrapolation",53.5023632828953,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1720,"Extrapolation",53.8343359002434,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1798,"Extrapolation",54.1490649885366,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1876,"Extrapolation",54.447446221932,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",1954,"Extrapolation",54.7303287509204,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2032,"Extrapolation",54.9985176188872,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2110,"Extrapolation",55.2527760531515,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2188,"Extrapolation",55.4938276370023,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2267,"Extrapolation",55.7252098293273,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2345,"Extrapolation",55.9417219628731,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2423,"Extrapolation",56.1469878879353,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2501,"Extrapolation",56.3415917620997,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2579,"Extrapolation",56.5260874002742,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2657,"Extrapolation",56.7009998507666,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2735,"Extrapolation",56.8668268894975,NA,NA
"Parcelas-CL completo","filogenetica_meanPD",2813,"Extrapolation",57.0240404365998,NA,NA
