species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Schinus polygamus,schinus polygamus,Arbusto o árbol pequeño,lenosa,nativa,False,Schinus polygamus,False
Austrolycopodium confertum,austrolycopodium confertum,Hierba,herbacea,nativa,False,Austrolycopodium confertum,False
Isoetes araucaniana,isoetes araucaniana,Hierba acuática,herbacea,endemica,False,Isoetes araucaniana,False
Isoetes chubutiana,isoetes chubutiana,Hierba acuática,herbacea,nativa,False,Isoetes chubutiana,False
Isoetes hieronymi,isoetes hieronymi,Hierba acuática,herbacea,nativa,False,Isoetes hieronymi,False
Isoetes savatieri,isoetes savatieri,Hierba acuática,herbacea,nativa,False,Isoetes savatieri,False
Austrolycopodium erectum,austrolycopodium erectum,Hierba,herbacea,nativa,False,Austrolycopodium erectum,False
Austrolycopodium magellanicum,austrolycopodium magellanicum,Hierba,herbacea,nativa,False,Austrolycopodium magellanicum,False
Austrolycopodium paniculatum,austrolycopodium paniculatum,Hierba,herbacea,nativa,False,Austrolycopodium paniculatum,False
Austrolycopodium alboffii,austrolycopodium alboffii,Hierba,herbacea,nativa,False,Austrolycopodium alboffii,False
Huperzia fuegiana,huperzia fuegiana,Hierba,herbacea,nativa,False,Huperzia fuegiana,False
Asplenium obtusatum,asplenium obtusatum,Hierba,herbacea,endemica,False,Asplenium obtusatum,False
Selaginella apoda,selaginella apoda,Hierba,herbacea,introducida,False,Selaginella apoda,False
Asplenium patagonicum,asplenium patagonicum,Hierba terrestre o saxícola,herbacea,endemica,False,Asplenium patagonicum,False
Asplenium peruvianum,asplenium peruvianum,Hierba saxícola,herbacea,nativa,False,Asplenium peruvianum,False
Asplenium dareoides,asplenium dareoides,Hierba epífita o terrestre,herbacea,nativa,False,Asplenium dareoides,False
Asplenium polyodon,asplenium polyodon,Hierba,herbacea,endemica,False,Asplenium polyodon,False
Asplenium gilliesii,asplenium gilliesii,Hierba saxícola,herbacea,endemica,False,Asplenium gilliesii,False
Asplenium macrosorum,asplenium macrosorum,Hierba epífita o terrestre,herbacea,endemica,False,Asplenium macrosorum,False
Asplenium triphyllum,asplenium triphyllum,Hierba saxícola,herbacea,nativa,False,Asplenium triphyllum,False
Pleurosorus papaverifolius,pleurosorus papaverifolius,Hierba,herbacea,nativa,False,Pleurosorus papaverifolius,False
Blechnum blechnoides,blechnum blechnoides,Hierba,herbacea,endemica,False,Blechnum blechnoides,False
Blechnum chilense,blechnum chilense,Subarbusto,lenosa,nativa,False,Blechnum chilense,False
Diplazium fuenzalidae,diplazium fuenzalidae,Hierba,herbacea,endemica,False,Diplazium fuenzalidae,False
Blechnum arcuatum,blechnum arcuatum,Hierba,herbacea,nativa,False,Blechnum arcuatum,False
Blechnum asperum,blechnum asperum,Hierba,herbacea,endemica,False,Blechnum asperum,False
Blechnum cycadifolium,blechnum cycadifolium,Arbusto,lenosa,endemica,False,Blechnum cycadifolium,False
Blechnum hastatum,blechnum hastatum,Hierba,herbacea,nativa,False,Blechnum hastatum,False
Blechnum longicauda,blechnum longicauda,Hierba,herbacea,endemica,False,Blechnum longicauda,False
Blechnum magellanicum,blechnum magellanicum,Arbusto,lenosa,nativa,False,Blechnum magellanicum,False
Blechnum microphyllum,blechnum microphyllum,Hierba,herbacea,nativa,False,Blechnum microphyllum,False
Blechnum mochaenum,blechnum mochaenum,Hierba,herbacea,endemica,False,Blechnum mochaenum,False
Blechnum paschale,blechnum paschale,Hierba,herbacea,endemica,False,Blechnum paschale,False
Blechnum penna-marina,blechnum penna-marina,Hierba,herbacea,nativa,False,Blechnum penna-marina,False
Blechnum schottii,blechnum schottii,Hierba trepadora,herbacea,endemica,False,Blechnum schottii,False
Cystopteris apiiformis,cystopteris apiiformis,Hierba,herbacea,nativa,False,Cystopteris apiiformis,False
Davallia solida,davallia solida,Hierba,herbacea,nativa,False,Davallia solida,False
Microlepia strigosa,microlepia strigosa,Hierba,herbacea,nativa,False,Microlepia strigosa,False
Dennstaedtia glauca,dennstaedtia glauca,Hierba,herbacea,nativa,False,Dennstaedtia glauca,False
Histiopteris incisa,histiopteris incisa,Arbusto o árbol pequeño,lenosa,endemica,False,Histiopteris incisa,False
Dicksonia externa,dicksonia externa,Arbusto o árbol pequeño,lenosa,endemica,False,Dicksonia externa,False
Lophosoria quadripinnata,lophosoria quadripinnata,Subarbusto,lenosa,nativa,False,Lophosoria quadripinnata,False
Thyrsopteris elegans,thyrsopteris elegans,Subarbusto,lenosa,endemica,False,Thyrsopteris elegans,False
Dryopteris filix-mas,dryopteris filix-mas,Hierba,herbacea,introducida,False,Dryopteris filix-mas,False
Dryopteris karwinskyana,dryopteris karwinskyana,Hierba,herbacea,nativa,False,Dryopteris karwinskyana,False
Elaphoglossum fonkii,elaphoglossum fonkii,Hierba saxícola,herbacea,endemica,False,Elaphoglossum fonkii,False
Elaphoglossum gayanum,elaphoglossum gayanum,Hierba,herbacea,nativa,False,Elaphoglossum gayanum,False
Elaphoglossum lindenii,elaphoglossum lindenii,Hierba,herbacea,nativa,False,Elaphoglossum lindenii,False
Elaphoglossum porteri,elaphoglossum porteri,Hierba,herbacea,nativa,False,Elaphoglossum porteri,False
Elaphoglossum skottsbergii,elaphoglossum skottsbergii,Hierba,herbacea,endemica,False,Elaphoglossum skottsbergii,False
Megalastrum glabrius,megalastrum glabrius,Hierba,herbacea,endemica,False,Megalastrum glabrius,False
Megalastrum inaequalifolium,megalastrum inaequalifolium,Hierba,herbacea,endemica,False,Megalastrum inaequalifolium,False
Megalastrum masafuerae,megalastrum masafuerae,Hierba,herbacea,endemica,False,Megalastrum masafuerae,False
Megalastrum spectabile,megalastrum spectabile,Hierba,herbacea,nativa,False,Megalastrum spectabile,False
Polystichum andinum,polystichum andinum,Hierba,herbacea,nativa,False,Polystichum andinum,False
Polystichum chilense,polystichum chilense,Hierba,herbacea,nativa,False,Polystichum chilense,False
Polystichum multifidum,polystichum multifidum,Hierba,herbacea,nativa,False,Polystichum multifidum,False
Polystichum plicatum,polystichum plicatum,Hierba,herbacea,nativa,False,Polystichum plicatum,False
Polystichum subintegerrimum,polystichum subintegerrimum,Hierba,herbacea,endemica,False,Polystichum subintegerrimum,False
Polystichum tetragonum,polystichum tetragonum,Hierba,herbacea,endemica,False,Polystichum tetragonum,False
Polystichum fuentesii,polystichum fuentesii,Hierba,herbacea,endemica,False,Polystichum fuentesii,False
Rumohra adiantiformis,rumohra adiantiformis,Hierba,herbacea,nativa,False,Rumohra adiantiformis,False
Rumohra berteroana,rumohra berteroana,Hierba,herbacea,endemica,False,Rumohra berteroana,False
Equisetum bogotense,equisetum bogotense,Hierba,herbacea,nativa,False,Equisetum bogotense,False
Equisetum giganteum,equisetum giganteum,Hierba,herbacea,nativa,False,Equisetum giganteum,False
Equisetum pyramidale,equisetum pyramidale,Hierba,herbacea,endemica,False,Equisetum pyramidale,False
Sticherus lepidotus,sticherus lepidotus,Hierba,herbacea,endemica,False,Sticherus lepidotus,False
Sticherus litoralis,sticherus litoralis,Hierba,herbacea,endemica,False,Sticherus litoralis,False
Sticherus quadripartitus,sticherus quadripartitus,Hierba,herbacea,nativa,False,Sticherus quadripartitus,False
Sticherus squamulosus,sticherus squamulosus,Hierba trepadora,herbacea,endemica,False,Sticherus squamulosus,False
Hymenophyllum cuneatum,hymenophyllum cuneatum,Hierba epífita,herbacea,endemica,False,Hymenophyllum cuneatum,False
Hymenophyllum darwinii,hymenophyllum darwinii,Hierba epífita o saxícola,herbacea,nativa,False,Hymenophyllum darwinii,False
Hymenoglossum cruentum,hymenoglossum cruentum,Hierba epífita,herbacea,nativa,False,Hymenoglossum cruentum,False
Hymenophyllum caudiculatum,hymenophyllum caudiculatum,Hierba epífita,herbacea,nativa,False,Hymenophyllum caudiculatum,False
Hymenophyllum dentatum,hymenophyllum dentatum,Hierba epífita,herbacea,nativa,False,Hymenophyllum dentatum,False
Hymenophyllum dicranotrichum,hymenophyllum dicranotrichum,Hierba,herbacea,endemica,False,Hymenophyllum dicranotrichum,False
Hymenophyllum falklandicum,hymenophyllum falklandicum,Hierba epífita,herbacea,nativa,False,Hymenophyllum falklandicum,False
Hymenophyllum ferrugineum,hymenophyllum ferrugineum,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum ferrugineum,False
Hymenophyllum fuciforme,hymenophyllum fuciforme,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum fuciforme,False
Hymenophyllum plicatum,hymenophyllum plicatum,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum plicatum,False
Hymenophyllum krauseanum,hymenophyllum krauseanum,Hierba epífita o saxícola,herbacea,nativa,False,Hymenophyllum krauseanum,False
Hymenophyllum nahuelhuapiense,hymenophyllum nahuelhuapiense,Hierba terrestre o saxícola,herbacea,nativa,False,Hymenophyllum nahuelhuapiense,False
Hymenophyllum pectinatum,hymenophyllum pectinatum,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum pectinatum,False
Hymenophyllum peltatum,hymenophyllum peltatum,Hierba epífita o saxícola,herbacea,endemica,False,Hymenophyllum peltatum,False
Hymenophyllum secundum,hymenophyllum secundum,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum secundum,False
Hymenophyllum seselifolium,hymenophyllum seselifolium,Hierba epífita o terrestre,herbacea,nativa,False,Hymenophyllum seselifolium,False
Hymenophyllum tortuosum,hymenophyllum tortuosum,Hierba epífita o terrestre,herbacea,endemica,False,Hymenophyllum tortuosum,False
Hymenophyllum tunbrigense,hymenophyllum tunbrigense,Hierba epífita o terrestre,herbacea,endemica,False,Hymenophyllum tunbrigense,False
Hymenophyllum umbratile,hymenophyllum umbratile,Hierba epífita,herbacea,nativa,False,Hymenophyllum umbratile,False
Serpyllopsis caespitosa,serpyllopsis caespitosa,Hierba,herbacea,nativa,False,Serpyllopsis caespitosa,False
Trichomanes exsectum,trichomanes exsectum,Hierba epífita o saxícola,herbacea,endemica,False,Trichomanes exsectum,False
Marsilea mollis,marsilea mollis,Hierba acuática,herbacea,nativa,False,Marsilea mollis,False
Pilularia americana,pilularia americana,Hierba acuática,herbacea,nativa,False,Pilularia americana,False
Arthropteris altescandens,arthropteris altescandens,Hierba trepadora,herbacea,endemica,False,Arthropteris altescandens,False
Botrychium dusenii,botrychium dusenii,Hierba,herbacea,nativa,False,Botrychium dusenii,False
Ophioglossum crotalophoroides,ophioglossum crotalophoroides,Hierba,herbacea,nativa,False,Ophioglossum crotalophoroides,False
Ophioglossum fernandezianum,ophioglossum fernandezianum,Hierba,herbacea,endemica,False,Ophioglossum fernandezianum,False
Grammitis magellanica,grammitis magellanica,Hierba epífita,herbacea,nativa,False,Grammitis magellanica,False
Grammitis patagonica,grammitis patagonica,Hierba epífita,herbacea,nativa,False,Grammitis patagonica,False
Ophioglossum melipillense,ophioglossum melipillense,Hierba,herbacea,nativa,False,Ophioglossum melipillense,False
Ophioglossum reticulatum,ophioglossum reticulatum,Hierba,herbacea,nativa,False,Ophioglossum reticulatum,False
Ophioglossum vulgatum,ophioglossum vulgatum,Hierba,herbacea,nativa,False,Ophioglossum vulgatum,False
Pleopeltis macrocarpa,pleopeltis macrocarpa,Hierba epífita o terrestre,herbacea,endemica,False,Pleopeltis macrocarpa,False
Polypodium masafuerae,polypodium masafuerae,Hierba terrestre o saxícola,herbacea,endemica,False,Polypodium masafuerae,False
Polypodium pycnocarpum,polypodium pycnocarpum,Hierba,herbacea,nativa,False,Polypodium pycnocarpum,False
Synammia intermedia,synammia intermedia,Hierba epífita,herbacea,endemica,False,Synammia intermedia,False
Synammia espinosae,synammia espinosae,Hierba epífita o terrestre,herbacea,endemica,False,Synammia espinosae,False
Psilotum nudum,psilotum nudum,Hierba,herbacea,nativa,False,Psilotum nudum,False
Adiantum gertrudis,adiantum gertrudis,Hierba,herbacea,endemica,False,Adiantum gertrudis,False
Adiantum capillus-veneris,adiantum capillus-veneris,Hierba,herbacea,introducida,False,Adiantum capillus-veneris,False
Adiantum chilense,adiantum chilense,Hierba,herbacea,nativa,False,Adiantum chilense,False
Adiantum pearcei,adiantum pearcei,Hierba,herbacea,endemica,False,Adiantum pearcei,False
Adiantum sulphureum,adiantum sulphureum,Hierba,herbacea,endemica,False,Adiantum sulphureum,False
Adiantum excisum,adiantum excisum,Hierba,herbacea,endemica,False,Adiantum excisum,False
Argyrochosma nivea,argyrochosma nivea,Hierba,herbacea,nativa,False,Argyrochosma nivea,False
Astrolepis sinuata,astrolepis sinuata,Hierba,herbacea,nativa,False,Astrolepis sinuata,False
Cheilanthes arequipensis,cheilanthes arequipensis,Hierba,herbacea,nativa,False,Cheilanthes arequipensis,False
Cheilanthes glauca,cheilanthes glauca,Hierba,herbacea,nativa,False,Cheilanthes glauca,False
Cheilanthes hypoleuca,cheilanthes hypoleuca,Hierba,herbacea,nativa,False,Cheilanthes hypoleuca,False
Cheilanthes mollis,cheilanthes mollis,Hierba,herbacea,nativa,False,Cheilanthes mollis,False
Cheilanthes myriophylla,cheilanthes myriophylla,Hierba,herbacea,nativa,False,Cheilanthes myriophylla,False
Cheilanthes pilosa,cheilanthes pilosa,Hierba,herbacea,nativa,False,Cheilanthes pilosa,False
Cheilanthes pruinata,cheilanthes pruinata,Hierba,herbacea,nativa,False,Cheilanthes pruinata,False
Cryptogramma fumariifolia,cryptogramma fumariifolia,Hierba,herbacea,nativa,False,Cryptogramma fumariifolia,False
Myriopteris aurea,myriopteris aurea,Hierba,herbacea,nativa,False,Myriopteris aurea,False
Notholaena sulphurea,notholaena sulphurea,Hierba,herbacea,nativa,False,Notholaena sulphurea,False
Pellaea myrtillifolia,pellaea myrtillifolia,Hierba,herbacea,endemica,False,Pellaea myrtillifolia,False
Trismeria trifoliata,trismeria trifoliata,Hierba,herbacea,nativa,False,Trismeria trifoliata,False
Vittaria ensiformis,vittaria ensiformis,Hierba saxícola,herbacea,nativa,False,Vittaria ensiformis,False
Pellaea ternifolia,pellaea ternifolia,Hierba,herbacea,nativa,False,Pellaea ternifolia,False
Pteris berteroana,pteris berteroana,Hierba,herbacea,endemica,False,Pteris berteroana,False
Azolla filiculoides,azolla filiculoides,Hierba acuática,herbacea,nativa,False,Azolla filiculoides,False
Salvinia auriculata,salvinia auriculata,Hierba acuática,herbacea,introducida,False,Salvinia auriculata,False
Pteris chilensis,pteris chilensis,Hierba,herbacea,endemica,False,Pteris chilensis,False
Pteris semiadnata,pteris semiadnata,Hierba,herbacea,nativa,False,Pteris semiadnata,False
Thelypteris argentina,thelypteris argentina,Hierba,herbacea,nativa,False,Thelypteris argentina,False
Thelypteris dentata,thelypteris dentata,Hierba,herbacea,introducida,False,Thelypteris dentata,False
Thelypteris interrupta,thelypteris interrupta,Hierba,herbacea,nativa,False,Thelypteris interrupta,False
Ephedra americana,ephedra americana,Arbusto,lenosa,nativa,False,Ephedra americana,False
Ephedra chilensis,ephedra chilensis,Arbusto,lenosa,nativa,False,Ephedra chilensis,False
Woodsia montevidensis,woodsia montevidensis,Hierba,herbacea,endemica,False,Woodsia montevidensis,False
Ephedra multiflora,ephedra multiflora,Arbusto,lenosa,nativa,False,Ephedra multiflora,False
Ephedra ochreata,ephedra ochreata,Arbusto,lenosa,nativa,False,Ephedra ochreata,False
Ephedra trifurcata,ephedra trifurcata,Arbusto,lenosa,endemica,False,Ephedra trifurcata,False
Pilgerodendron uviferum,pilgerodendron uviferum,Árbol,lenosa,nativa,False,Pilgerodendron uviferum,False
Araucaria araucana,araucaria araucana,Árbol,lenosa,nativa,False,Araucaria araucana,False
