"q","n_individuals","method","value","lo","hi","metric"
0,1,"Rarefaction",1,1,1,"taxonomic"
0,5393,"Rarefaction",156.808299559842,154.779208326991,158.837390792694,"taxonomic"
0,10785,"Rarefaction",183.94957907449,181.206107923207,186.693050225773,"taxonomic"
0,16177,"Rarefaction",199.333676560577,196.03576057832,202.631592542835,"taxonomic"
0,21570,"Rarefaction",209.947618364963,206.169423240158,213.725813489768,"taxonomic"
0,26962,"Rarefaction",218.040846409446,213.834410489189,222.247282329703,"taxonomic"
0,32354,"Rarefaction",224.569906524852,219.973675189464,229.16613786024,"taxonomic"
0,37746,"Rarefaction",230.017565624103,225.060316618489,234.974814629717,"taxonomic"
0,43139,"Rarefaction",234.666327224642,229.370113206077,239.962541243208,"taxonomic"
0,48531,"Rarefaction",238.697840377008,233.080568863478,244.315111890539,"taxonomic"
0,53923,"Rarefaction",242.241899731022,236.318790666955,248.165008795089,"taxonomic"
0,59316,"Rarefaction",245.394383670328,239.178914421431,251.609852919225,"taxonomic"
0,64708,"Rarefaction",248.227005114301,241.731446739441,254.722563489161,"taxonomic"
0,70100,"Rarefaction",250.797244830154,244.032500463429,257.561989196879,"taxonomic"
0,75492,"Rarefaction",253.150014292293,246.125461850618,260.174566733967,"taxonomic"
0,80885,"Rarefaction",255.321386309912,248.044515473082,262.598257146743,"taxonomic"
0,86277,"Rarefaction",257.338952114181,249.815148028723,264.862756199638,"taxonomic"
0,91669,"Rarefaction",259.225670965222,251.457710132749,266.993631797696,"taxonomic"
0,97062,"Rarefaction",260.999680619804,252.987371140176,269.011990099431,"taxonomic"
0,97063,"Observed",261,252.98764500072,269.01235499928,"taxonomic"
0,97064,"Extrapolation",261.0003193768,252.98791885775,269.01271989585,"taxonomic"
0,102172,"Extrapolation",262.588168189422,254.341407365704,270.834929013141,"taxonomic"
0,107281,"Extrapolation",264.092347061578,255.606370587567,272.57832353559,"taxonomic"
0,112389,"Extrapolation",265.516706998919,256.785438354107,274.247975643731,"taxonomic"
0,117498,"Extrapolation",266.866011861612,257.882444115682,275.849579607542,"taxonomic"
0,122606,"Extrapolation",268.143716146159,258.9005532331,277.386879059218,"taxonomic"
0,127715,"Extrapolation",269.3540932138,259.843938099081,278.864248328518,"taxonomic"
0,132823,"Extrapolation",270.500241877457,260.716122901206,280.284360853708,"taxonomic"
0,137932,"Extrapolation",271.585995502436,261.521404479559,281.650586525312,"taxonomic"
0,143040,"Extrapolation",272.614133840149,262.263425926655,282.964841753643,"taxonomic"
0,148149,"Extrapolation",273.588095563046,262.946390883501,284.229800242592,"taxonomic"
0,153257,"Extrapolation",274.5103742124,263.573855802245,285.446892622554,"taxonomic"
0,158366,"Extrapolation",275.384054406364,264.149769540262,286.618339272466,"taxonomic"
0,163474,"Extrapolation",276.211372944981,264.677462312382,287.74528357758,"taxonomic"
0,168583,"Extrapolation",276.995096846424,265.160533337266,288.829660355582,"taxonomic"
0,173691,"Extrapolation",277.737232604223,265.60201037032,289.872454838125,"taxonomic"
0,178800,"Extrapolation",278.440262337455,266.00510351568,290.875421159231,"taxonomic"
0,183908,"Extrapolation",279.105985946071,266.372509754684,291.839462137459,"taxonomic"
0,189017,"Extrapolation",279.736629983977,266.707048778074,292.76621118988,"taxonomic"
0,194126,"Extrapolation",280.333922792124,267.011146313653,293.656699270594,"taxonomic"
1,1,"Rarefaction",1,1,1,"taxonomic"
1,5393,"Rarefaction",41.9017937317601,41.5124630005046,42.2911244630156,"taxonomic"
