"dataset","source","metric","q","n","method","value","lo","hi"
"unificado analisis","parcelas_cl","taxonomica",0,1,"Rarefaction",12.2786885245902,5,36
"unificado analisis","parcelas_cl","taxonomica",0,13,"Rarefaction",79.3880237948292,51.925,100
"unificado analisis","parcelas_cl","taxonomica",0,26,"Rarefaction",107.733352147034,88.975,127.025
"unificado analisis","parcelas_cl","taxonomica",0,39,"Rarefaction",125.329454700423,103.975,141
"unificado analisis","parcelas_cl","taxonomica",0,52,"Rarefaction",138.321671279065,122,158
"unificado analisis","parcelas_cl","taxonomica",0,64,"Rarefaction",147.943310526807,131.975,162
"unificado analisis","parcelas_cl","taxonomica",0,77,"Rarefaction",156.645079433472,141.975,171
"unificado analisis","parcelas_cl","taxonomica",0,90,"Rarefaction",164.044610987675,151,175.025
"unificado analisis","parcelas_cl","taxonomica",0,103,"Rarefaction",170.457863468383,155.975,183.05
"unificado analisis","parcelas_cl","taxonomica",0,116,"Rarefaction",176.099942009262,164,188
"unificado analisis","parcelas_cl","taxonomica",0,128,"Rarefaction",180.758429601756,170.975,192
"unificado analisis","parcelas_cl","taxonomica",0,141,"Rarefaction",185.319610780537,175,195
"unificado analisis","parcelas_cl","taxonomica",0,154,"Rarefaction",189.463782929332,178,198
"unificado analisis","parcelas_cl","taxonomica",0,167,"Rarefaction",193.261444341944,184.975,201
"unificado analisis","parcelas_cl","taxonomica",0,180,"Rarefaction",196.767954305209,189,204.025
"unificado analisis","parcelas_cl","taxonomica",0,192,"Rarefaction",199.784353874664,192,207
"unificado analisis","parcelas_cl","taxonomica",0,205,"Rarefaction",202.846316764234,196,208
"unificado analisis","parcelas_cl","taxonomica",0,218,"Rarefaction",205.72176973164,200,210
"unificado analisis","parcelas_cl","taxonomica",0,231,"Rarefaction",208.433521734722,204,211
"unificado analisis","parcelas_cl","taxonomica",0,244,"Observed",211,211,211
"unificado analisis","parcelas_cl","taxonomica",0,245,"Extrapolation",211.191850241677,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,257,"Extrapolation",213.434897783155,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,270,"Extrapolation",215.745828267819,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,283,"Extrapolation",217.939102967849,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,296,"Extrapolation",220.020712060686,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,308,"Extrapolation",221.84800741003,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,321,"Extrapolation",223.730603498253,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,334,"Extrapolation",225.517351476211,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,347,"Extrapolation",227.213131233062,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,360,"Extrapolation",228.822574209476,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,372,"Extrapolation",230.235388784487,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,385,"Extrapolation",231.690960371891,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,398,"Extrapolation",233.072424833034,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,411,"Extrapolation",234.383555164181,NA,NA
