"dataset","source","metric","q","n","method","value","lo","hi"
"unificado analisis","parcelas_cl","taxonomica",0,1,"Rarefaction",7.27391304347826,5,12
"unificado analisis","parcelas_cl","taxonomica",0,13,"Rarefaction",42.9945533256055,32.975,52.025
"unificado analisis","parcelas_cl","taxonomica",0,25,"Rarefaction",57.302604608065,48.975,66.025
"unificado analisis","parcelas_cl","taxonomica",0,37,"Rarefaction",66.6501725767635,57.975,76.025
"unificado analisis","parcelas_cl","taxonomica",0,49,"Rarefaction",73.6468122710797,65,81
"unificado analisis","parcelas_cl","taxonomica",0,61,"Rarefaction",79.2060333175541,69,87
"unificado analisis","parcelas_cl","taxonomica",0,73,"Rarefaction",83.7906506146989,74,91
"unificado analisis","parcelas_cl","taxonomica",0,85,"Rarefaction",87.6782214211934,79.975,94
"unificado analisis","parcelas_cl","taxonomica",0,97,"Rarefaction",91.0499750038474,82,97.025
"unificado analisis","parcelas_cl","taxonomica",0,109,"Rarefaction",94.0302815493819,86,101
"unificado analisis","parcelas_cl","taxonomica",0,121,"Rarefaction",96.7073452923649,90.975,104
"unificado analisis","parcelas_cl","taxonomica",0,133,"Rarefaction",99.1451960084648,94,105
"unificado analisis","parcelas_cl","taxonomica",0,145,"Rarefaction",101.391120484277,96,107.025
"unificado analisis","parcelas_cl","taxonomica",0,157,"Rarefaction",103.480510742993,98,109
"unificado analisis","parcelas_cl","taxonomica",0,169,"Rarefaction",105.440162389949,100,111
"unificado analisis","parcelas_cl","taxonomica",0,181,"Rarefaction",107.290597011583,103,112.025
"unificado analisis","parcelas_cl","taxonomica",0,193,"Rarefaction",109.047743393308,105,113
"unificado analisis","parcelas_cl","taxonomica",0,205,"Rarefaction",110.724181753377,106.975,114
"unificado analisis","parcelas_cl","taxonomica",0,217,"Rarefaction",112.330080780924,110,114
"unificado analisis","parcelas_cl","taxonomica",0,230,"Observed",114,114,114
"unificado analisis","parcelas_cl","taxonomica",0,231,"Extrapolation",114.125708373857,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,243,"Extrapolation",115.60508978022,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,255,"Extrapolation",117.032039645974,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,267,"Extrapolation",118.408416225142,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,279,"Extrapolation",119.736011912383,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,291,"Extrapolation",121.016555577144,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,303,"Extrapolation",122.251714815096,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,315,"Extrapolation",123.443098119766,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,327,"Extrapolation",124.592256977211,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,339,"Extrapolation",125.700687886446,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,351,"Extrapolation",126.769834308273,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,363,"Extrapolation",127.801088545035,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,375,"Extrapolation",128.795793553747,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,387,"Extrapolation",129.755244694975,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,399,"Extrapolation",130.680691419725,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,411,"Extrapolation",131.573338896544,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,423,"Extrapolation",132.434349580966,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,435,"Extrapolation",133.264844729319,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,447,"Extrapolation",134.065905858893,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,460,"Extrapolation",134.901715618162,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,1,"Rarefaction",7.27391304347826,5,12
"unificado analisis","parcelas_cl","taxonomica",1,13,"Rarefaction",33.6801169569347,23.5809258103171,42.5991167987886
"unificado analisis","parcelas_cl","taxonomica",1,25,"Rarefaction",40.0909757337311,32.5501167848415,48.1834663022112
"unificado analisis","parcelas_cl","taxonomica",1,37,"Rarefaction",43.1833019403849,36.2074747273029,50.1919074057506
"unificado analisis","parcelas_cl","taxonomica",1,49,"Rarefaction",45.049919990374,38.5910193897305,51.625812468228
"unificado analisis","parcelas_cl","taxonomica",1,61,"Rarefaction",46.3117512785058,40.5440082092965,52.3286113166128
"unificado analisis","parcelas_cl","taxonomica",1,73,"Rarefaction",47.2264453766713,42.6328171277496,52.5427134946602
"unificado analisis","parcelas_cl","taxonomica",1,85,"Rarefaction",47.9222606406684,43.4763284425941,52.0547626430207
"unificado analisis","parcelas_cl","taxonomica",1,97,"Rarefaction",48.4708114880008,43.4891041488616,52.942700750209
"unificado analisis","parcelas_cl","taxonomica",1,109,"Rarefaction",48.915400532749,45.1918016301596,53.0928019693546
"unificado analisis","parcelas_cl","taxonomica",1,121,"Rarefaction",49.2838022960631,45.3659420116541,52.8253235528352
"unificado analisis","parcelas_cl","taxonomica",1,133,"Rarefaction",49.5946649415038,46.8457233718601,52.7783567707434
"unificado analisis","parcelas_cl","taxonomica",1,145,"Rarefaction",49.860976638194,47.0096373661177,53.3454808932032
"unificado analisis","parcelas_cl","taxonomica",1,157,"Rarefaction",50.0920608461203,47.4667901501642,52.7414921531931
"unificado analisis","parcelas_cl","taxonomica",1,169,"Rarefaction",50.2947829265737,48.1557337723802,52.2406584133613
"unificado analisis","parcelas_cl","taxonomica",1,181,"Rarefaction",50.4743101405184,48.507479397677,52.6227521777497
"unificado analisis","parcelas_cl","taxonomica",1,193,"Rarefaction",50.6346069782774,49.2887997160794,52.1506250307461
"unificado analisis","parcelas_cl","taxonomica",1,205,"Rarefaction",50.7787675075253,49.3631740014653,52.1300624168599
"unificado analisis","parcelas_cl","taxonomica",1,217,"Rarefaction",50.9092440105505,49.9421313019264,51.7974528205158
"unificado analisis","parcelas_cl","taxonomica",1,230,"Observed",51.0374285474419,51.0374285474419,51.0374285474419
"unificado analisis","parcelas_cl","taxonomica",1,231,"Extrapolation",51.0468134297231,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,243,"Extrapolation",51.1566783641892,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,255,"Extrapolation",51.2616184391732,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,267,"Extrapolation",51.3618544188435,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,279,"Extrapolation",51.4575971712859,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,291,"Extrapolation",51.5490481121098,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,303,"Extrapolation",51.6363996281693,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,315,"Extrapolation",51.7198354822914,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,327,"Extrapolation",51.7995311998601,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,339,"Extrapolation",51.8756544380725,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,351,"Extrapolation",51.9483653386419,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,363,"Extrapolation",52.0178168646905,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,375,"Extrapolation",52.0841551225405,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,387,"Extrapolation",52.1475196690804,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,399,"Extrapolation",52.2080438053531,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,411,"Extrapolation",52.2658548569835,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,423,"Extrapolation",52.3210744420356,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,435,"Extrapolation",52.3738187268622,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,447,"Extrapolation",52.4241986704865,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,460,"Extrapolation",52.476231657142,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,1,"Rarefaction",7.27391304347826,5,12
"unificado analisis","parcelas_cl","taxonomica",2,13,"Rarefaction",26.6939467321891,17.8058023874587,35.5202482823878
"unificado analisis","parcelas_cl","taxonomica",2,25,"Rarefaction",29.8855024208405,23.9595888568729,38.0894401220858
"unificado analisis","parcelas_cl","taxonomica",2,37,"Rarefaction",31.1959809564929,25.6973586176325,37.6933738621904
"unificado analisis","parcelas_cl","taxonomica",2,49,"Rarefaction",31.9098827746916,26.1925075236074,37.9459712051869
