# logs_pheno.log -> 02_extract_phenology.py (5 indices - FINAL)
#
# Log condensado para versionarlo. Original: 9862 lineas, 0.8 MB.
# Solo se colapsaron los bloques de advertencia (linea de Warning + su eco de codigo),
# contabilizados al final. Ninguna linea de salida del script fue eliminada.

plots: 1082 | loads (cell x year): 294
dask: 4 workers
[1/294] 25_1184 2013: 1/1 plots, 80 obs, 58s
[2/294] 26_1184 2013: 1/1 plots, 80 obs, 47s
[3/294] 29_1162 2012: 1/1 plots, 129 obs, 51s
[4/294] 29_1182 2013: 1/1 plots, 79 obs, 37s
[5/294] 30_1160 2013: 2/2 plots, 153 obs, 56s
[6/294] 30_1161 2006: 2/2 plots, 204 obs, 89s
[7/294] 30_1162 2013: 1/1 plots, 153 obs, 57s
[8/294] 30_1185 2013: 1/1 plots, 81 obs, 49s
[9/294] 31_1182 2013: 1/1 plots, 149 obs, 54s
[10/294] 31_1206 2013: 1/1 plots, 78 obs, 27s
[11/294] 33_1163 2013: 1/1 plots, 153 obs, 55s
[12/294] 33_1193 2013: 1/1 plots, 143 obs, 55s
[13/294] 33_1202 2013: 1/1 plots, 80 obs, 27s
[14/294] 34_1198 2013: 1/1 plots, 131 obs, 43s
[15/294] 34_1201 2023: 6/6 plots, 120 obs, 57s
[16/294] 34_1202 2006: 5/5 plots, 98 obs, 45s
[17/294] 34_1202 2013: 1/1 plots, 80 obs, 29s
[18/294] 34_1202 2025: 1/1 plots, 117 obs, 52s
[19/294] 35_1197 2013: 1/1 plots, 160 obs, 59s
[20/294] 35_1197 2019: 10/10 plots, 226 obs, 104s
[21/294] 35_1197 2020: 4/4 plots, 204 obs, 80s
[22/294] 35_1197 2021: 4/4 plots, 196 obs, 79s
[23/294] 35_1197 2023: 4/4 plots, 225 obs, 94s
[24/294] 35_1201 2023: 4/4 plots, 224 obs, 86s
[25/294] 36_1199 2013: 3/3 plots, 160 obs, 65s
[26/294] 36_1200 2013: 3/3 plots, 160 obs, 56s
[27/294] 36_1200 2019: 4/4 plots, 234 obs, 99s
[28/294] 36_1200 2022: 5/5 plots, 234 obs, 95s
[29/294] 36_1201 2022: 2/2 plots, 228 obs, 83s
[30/294] 36_1201 2023: 2/2 plots, 225 obs, 82s
[31/294] 36_1206 2019: 1/1 plots, 164 obs, 62s
[32/294] 37_1196 2013: 2/2 plots, 159 obs, 63s
[33/294] 37_1196 2019: 3/3 plots, 234 obs, 89s
[34/294] 37_1200 2013: 1/1 plots, 159 obs, 55s
[35/294] 37_1200 2019: 3/3 plots, 234 obs, 84s
[36/294] 37_1201 2019: 3/3 plots, 234 obs, 83s
[37/294] 37_1202 2013: 3/3 plots, 159 obs, 59s
[38/294] 37_1202 2019: 6/6 plots, 234 obs, 86s
[39/294] 37_1203 2019: 4/4 plots, 234 obs, 84s
[40/294] 37_1203 2022: 4/4 plots, 248 obs, 101s
[41/294] 37_1206 2006: 6/6 plots, 197 obs, 86s
[42/294] 37_1206 2013: 1/1 plots, 160 obs, 59s
[43/294] 37_1206 2023: 1/1 plots, 233 obs, 87s
[44/294] 37_1206 2025: 1/1 plots, 240 obs, 95s
[45/294] 38_1199 2013: 1/1 plots, 159 obs, 54s
[46/294] 38_1201 2013: 1/1 plots, 159 obs, 52s
[47/294] 38_1203 2019: 9/9 plots, 234 obs, 101s
[48/294] 38_1203 2022: 5/5 plots, 253 obs, 98s
[49/294] 38_1205 2019: 1/1 plots, 234 obs, 80s
[50/294] 38_1205 2021: 4/4 plots, 243 obs, 89s
[51/294] 38_1206 2019: 7/7 plots, 234 obs, 86s
[52/294] 38_1206 2021: 5/5 plots, 243 obs, 85s
[53/294] 38_1206 2022: 3/3 plots, 254 obs, 89s
[54/294] 38_1206 2025: 2/2 plots, 240 obs, 96s
[55/294] 38_1207 2025: 1/1 plots, 240 obs, 88s
[56/294] 39_1199 2013: 3/3 plots, 159 obs, 68s
[57/294] 39_1202 2013: 1/1 plots, 159 obs, 59s
[58/294] 39_1203 2013: 1/1 plots, 159 obs, 58s
[59/294] 39_1205 2021: 1/1 plots, 243 obs, 103s
[60/294] 39_1206 2019: 4/4 plots, 234 obs, 102s
[61/294] 39_1206 2021: 2/2 plots, 243 obs, 97s
[62/294] 39_1206 2025: 2/2 plots, 240 obs, 106s
[63/294] 39_1207 2019: 4/4 plots, 234 obs, 94s
[64/294] 39_1207 2020: 2/2 plots, 238 obs, 89s
[65/294] 39_1207 2021: 3/3 plots, 243 obs, 94s
[66/294] 39_1207 2025: 1/1 plots, 240 obs, 103s
[67/294] 39_1211 2013: 2/2 plots, 159 obs, 67s
[68/294] 40_1199 2013: 1/1 plots, 159 obs, 61s
[69/294] 40_1214 2013: 3/3 plots, 165 obs, 91s
[70/294] 40_1215 2013: 3/3 plots, 165 obs, 89s
[71/294] 41_1214 2013: 2/2 plots, 165 obs, 83s
[72/294] 41_1215 2013: 2/2 plots, 165 obs, 79s
[73/294] 42_1214 2013: 1/1 plots, 165 obs, 74s
[74/294] 43_1211 2013: 2/2 plots, 159 obs, 58s
[75/294] 43_1212 2013: 1/1 plots, 159 obs, 57s
[76/294] 44_1209 2021: 8/8 plots, 242 obs, 103s
[77/294] 44_1211 2013: 1/1 plots, 159 obs, 58s
[78/294] 44_1213 2013: 2/2 plots, 161 obs, 65s
[79/294] 46_1239 2013: 1/1 plots, 158 obs, 68s
[80/294] 46_1243 2013: 1/1 plots, 158 obs, 63s
[81/294] 47_1213 2019: 1/1 plots, 240 obs, 148s
[82/294] 47_1223 2017: 11/11 plots, 239 obs, 140s
[83/294] 49_1321 2003: 2/2 plots, 96 obs, 45s
[84/294] 49_1321 2013: 1/1 plots, 81 obs, 37s
[85/294] 50_1179 2013: 1/1 plots, 82 obs, 35s
[86/294] 50_1261 2013: 1/1 plots, 150 obs, 65s
[87/294] 51_1165 2013: 1/1 plots, 82 obs, 33s
[88/294] 51_1166 2013: 1/1 plots, 82 obs, 29s
[89/294] 51_1250 2014: 4/4 plots, 182 obs, 114s
[90/294] 51_1261 2014: 3/3 plots, 180 obs, 70s
[91/294] 51_1267 2013: 1/1 plots, 150 obs, 56s
[92/294] 52_1169 2013: 1/1 plots, 82 obs, 33s
[93/294] 52_1266 2018: 3/3 plots, 240 obs, 109s
[94/294] 53_1172 2013: 1/1 plots, 82 obs, 32s
[95/294] 53_1177 2013: 1/1 plots, 82 obs, 30s
[96/294] 53_1183 2013: 1/1 plots, 82 obs, 33s
[97/294] 53_1184 2013: 1/1 plots, 84 obs, 35s
[98/294] 53_1265 2013: 1/1 plots, 150 obs, 57s
[99/294] 53_1272 2014: 1/1 plots, 180 obs, 66s
[100/294] 53_1272 2022: 4/4 plots, 265 obs, 119s
[101/294] 53_1288 2013: 1/1 plots, 153 obs, 67s
[102/294] 53_1290 2013: 2/2 plots, 95 obs, 36s
[103/294] 53_1293 2013: 1/1 plots, 88 obs, 31s
[104/294] 53_1296 2013: 1/1 plots, 88 obs, 31s
[105/294] 54_1251 2014: 3/3 plots, 181 obs, 105s
[106/294] 54_1252 2014: 1/1 plots, 181 obs, 103s
[107/294] 54_1257 2014: 2/2 plots, 180 obs, 72s
[108/294] 54_1263 2014: 4/4 plots, 180 obs, 72s
[109/294] 54_1264 2014: 3/3 plots, 180 obs, 71s
[110/294] 54_1269 2014: 5/5 plots, 180 obs, 76s
[111/294] 54_1271 2022: 2/2 plots, 265 obs, 121s
[112/294] 54_1272 2014: 2/2 plots, 180 obs, 69s
[113/294] 54_1273 2014: 2/2 plots, 180 obs, 66s
[114/294] 54_1278 2010: 3/3 plots, 187 obs, 114s
[115/294] 54_1287 2010: 17/17 plots, 189 obs, 95s
[116/294] 54_1287 2014: 4/4 plots, 198 obs, 104s
[117/294] 55_1190 2013: 1/1 plots, 82 obs, 35s
[118/294] 55_1253 2014: 1/1 plots, 179 obs, 88s
[119/294] 55_1259 2022: 11/11 plots, 265 obs, 123s
[120/294] 55_1260 2014: 4/4 plots, 179 obs, 70s
[121/294] 55_1274 2014: 1/1 plots, 180 obs, 67s
[122/294] 55_1276 2014: 1/1 plots, 185 obs, 77s
[123/294] 55_1277 2019: 11/11 plots, 253 obs, 141s
[124/294] 55_1278 2010: 10/10 plots, 187 obs, 107s
[125/294] 55_1278 2014: 3/3 plots, 198 obs, 101s
[126/294] 55_1278 2021: 1/1 plots, 269 obs, 159s
[127/294] 55_1279 2010: 6/6 plots, 187 obs, 96s
[128/294] 56_1172 2006: 1/1 plots, 202 obs, 86s
[129/294] 56_1190 2013: 1/1 plots, 82 obs, 33s
[130/294] 56_1253 2014: 3/3 plots, 177 obs, 81s
[131/294] 56_1260 2014: 1/1 plots, 179 obs, 63s
[132/294] 56_1265 2014: 1/1 plots, 180 obs, 62s
[133/294] 56_1266 2014: 1/1 plots, 180 obs, 61s
[134/294] 56_1269 2014: 1/1 plots, 180 obs, 61s
[135/294] 56_1272 2022: 4/4 plots, 265 obs, 108s
[136/294] 56_1276 2014: 3/3 plots, 185 obs, 77s
[137/294] 56_1296 2013: 1/1 plots, 174 obs, 69s
[138/294] 56_1329 2012: 4/4 plots, 80 obs, 38s
[139/294] 56_1330 2012: 16/16 plots, 80 obs, 40s
[140/294] 57_1172 2006: 1/1 plots, 216 obs, 87s
[141/294] 57_1196 2013: 2/2 plots, 82 obs, 33s
[142/294] 57_1198 2013: 1/1 plots, 82 obs, 28s
[143/294] 57_1199 2013: 1/1 plots, 82 obs, 28s
[144/294] 57_1259 2014: 2/2 plots, 175 obs, 63s
[145/294] 57_1265 2013: 1/1 plots, 149 obs, 53s
[146/294] 57_1265 2014: 4/4 plots, 179 obs, 62s
[147/294] 57_1267 2013: 1/1 plots, 149 obs, 52s
[148/294] 57_1268 2022: 4/4 plots, 265 obs, 106s
[149/294] 57_1279 2014: 3/3 plots, 198 obs, 97s
[150/294] 57_1329 2012: 4/4 plots, 80 obs, 35s
[151/294] 57_1330 2012: 6/6 plots, 80 obs, 28s
[152/294] 58_1196 2013: 1/1 plots, 82 obs, 31s
[153/294] 58_1248 2014: 1/1 plots, 100 obs, 47s
[154/294] 58_1249 2014: 2/2 plots, 100 obs, 53s
[155/294] 58_1265 2014: 1/1 plots, 178 obs, 63s
[156/294] 58_1269 2014: 1/1 plots, 179 obs, 63s
[157/294] 58_1279 2014: 2/2 plots, 198 obs, 99s
[158/294] 58_1306 2022: 4/4 plots, 209 obs, 106s
[159/294] 58_1307 2022: 24/24 plots, 247 obs, 128s
[160/294] 58_1308 2022: 3/3 plots, 238 obs, 135s
[161/294] 59_1196 2013: 1/1 plots, 82 obs, 34s
[162/294] 59_1202 2013: 1/1 plots, 82 obs, 31s
[163/294] 59_1267 2014: 3/3 plots, 152 obs, 65s
[164/294] 59_1267 2022: 4/4 plots, 240 obs, 102s
[165/294] 59_1268 2014: 1/1 plots, 168 obs, 60s
[166/294] 59_1270 2014: 1/1 plots, 173 obs, 62s
[167/294] 59_1272 2014: 1/1 plots, 178 obs, 62s
[168/294] 59_1272 2022: 4/4 plots, 265 obs, 103s
[169/294] 59_1276 2014: 6/6 plots, 185 obs, 80s
[170/294] 59_1303 2022: 1/1 plots, 283 obs, 120s
[171/294] 60_1213 2013: 1/1 plots, 82 obs, 34s
[172/294] 60_1243 2026: 1/1 plots, 106 obs, 52s
[173/294] 60_1244 2026: 5/5 plots, 106 obs, 44s
[174/294] 60_1245 2026: 2/2 plots, 106 obs, 39s
[175/294] 60_1266 2019: 47/47 plots, 165 obs, 106s
[176/294] 60_1268 2014: 1/1 plots, 112 obs, 44s
[177/294] 60_1269 2014: 1/1 plots, 142 obs, 50s
[178/294] 60_1269 2019: 1/1 plots, 167 obs, 65s
[179/294] 60_1270 2013: 1/1 plots, 93 obs, 35s
[180/294] 60_1270 2022: 4/4 plots, 181 obs, 76s
[181/294] 60_1271 2022: 4/4 plots, 184 obs, 71s
[182/294] 60_1277 2022: 4/4 plots, 281 obs, 150s
[183/294] 60_1302 2022: 12/12 plots, 282 obs, 118s
[184/294] 60_1303 2022: 12/12 plots, 282 obs, 112s
[185/294] 60_1304 2022: 2/2 plots, 282 obs, 99s
[186/294] 61_1243 2026: 3/3 plots, 106 obs, 46s
[187/294] 61_1244 2026: 4/4 plots, 106 obs, 41s
[188/294] 61_1245 2026: 3/3 plots, 106 obs, 40s
[189/294] 61_1253 2017: 1/1 plots, 126 obs, 77s
[190/294] 61_1270 2022: 4/4 plots, 181 obs, 72s
[191/294] 61_1276 2021: 1/1 plots, 247 obs, 108s
[192/294] 61_1288 2019: 1/1 plots, 262 obs, 113s
[193/294] 61_1303 2022: 2/2 plots, 282 obs, 107s
[194/294] 62_1206 2013: 1/1 plots, 83 obs, 33s
