tile_id,xmin,ymin,xmax,ymax,native_px240,native_frac
t2_446,19980,4455540,29970,4465530,1006,0.334664005322688
t2_447,19980,4465530,29970,4475520,771,0.2564870259481038
t2_448,19980,4475520,29970,4485510,1261,0.4194943446440452
t2_449,19980,4485510,29970,4495500,109,0.03626081170991351
t2_450,19980,4495500,29970,4505490,542,0.18030605455755155
t2_451,19980,4505490,29970,4515480,347,0.11543579507651364
t2_452,19980,4515480,29970,4525470,6,0.001996007984031936
t2_453,19980,4525470,29970,4535460,1947,0.6477045908183633
t2_454,19980,4535460,29970,4545450,1373,0.45675316034597474
t2_455,19980,4545450,29970,4555440,1806,0.6007984031936128
t2_456,19980,4555440,29970,4565430,1774,0.5901530272787758
t2_457,19980,4565430,29970,4575420,1758,0.5848303393213573
t2_458,19980,4575420,29970,4585410,1712,0.5695276114437791
t2_459,19980,4585410,29970,4595400,1765,0.5871590153027278
t2_460,19980,4595400,29970,4605390,1547,0.5146373918829009
t2_461,19980,4605390,29970,4615380,1601,0.5326014637391883
t2_462,19980,4615380,29970,4625370,1636,0.5442448436460412
t2_463,19980,4625370,29970,4635360,1445,0.48070525615435794
t2_464,19980,4635360,29970,4645350,1817,0.604457751164338
t2_465,19980,4645350,29970,4655340,2289,0.7614770459081837
t2_466,19980,4655340,29970,4665330,1295,0.43080505655355955
t2_467,19980,4665330,29970,4675320,2,0.0006653359946773121
t2_468,19980,4675320,29970,4685310,1,0.00033266799733865603
t2_469,19980,4685310,29970,4695300,648,0.2155688622754491
t2_470,19980,4695300,29970,4705290,18,0.005988023952095809
t2_478,19980,4775220,29970,4785210,29,0.009647371922821025
t2_479,19980,4785210,29970,4795200,684,0.2275449101796407
t2_480,19980,4795200,29970,4805190,262,0.08715901530272788
t2_481,19980,4805190,29970,4815180,956,0.3180306054557552
t2_482,19980,4815180,29970,4825170,2205,0.7335329341317365
t2_483,19980,4825170,29970,4835160,2536,0.8436460412508316
t2_484,19980,4835160,29970,4845150,2139,0.7115768463073853
t2_485,19980,4845150,29970,4855140,756,0.25149700598802394
t2_486,19980,4855140,29970,4865130,1,0.00033266799733865603
t2_489,19980,4885110,29970,4895100,2,0.0006653359946773121
t2_490,19980,4895100,29970,4905090,310,0.10312707917498337
t2_501,19980,5004990,29970,5014980,559,0.18596141051230872
t2_502,19980,5014980,29970,5024970,271,0.09015302727877578
t2_516,19980,5154840,29970,5164830,72,0.023952095808383235
t3_437,29970,4365630,39960,4375620,12,0.003992015968063872
t3_439,29970,4385610,39960,4395600,10,0.00332667997338656
t3_440,29970,4395600,39960,4405590,26,0.008649367930805056
t3_441,29970,4405590,39960,4415580,64,0.021290751829673986
t3_443,29970,4425570,39960,4435560,2,0.0006653359946773121
t3_446,29970,4455540,39960,4465530,164,0.054557551563539586
t3_447,29970,4465530,39960,4475520,2163,0.719560878243513
t3_448,29970,4475520,39960,4485510,2657,0.8838988689288091
t3_449,29970,4485510,39960,4495500,942,0.313373253493014
t3_450,29970,4495500,39960,4505490,1308,0.4351297405189621
t3_451,29970,4505490,39960,4515480,1359,0.45209580838323354
t3_452,29970,4515480,39960,4525470,1731,0.5758483033932136
t3_453,29970,4525470,39960,4535460,706,0.23486360612109114
t3_454,29970,4535460,39960,4545450,1588,0.5282767797737857
t3_455,29970,4545450,39960,4555440,1613,0.5365934797072521
t3_456,29970,4555440,39960,4565430,1707,0.5678642714570858
t3_457,29970,4565430,39960,4575420,1718,0.571523619427811
t3_458,29970,4575420,39960,4585410,1096,0.364604125083167
t3_459,29970,4585410,39960,4595400,1790,0.5954757152361942
t3_460,29970,4595400,39960,4605390,1808,0.6014637391882901
t3_461,29970,4605390,39960,4615380,1599,0.5319361277445109
t3_462,29970,4615380,39960,4625370,1288,0.42847638057218895
t3_463,29970,4625370,39960,4635360,1847,0.6144377910844977
t3_464,29970,4635360,39960,4645350,2031,0.6756487025948104
t3_465,29970,4645350,39960,4655340,1622,0.5395874916833001
t3_466,29970,4655340,39960,4665330,1071,0.3562874251497006
t3_467,29970,4665330,39960,4675320,792,0.2634730538922156
t3_468,29970,4675320,39960,4685310,390,0.12974051896207583
t3_469,29970,4685310,39960,4695300,1415,0.4707252162341983
t3_470,29970,4695300,39960,4705290,172,0.057218895542248835
t3_480,29970,4795200,39960,4805190,198,0.0658682634730539
t3_481,29970,4805190,39960,4815180,234,0.07784431137724551
t3_482,29970,4815180,39960,4825170,1171,0.3895542248835662
t3_483,29970,4825170,39960,4835160,2358,0.7844311377245509
t3_484,29970,4835160,39960,4845150,2472,0.8223552894211577
t3_485,29970,4845150,39960,4855140,2075,0.6902860944777113
t3_486,29970,4855140,39960,4865130,1514,0.5036593479707252
t3_487,29970,4865130,39960,4875120,242,0.08050565535595476
t3_488,29970,4875120,39960,4885110,1656,0.5508982035928144
t3_489,29970,4885110,39960,4895100,1212,0.4031936127744511
t3_490,29970,4895100,39960,4905090,1765,0.5871590153027278
t3_491,29970,4905090,39960,4915080,96,0.031936127744510975
t3_493,29970,4925070,39960,4935060,123,0.04091816367265469
t3_504,29970,5034960,39960,5044950,101,0.03359946773120426
t3_505,29970,5044950,39960,5054940,249,0.08283433133732535
t3_515,29970,5144850,39960,5154840,1048,0.3486360612109115
t3_516,29970,5154840,39960,5164830,1545,0.5139720558882236
t4_435,39960,4345650,49950,4355640,41,0.013639387890884896
t4_436,39960,4355640,49950,4365630,985,0.3276779773785762
t4_437,39960,4365630,49950,4375620,1585,0.5272787757817698
t4_438,39960,4375620,49950,4385610,1170,0.38922155688622756
t4_439,39960,4385610,49950,4395600,897,0.29840319361277445
t4_440,39960,4395600,49950,4405590,1232,0.4098469727212242
t4_441,39960,4405590,49950,4415580,1293,0.4301397205588822
t4_442,39960,4415580,49950,4425570,1292,0.42980705256154356
t4_443,39960,4425570,49950,4435560,825,0.2744510978043912
t4_444,39960,4435560,49950,4445550,1211,0.40286094477711243
t4_445,39960,4445550,49950,4455540,12,0.003992015968063872
t4_446,39960,4455540,49950,4465530,1814,0.603459747172322
t4_447,39960,4465530,49950,4475520,2304,0.7664670658682635
t4_448,39960,4475520,49950,4485510,1944,0.6467065868263473
t4_449,39960,4485510,49950,4495500,1369,0.4554224883566201
t4_450,39960,4495500,49950,4505490,1323,0.44011976047904194
t4_451,39960,4505490,49950,4515480,1474,0.490352628077179
t4_452,39960,4515480,49950,4525470,1349,0.44876912840984695
t4_453,39960,4525470,49950,4535460,827,0.2751164337990685
t4_454,39960,4535460,49950,4545450,1022,0.33998669328010644
t4_455,39960,4545450,49950,4555440,1667,0.5545575515635396
t4_456,39960,4555440,49950,4565430,2121,0.7055888223552894
t4_457,39960,4565430,49950,4575420,2192,0.729208250166334
t4_458,39960,4575420,49950,4585410,1544,0.5136393878908849
t4_459,39960,4585410,49950,4595400,1532,0.5096473719228211
t4_460,39960,4595400,49950,4605390,2008,0.6679973386560213
t4_461,39960,4605390,49950,4615380,1900,0.6320691949434465
