tile_id,xmin,ymin,xmax,ymax
t2_446,19980,4455540,29970,4465530
t2_447,19980,4465530,29970,4475520
t2_448,19980,4475520,29970,4485510
t2_449,19980,4485510,29970,4495500
t2_450,19980,4495500,29970,4505490
t2_451,19980,4505490,29970,4515480
t2_453,19980,4525470,29970,4535460
t2_454,19980,4535460,29970,4545450
t2_455,19980,4545450,29970,4555440
t2_456,19980,4555440,29970,4565430
t2_457,19980,4565430,29970,4575420
t2_458,19980,4575420,29970,4585410
t2_459,19980,4585410,29970,4595400
t2_460,19980,4595400,29970,4605390
t2_461,19980,4605390,29970,4615380
t2_462,19980,4615380,29970,4625370
t2_463,19980,4625370,29970,4635360
t2_464,19980,4635360,29970,4645350
t2_465,19980,4645350,29970,4655340
t2_466,19980,4655340,29970,4665330
t2_469,19980,4685310,29970,4695300
t2_478,19980,4775220,29970,4785210
t2_479,19980,4785210,29970,4795200
t2_480,19980,4795200,29970,4805190
t2_481,19980,4805190,29970,4815180
t2_482,19980,4815180,29970,4825170
t2_483,19980,4825170,29970,4835160
t2_484,19980,4835160,29970,4845150
t2_485,19980,4845150,29970,4855140
t2_490,19980,4895100,29970,4905090
t2_501,19980,5004990,29970,5014980
t2_502,19980,5014980,29970,5024970
t2_516,19980,5154840,29970,5164830
t3_440,29970,4395600,39960,4405590
t3_441,29970,4405590,39960,4415580
t3_446,29970,4455540,39960,4465530
t3_447,29970,4465530,39960,4475520
t3_448,29970,4475520,39960,4485510
t3_449,29970,4485510,39960,4495500
t3_450,29970,4495500,39960,4505490
t3_451,29970,4505490,39960,4515480
t3_452,29970,4515480,39960,4525470
t3_453,29970,4525470,39960,4535460
t3_454,29970,4535460,39960,4545450
t3_455,29970,4545450,39960,4555440
t3_456,29970,4555440,39960,4565430
t3_457,29970,4565430,39960,4575420
t3_458,29970,4575420,39960,4585410
t3_459,29970,4585410,39960,4595400
t3_460,29970,4595400,39960,4605390
t3_461,29970,4605390,39960,4615380
t3_462,29970,4615380,39960,4625370
t3_463,29970,4625370,39960,4635360
t3_464,29970,4635360,39960,4645350
t3_465,29970,4645350,39960,4655340
t3_466,29970,4655340,39960,4665330
t3_467,29970,4665330,39960,4675320
t3_468,29970,4675320,39960,4685310
t3_469,29970,4685310,39960,4695300
t3_470,29970,4695300,39960,4705290
t3_480,29970,4795200,39960,4805190
t3_481,29970,4805190,39960,4815180
t3_482,29970,4815180,39960,4825170
t3_483,29970,4825170,39960,4835160
t3_484,29970,4835160,39960,4845150
t3_485,29970,4845150,39960,4855140
t3_486,29970,4855140,39960,4865130
t3_487,29970,4865130,39960,4875120
t3_488,29970,4875120,39960,4885110
t3_489,29970,4885110,39960,4895100
t3_490,29970,4895100,39960,4905090
t3_491,29970,4905090,39960,4915080
t3_493,29970,4925070,39960,4935060
t3_504,29970,5034960,39960,5044950
t3_505,29970,5044950,39960,5054940
t3_515,29970,5144850,39960,5154840
t3_516,29970,5154840,39960,5164830
t4_435,39960,4345650,49950,4355640
t4_436,39960,4355640,49950,4365630
t4_437,39960,4365630,49950,4375620
t4_438,39960,4375620,49950,4385610
t4_439,39960,4385610,49950,4395600
t4_440,39960,4395600,49950,4405590
t4_441,39960,4405590,49950,4415580
t4_442,39960,4415580,49950,4425570
t4_443,39960,4425570,49950,4435560
t4_444,39960,4435560,49950,4445550
t4_446,39960,4455540,49950,4465530
t4_447,39960,4465530,49950,4475520
t4_448,39960,4475520,49950,4485510
t4_449,39960,4485510,49950,4495500
t4_450,39960,4495500,49950,4505490
t4_451,39960,4505490,49950,4515480
t4_452,39960,4515480,49950,4525470
t4_453,39960,4525470,49950,4535460
t4_454,39960,4535460,49950,4545450
t4_455,39960,4545450,49950,4555440
t4_456,39960,4555440,49950,4565430
t4_457,39960,4565430,49950,4575420
t4_458,39960,4575420,49950,4585410
t4_459,39960,4585410,49950,4595400
t4_460,39960,4595400,49950,4605390
t4_461,39960,4605390,49950,4615380
t4_462,39960,4615380,49950,4625370
t4_463,39960,4625370,49950,4635360
t4_464,39960,4635360,49950,4645350
t4_465,39960,4645350,49950,4655340
t4_466,39960,4655340,49950,4665330
t4_467,39960,4665330,49950,4675320
t4_468,39960,4675320,49950,4685310
t4_469,39960,4685310,49950,4695300
t4_470,39960,4695300,49950,4705290
t4_481,39960,4805190,49950,4815180
t4_482,39960,4815180,49950,4825170
t4_483,39960,4825170,49950,4835160
t4_484,39960,4835160,49950,4845150
t4_485,39960,4845150,49950,4855140
t4_486,39960,4855140,49950,4865130
t4_487,39960,4865130,49950,4875120
t4_488,39960,4875120,49950,4885110
t4_489,39960,4885110,49950,4895100
t4_490,39960,4895100,49950,4905090
t4_491,39960,4905090,49950,4915080
t4_492,39960,4915080,49950,4925070
t4_493,39960,4925070,49950,4935060
t4_494,39960,4935060,49950,4945050
t4_504,39960,5034960,49950,5044950
t4_505,39960,5044950,49950,5054940
t4_515,39960,5144850,49950,5154840
t4_516,39960,5154840,49950,5164830
t5_435,49950,4345650,59940,4355640
t5_436,49950,4355640,59940,4365630
t5_437,49950,4365630,59940,4375620
t5_438,49950,4375620,59940,4385610
t5_439,49950,4385610,59940,4395600
t5_440,49950,4395600,59940,4405590
t5_441,49950,4405590,59940,4415580
t5_442,49950,4415580,59940,4425570
t5_443,49950,4425570,59940,4435560
t5_444,49950,4435560,59940,4445550
t5_445,49950,4445550,59940,4455540
t5_446,49950,4455540,59940,4465530
t5_447,49950,4465530,59940,4475520
t5_448,49950,4475520,59940,4485510
t5_449,49950,4485510,59940,4495500
t5_450,49950,4495500,59940,4505490
t5_451,49950,4505490,59940,4515480
t5_452,49950,4515480,59940,4525470
t5_453,49950,4525470,59940,4535460
t5_454,49950,4535460,59940,4545450
t5_455,49950,4545450,59940,4555440
t5_456,49950,4555440,59940,4565430
