tile_id,xmin,ymin,xmax,ymax
t2_449,19980,4485510,29970,4495500
t2_450,19980,4495500,29970,4505490
t2_455,19980,4545450,29970,4555440
t2_456,19980,4555440,29970,4565430
t2_460,19980,4595400,29970,4605390
t2_461,19980,4605390,29970,4615380
t2_465,19980,4645350,29970,4655340
t2_466,19980,4655340,29970,4665330
t2_480,19980,4795200,29970,4805190
t2_481,19980,4805190,29970,4815180
t2_485,19980,4845150,29970,4855140
t2_490,19980,4895100,29970,4905090
t3_440,29970,4395600,39960,4405590
t3_441,29970,4405590,39960,4415580
t3_449,29970,4485510,39960,4495500
t3_450,29970,4495500,39960,4505490
t3_454,29970,4535460,39960,4545450
t3_455,29970,4545450,39960,4555440
t3_459,29970,4585410,39960,4595400
t3_460,29970,4595400,39960,4605390
t3_464,29970,4635360,39960,4645350
t3_465,29970,4645350,39960,4655340
t3_469,29970,4685310,39960,4695300
t3_470,29970,4695300,39960,4705290
t3_483,29970,4825170,39960,4835160
t3_484,29970,4835160,39960,4845150
t3_488,29970,4875120,39960,4885110
t3_489,29970,4885110,39960,4895100
t3_504,29970,5034960,39960,5044950
t3_505,29970,5044950,39960,5054940
t4_436,39960,4355640,49950,4365630
t4_437,39960,4365630,49950,4375620
t4_441,39960,4405590,49950,4415580
t4_442,39960,4415580,49950,4425570
t4_447,39960,4465530,49950,4475520
t4_448,39960,4475520,49950,4485510
t4_452,39960,4515480,49950,4525470
t4_453,39960,4525470,49950,4535460
t4_457,39960,4565430,49950,4575420
t4_458,39960,4575420,49950,4585410
t4_462,39960,4615380,49950,4625370
t4_463,39960,4625370,49950,4635360
t4_467,39960,4665330,49950,4675320
t4_468,39960,4675320,49950,4685310
t4_482,39960,4815180,49950,4825170
t4_483,39960,4825170,49950,4835160
t4_487,39960,4865130,49950,4875120
t4_488,39960,4875120,49950,4885110
t4_492,39960,4915080,49950,4925070
t4_493,39960,4925070,49950,4935060
t4_515,39960,5144850,49950,5154840
t4_516,39960,5154840,49950,5164830
t5_438,49950,4375620,59940,4385610
t5_439,49950,4385610,59940,4395600
t5_443,49950,4425570,59940,4435560
t5_444,49950,4435560,59940,4445550
t5_448,49950,4475520,59940,4485510
t5_449,49950,4485510,59940,4495500
t5_453,49950,4525470,59940,4535460
t5_454,49950,4535460,59940,4545450
t5_458,49950,4575420,59940,4585410
t5_459,49950,4585410,59940,4595400
t5_463,49950,4625370,59940,4635360
t5_464,49950,4635360,59940,4645350
t5_468,49950,4675320,59940,4685310
t5_469,49950,4685310,59940,4695300
t5_482,49950,4815180,59940,4825170
t5_483,49950,4825170,59940,4835160
t5_487,49950,4865130,59940,4875120
t5_488,49950,4875120,59940,4885110
t5_492,49950,4915080,59940,4925070
t5_493,49950,4925070,59940,4935060
t5_504,49950,5034960,59940,5044950
t5_506,49950,5054940,59940,5064930
t6_427,59940,4265730,69930,4275720
t6_428,59940,4275720,69930,4285710
t6_437,59940,4365630,69930,4375620
t6_438,59940,4375620,69930,4385610
t6_442,59940,4415580,69930,4425570
t6_443,59940,4425570,69930,4435560
t6_447,59940,4465530,69930,4475520
t6_448,59940,4475520,69930,4485510
t6_452,59940,4515480,69930,4525470
t6_453,59940,4525470,69930,4535460
t6_457,59940,4565430,69930,4575420
t6_458,59940,4575420,69930,4585410
t6_462,59940,4615380,69930,4625370
t6_463,59940,4625370,69930,4635360
t6_467,59940,4665330,69930,4675320
t6_468,59940,4675320,69930,4685310
t6_480,59940,4795200,69930,4805190
t6_481,59940,4805190,69930,4815180
t6_485,59940,4845150,69930,4855140
t6_486,59940,4855140,69930,4865130
t6_490,59940,4895100,69930,4905090
t6_491,59940,4905090,69930,4915080
t6_495,59940,4945050,69930,4955040
t6_496,59940,4955040,69930,4965030
t6_502,59940,5014980,69930,5024970
t6_503,59940,5024970,69930,5034960
t6_507,59940,5064930,69930,5074920
t6_508,59940,5074920,69930,5084910
t6_521,59940,5204790,69930,5214780
t6_522,59940,5214780,69930,5224770
t7_428,69930,4275720,79920,4285710
t7_429,69930,4285710,79920,4295700
t7_433,69930,4325670,79920,4335660
t7_434,69930,4335660,79920,4345650
t7_439,69930,4385610,79920,4395600
t7_440,69930,4395600,79920,4405590
t7_444,69930,4435560,79920,4445550
t7_445,69930,4445550,79920,4455540
t7_449,69930,4485510,79920,4495500
t7_450,69930,4495500,79920,4505490
t7_454,69930,4535460,79920,4545450
t7_455,69930,4545450,79920,4555440
t7_459,69930,4585410,79920,4595400
t7_460,69930,4595400,79920,4605390
t7_464,69930,4635360,79920,4645350
t7_465,69930,4645350,79920,4655340
t7_469,69930,4685310,79920,4695300
t7_470,69930,4695300,79920,4705290
t7_480,69930,4795200,79920,4805190
t7_481,69930,4805190,79920,4815180
t7_485,69930,4845150,79920,4855140
t7_486,69930,4855140,79920,4865130
t7_490,69930,4895100,79920,4905090
t7_491,69930,4905090,79920,4915080
t7_495,69930,4945050,79920,4955040
t7_496,69930,4955040,79920,4965030
t7_500,69930,4995000,79920,5004990
t7_501,69930,5004990,79920,5014980
t7_505,69930,5044950,79920,5054940
t7_506,69930,5054940,79920,5064930
t7_510,69930,5094900,79920,5104890
t7_511,69930,5104890,79920,5114880
t7_521,69930,5204790,79920,5214780
t7_522,69930,5214780,79920,5224770
t7_526,69930,5254740,79920,5264730
t7_527,69930,5264730,79920,5274720
t7_531,69930,5304690,79920,5314680
t7_532,69930,5314680,79920,5324670
t8_424,79920,4235760,89910,4245750
t8_425,79920,4245750,89910,4255740
t8_430,79920,4295700,89910,4305690
t8_431,79920,4305690,89910,4315680
t8_435,79920,4345650,89910,4355640
t8_436,79920,4355640,89910,4365630
t8_440,79920,4395600,89910,4405590
t8_441,79920,4405590,89910,4415580
t8_445,79920,4445550,89910,4455540
t8_446,79920,4455540,89910,4465530
t8_450,79920,4495500,89910,4505490
t8_451,79920,4505490,89910,4515480
t8_455,79920,4545450,89910,4555440
t8_456,79920,4555440,89910,4565430
t8_460,79920,4595400,89910,4605390
t8_461,79920,4605390,89910,4615380
t8_465,79920,4645350,89910,4655340
t8_466,79920,4655340,89910,4665330
t8_470,79920,4695300,89910,4705290
t8_471,79920,4705290,89910,4715280
t8_476,79920,4755240,89910,4765230
t8_477,79920,4765230,89910,4775220
t8_482,79920,4815180,89910,4825170
t8_483,79920,4825170,89910,4835160
t8_487,79920,4865130,89910,4875120
t8_488,79920,4875120,89910,4885110
t8_492,79920,4915080,89910,4925070
t8_493,79920,4925070,89910,4935060
t8_497,79920,4965030,89910,4975020
t8_498,79920,4975020,89910,4985010
t8_502,79920,5014980,89910,5024970
t8_503,79920,5024970,89910,5034960
t8_507,79920,5064930,89910,5074920
t8_508,79920,5074920,89910,5084910
t8_512,79920,5114880,89910,5124870
t8_513,79920,5124870,89910,5134860
t8_520,79920,5194800,89910,5204790
t8_521,79920,5204790,89910,5214780
t8_525,79920,5244750,89910,5254740
t8_526,79920,5254740,89910,5264730
t8_530,79920,5294700,89910,5304690
t8_531,79920,5304690,89910,5314680
t8_535,79920,5344650,89910,5354640
t8_536,79920,5354640,89910,5364630
t8_546,79920,5454540,89910,5464530
t8_547,79920,5464530,89910,5474520
t8_586,79920,5854140,89910,5864130
t8_587,79920,5864130,89910,5874120
t9_422,89910,4215780,99900,4225770
t9_423,89910,4225770,99900,4235760
t9_427,89910,4265730,99900,4275720
t9_428,89910,4275720,99900,4285710
t9_432,89910,4315680,99900,4325670
t9_433,89910,4325670,99900,4335660
t9_437,89910,4365630,99900,4375620
t9_438,89910,4375620,99900,4385610
t9_442,89910,4415580,99900,4425570
t9_443,89910,4425570,99900,4435560
t9_447,89910,4465530,99900,4475520
t9_448,89910,4475520,99900,4485510
t9_452,89910,4515480,99900,4525470
t9_453,89910,4525470,99900,4535460
t9_457,89910,4565430,99900,4575420
t9_458,89910,4575420,99900,4585410
t9_462,89910,4615380,99900,4625370
t9_463,89910,4625370,99900,4635360
t9_467,89910,4665330,99900,4675320
t9_468,89910,4675320,99900,4685310
t9_472,89910,4715280,99900,4725270
t9_473,89910,4725270,99900,4735260
t9_477,89910,4765230,99900,4775220
t9_478,89910,4775220,99900,4785210
t9_482,89910,4815180,99900,4825170
t9_483,89910,4825170,99900,4835160
t9_487,89910,4865130,99900,4875120
t9_488,89910,4875120,99900,4885110
t9_492,89910,4915080,99900,4925070
t9_493,89910,4925070,99900,4935060
t9_497,89910,4965030,99900,4975020
t9_498,89910,4975020,99900,4985010
t9_502,89910,5014980,99900,5024970
t9_503,89910,5024970,99900,5034960
t9_507,89910,5064930,99900,5074920
t9_508,89910,5074920,99900,5084910
t9_512,89910,5114880,99900,5124870
t9_513,89910,5124870,99900,5134860
t9_520,89910,5194800,99900,5204790
t9_521,89910,5204790,99900,5214780
t9_525,89910,5244750,99900,5254740
t9_526,89910,5254740,99900,5264730
t9_530,89910,5294700,99900,5304690
t9_531,89910,5304690,99900,5314680
t9_535,89910,5344650,99900,5354640
t9_536,89910,5354640,99900,5364630
t9_543,89910,5424570,99900,5434560
t9_544,89910,5434560,99900,5444550
