target,step,doy,attribution
hill_q0,0,108.0,0.004069350785658221
hill_q0,1,115.0,0.004142189612701014
hill_q0,2,122.0,0.006789850031364244
hill_q0,3,129.0,0.007021907042883364
hill_q0,4,136.0,0.016798275327617507
hill_q0,5,143.0,0.0038359671819303176
hill_q0,6,150.0,0.016865449989277727
hill_q0,7,158.0,0.005413649111604975
hill_q0,8,165.0,0.005867066272246838
hill_q0,9,172.0,0.00935556499838523
hill_q0,10,179.0,0.03509210507581865
hill_q0,11,186.0,0.011398363949529578
hill_q0,12,193.0,0.03844738411557701
hill_q0,13,200.0,0.007715805792653795
hill_q0,14,207.0,0.015325572686837085
hill_q0,15,214.0,0.006446400627324746
hill_q0,16,222.0,0.01157588536184793
hill_q0,17,229.0,0.01854682837464582
hill_q0,18,236.0,0.04471467263207893
hill_q0,19,243.0,0.0222248309412591
hill_q0,20,250.0,0.04672914545956977
hill_q0,21,257.0,0.013877214916228203
hill_q0,22,264.0,0.018991091623534864
hill_q0,23,271.0,0.0047175218833380925
hill_q0,24,278.0,0.012322754531221239
hill_q0,25,285.0,0.021779135169667736
hill_q0,26,293.0,0.05108356521050868
hill_q0,27,300.0,0.02301292754316961
hill_q0,28,307.0,0.049860031336796215
hill_q0,29,314.0,0.02185675457274961
hill_q0,30,321.0,0.02667048207346569
hill_q0,31,328.0,0.019077244820046753
hill_q0,32,335.0,0.010896453319642854
hill_q0,33,342.0,0.012118525006806382
hill_q0,34,349.0,0.048408489033176086
hill_q0,35,356.0,0.014586091219182388
hill_q0,36,364.0,0.04456519591448255
hill_q0,37,1.0,0.006933271502289736
hill_q0,38,8.0,0.024691208009493357
hill_q0,39,15.0,0.005844371826052951
hill_q0,40,22.0,0.009151620258598336
hill_q0,41,29.0,0.02563745875538991
hill_q0,42,36.0,0.03522381502091875
hill_q0,43,43.0,0.027653740707941982
hill_q0,44,50.0,0.03398046051154478
hill_q0,45,58.0,0.027874994359842004
hill_q0,46,65.0,0.018541246012312856
hill_q0,47,72.0,0.02197827626929021
hill_q0,48,79.0,0.004566778789585321
hill_q0,49,86.0,0.0028950974845177585
hill_q0,50,93.0,0.017338055596208414
hill_q0,51,100.0,0.005489861351184842
hill_q1,0,108.0,0.0043911839567241555
hill_q1,1,115.0,0.004253119590845657
hill_q1,2,122.0,0.007225783293014635
hill_q1,3,129.0,0.005740540658004957
hill_q1,4,136.0,0.016343916140977556
hill_q1,5,143.0,0.003252917182021846
hill_q1,6,150.0,0.015879063356555992
hill_q1,7,158.0,0.006290705849766173
hill_q1,8,165.0,0.004955998490755514
hill_q1,9,172.0,0.009284799804872092
hill_q1,10,179.0,0.0350509618043511
hill_q1,11,186.0,0.011193731851612827
hill_q1,12,193.0,0.04077993441157313
hill_q1,13,200.0,0.007628797260274066
hill_q1,14,207.0,0.015998972410517127
hill_q1,15,214.0,0.00791590768670714
hill_q1,16,222.0,0.012667247710092757
hill_q1,17,229.0,0.019936655468192368
hill_q1,18,236.0,0.046231066507226776
hill_q1,19,243.0,0.021665288714967694
