target,step,doy,attribution
hill_q0,0,108.0,0.006312618205122355
hill_q0,1,115.0,0.005576250042733208
hill_q0,2,122.0,0.013324250527007189
hill_q0,3,129.0,0.01011098817153029
hill_q0,4,136.0,0.009187889423815892
hill_q0,5,143.0,0.00928344723926944
hill_q0,6,150.0,0.019048720109552268
hill_q0,7,158.0,0.008734346716222538
hill_q0,8,165.0,0.014359220974291613
hill_q0,9,172.0,0.022100229553381773
hill_q0,10,179.0,0.027233034773196912
hill_q0,11,186.0,0.01767545286031176
hill_q0,12,193.0,0.02674670534973667
hill_q0,13,200.0,0.015679480587454553
hill_q0,14,207.0,0.019657685695013943
hill_q0,15,214.0,0.010604145417840155
hill_q0,16,222.0,0.009919972031525158
hill_q0,17,229.0,0.014030813312007463
hill_q0,18,236.0,0.015621833233758013
hill_q0,19,243.0,0.009504679416485872
hill_q0,20,250.0,0.012523209449688596
hill_q0,21,257.0,0.006443361587595862
hill_q0,22,264.0,0.01164823602537013
hill_q0,23,271.0,0.01086118184509104
hill_q0,24,278.0,0.013264261368535337
hill_q0,25,285.0,0.015039333872571309
hill_q0,26,293.0,0.025366778530388066
hill_q0,27,300.0,0.023990782629567144
hill_q0,28,307.0,0.015433688304473083
hill_q0,29,314.0,0.01804944104157702
hill_q0,30,321.0,0.014059690153720897
hill_q0,31,328.0,0.019317319776200506
hill_q0,32,335.0,0.015342456420561727
hill_q0,33,342.0,0.013661457469724176
hill_q0,34,349.0,0.023710096840138483
hill_q0,35,356.0,0.04200950761393839
hill_q0,36,364.0,0.02430594855110457
hill_q0,37,1.0,0.019652955294396635
hill_q0,38,8.0,0.008914990030839485
hill_q0,39,15.0,0.011031994289689215
hill_q0,40,22.0,0.020463018570563447
hill_q0,41,29.0,0.02379868326119208
hill_q0,42,36.0,0.007999246329834583
hill_q0,43,43.0,0.017198008270708904
hill_q0,44,50.0,0.027053170969408888
hill_q0,45,58.0,0.014653028132872692
hill_q0,46,65.0,0.02662388419596265
hill_q0,47,72.0,0.020173047502911753
hill_q0,48,79.0,0.03954069836016294
hill_q0,49,86.0,0.05543533837052988
hill_q0,50,93.0,0.0998910578017576
hill_q0,51,100.0,0.017832363498665856
