target,step,doy,attribution
hill_q0,0,108.0,0.015063516023024583
hill_q0,1,115.0,0.015075637800042629
hill_q0,2,122.0,0.026433091218509567
hill_q0,3,129.0,0.02135344589081421
hill_q0,4,136.0,0.022768667448294443
hill_q0,5,143.0,0.0218099760290913
hill_q0,6,150.0,0.022252581355790342
hill_q0,7,158.0,0.020578817020679725
hill_q0,8,165.0,0.02057641825832506
hill_q0,9,172.0,0.018346955052580115
hill_q0,10,179.0,0.01905533096594185
hill_q0,11,186.0,0.017293681022136072
hill_q0,12,193.0,0.018292133524909226
hill_q0,13,200.0,0.017587302311661425
hill_q0,14,207.0,0.017900181233879604
hill_q0,15,214.0,0.016938491756886533
hill_q0,16,222.0,0.017002483750121002
hill_q0,17,229.0,0.015672316543528436
hill_q0,18,236.0,0.016186608641598633
hill_q0,19,243.0,0.014638080936155113
hill_q0,20,250.0,0.01609022869467807
hill_q0,21,257.0,0.014856932949878623
hill_q0,22,264.0,0.01633809150773485
hill_q0,23,271.0,0.016526603802670722
hill_q0,24,278.0,0.017501286491646856
hill_q0,25,285.0,0.01839919422360991
hill_q0,26,293.0,0.018655772487046935
hill_q0,27,300.0,0.019005104676274292
hill_q0,28,307.0,0.02036283707965556
hill_q0,29,314.0,0.019819652716874615
hill_q0,30,321.0,0.020172467347246946
hill_q0,31,328.0,0.02102683473595552
hill_q0,32,335.0,0.021335013929566052
hill_q0,33,342.0,0.020639578371658023
hill_q0,34,349.0,0.021280248298846005
hill_q0,35,356.0,0.02016693771033474
hill_q0,36,364.0,0.022518492207751824
hill_q0,37,1.0,0.021219154062795544
hill_q0,38,8.0,0.020153682023850348
hill_q0,39,15.0,0.02098949457366251
hill_q0,40,22.0,0.021764050180523662
hill_q0,41,29.0,0.019929255819864312
hill_q0,42,36.0,0.02128472956019924
hill_q0,43,43.0,0.020108770223675094
hill_q0,44,50.0,0.020899817879006622
hill_q0,45,58.0,0.0206784882327018
hill_q0,46,65.0,0.02150286158150188
hill_q0,47,72.0,0.019554937345038995
hill_q0,48,79.0,0.01923101644952057
hill_q0,49,86.0,0.020425172907653895
hill_q0,50,93.0,0.01837144097290159
hill_q0,51,100.0,0.014366134171704457
hill_q1,0,108.0,0.020228406512039034
hill_q1,1,115.0,0.01780397339412257
hill_q1,2,122.0,0.027826470974754686
hill_q1,3,129.0,0.022043439603668318
hill_q1,4,136.0,0.022863289588492538
hill_q1,5,143.0,0.02183231212617376
hill_q1,6,150.0,0.02195591322350833
hill_q1,7,158.0,0.020244884693959832
hill_q1,8,165.0,0.020127355987945815
hill_q1,9,172.0,0.01801841284337584
hill_q1,10,179.0,0.018587062260811922
hill_q1,11,186.0,0.016944598725028636
hill_q1,12,193.0,0.017751933509716163
hill_q1,13,200.0,0.017152849363481784
hill_q1,14,207.0,0.017400924521377845
hill_q1,15,214.0,0.01643905406894628
hill_q1,16,222.0,0.01644715020077556
hill_q1,17,229.0,0.015112088099591987
hill_q1,18,236.0,0.01546602515753873
hill_q1,19,243.0,0.01409205491931017
hill_q1,20,250.0,0.01532299051923001
hill_q1,21,257.0,0.014252908962992682
hill_q1,22,264.0,0.015576153796459003
hill_q1,23,271.0,0.01571947322723458
hill_q1,24,278.0,0.01662263572463293
hill_q1,25,285.0,0.017447614469849777
hill_q1,26,293.0,0.01774388850928476
hill_q1,27,300.0,0.018031225360338344
hill_q1,28,307.0,0.01945570233380521
hill_q1,29,314.0,0.018914179099154788
hill_q1,30,321.0,0.019385152552544704
hill_q1,31,328.0,0.02020285775146134
hill_q1,32,335.0,0.020554563969668913
hill_q1,33,342.0,0.019998297644631752
hill_q1,34,349.0,0.02064257616012691
hill_q1,35,356.0,0.01977930865182476
hill_q1,36,364.0,0.022208722163896917
hill_q1,37,1.0,0.021064925912766236
hill_q1,38,8.0,0.020088167897418695
hill_q1,39,15.0,0.020905144301814896
hill_q1,40,22.0,0.021523512197775322
hill_q1,41,29.0,0.019871834576958996
hill_q1,42,36.0,0.02104835864302903
hill_q1,43,43.0,0.02002306756629868
hill_q1,44,50.0,0.020859120087435252
hill_q1,45,58.0,0.020699969281804897
hill_q1,46,65.0,0.022068463463828902
hill_q1,47,72.0,0.020245894348028114
hill_q1,48,79.0,0.020100502128694117
hill_q1,49,86.0,0.02307351450237064
hill_q1,50,93.0,0.019775524044265483
hill_q1,51,100.0,0.01845555037575338
hill_q2,0,108.0,0.022087145736781114
hill_q2,1,115.0,0.01866582061025059
hill_q2,2,122.0,0.028375746774316247
hill_q2,3,129.0,0.022431395253003025
hill_q2,4,136.0,0.022844608030320603
hill_q2,5,143.0,0.021972764887807344
hill_q2,6,150.0,0.02178163445612072
hill_q2,7,158.0,0.020277802380518857
hill_q2,8,165.0,0.01996436811052753
