target,lectura,n,R2,R2_sd,rho,var_owner
hill_q0_unified,todas,3102,0.44437735261127004,0.0029017484640546155,0.6814364737823343,
hill_q0_unified,parcelas_cl,1082,0.356545210844583,0.005197793726160122,0.611295175639088,
hill_q0_unified,living_trees,2020,0.45650368849341216,0.005526882994639636,0.7006370195802276,
hill_q0_unified,parcelas_cl dentro de Owner,1082,0.05480551273130899,0.010399618232581356,0.28597989250195144,0.5309377015922301
hill_q0_unified,living_trees dentro de bandas de 2 grados,2020,0.37248612453439955,0.007319797135022489,0.6179576723083914,
dark_n_unified,todas,3094,0.6802818348897167,0.0017619684504260457,0.8271475730407046,
dark_n_unified,parcelas_cl,1082,0.3934412024986864,0.008016320134268283,0.6249820553651245,
dark_n_unified,living_trees,2012,0.6428194494270718,0.0002769614335673519,0.8000966595014868,
dark_n_unified,parcelas_cl dentro de Owner,1082,0.19628308416944473,0.008662735973135821,0.40381740116321946,0.3479963071977734
dark_n_unified,living_trees dentro de bandas de 2 grados,2012,0.28043854406734053,0.0011639668208483988,0.5415268380688181,
pcoa2_pa_unified,todas,3094,0.7603710576280406,0.0014910462290885446,0.8763346138288713,
pcoa2_pa_unified,parcelas_cl,1082,0.36448342076509443,0.013870283906955123,0.6023193391665167,
pcoa2_pa_unified,living_trees,2012,0.7350116935350955,0.0012093763759254443,0.8212491627836291,
pcoa2_pa_unified,parcelas_cl dentro de Owner,1082,0.16042304695069723,0.0026150993574223483,0.37939883318711737,0.33484330415731134
pcoa2_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.5202877768454275,0.0019088531930936967,0.6672359208740363,
lcbd_pa_unified,todas,3094,0.4038642156109195,0.007325362494258765,0.6037370481358625,
lcbd_pa_unified,parcelas_cl,1082,0.41386014885411065,0.017152528301791408,0.6584770194044595,
lcbd_pa_unified,living_trees,2012,0.24081329110181562,0.003180429766003798,0.467606910742866,
lcbd_pa_unified,parcelas_cl dentro de Owner,1082,0.21869957295511364,0.001050903246388508,0.3886021293018686,0.3357753295304873
lcbd_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.22845940594148376,0.0017417703907664723,0.45697440605861644,
