target,lectura,n,R2,R2_sd,rho,var_owner
hill_q0_unified,todas,3102,0.35956637691136106,0.0015502134133454641,0.6430214193906262,
hill_q0_unified,parcelas_cl,1082,0.24339799757275624,0.0026479188170562035,0.5551101887370079,
hill_q0_unified,living_trees,2020,0.39553555773790117,0.007160759476336278,0.6619868033948805,
hill_q0_unified,parcelas_cl dentro de Owner,1082,-0.11758247872116967,0.009369670916359821,0.07766224707299972,0.5309377015922301
hill_q0_unified,living_trees dentro de bandas de 2 grados,2020,0.3174295561440336,0.006377947615511851,0.586320346266023,
dark_n_unified,todas,3094,0.5630815831643637,0.0036760672043611485,0.7453495447966322,
dark_n_unified,parcelas_cl,1082,0.3781667826972508,0.013755144939956047,0.619159278924526,
dark_n_unified,living_trees,2012,0.4277448858038973,0.0016379528336892496,0.6231608127176687,
dark_n_unified,parcelas_cl dentro de Owner,1082,0.1676409574146992,0.011568576821034392,0.352094006749418,0.3479963071977734
dark_n_unified,living_trees dentro de bandas de 2 grados,2012,0.1029327818448275,0.000338960052848134,0.34580932632061806,
pcoa2_pa_unified,todas,3094,0.6716283031344417,0.0003476724310236328,0.8278203886100464,
pcoa2_pa_unified,parcelas_cl,1082,0.3275267813793634,0.0033122809714068464,0.6086803653977797,
pcoa2_pa_unified,living_trees,2012,0.5912405046765259,0.0010899745233827075,0.7394815942823897,
pcoa2_pa_unified,parcelas_cl dentro de Owner,1082,0.07516002170008573,0.0018403986320375764,0.32054104668058336,0.33484330415731134
pcoa2_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.3150975488739493,0.0017254436515110254,0.5519252996799975,
lcbd_pa_unified,todas,3094,0.3922162965657929,0.0022164229376744732,0.5654256930193554,
lcbd_pa_unified,parcelas_cl,1082,0.488334024563313,0.010700658828917017,0.712343240771346,
lcbd_pa_unified,living_trees,2012,0.16117964085032896,0.003619406914182848,0.3785940440291304,
lcbd_pa_unified,parcelas_cl dentro de Owner,1082,0.3041836054697625,0.010704067865173165,0.5308581925284538,0.3357753295304873
lcbd_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.15697669488463786,0.0037688831200053115,0.36656844099796576,
