target,lectura,n,R2,R2_sd,rho,var_owner
hill_q0_unified,todas,3102,0.43069019297301825,0.0020466037089660306,0.7059437325720044,
hill_q0_unified,parcelas_cl,1082,0.3247749684008495,0.008119827518826471,0.6413973519368098,
hill_q0_unified,living_trees,2020,0.4665654526789596,0.006570023511511278,0.719743705079331,
hill_q0_unified,parcelas_cl dentro de Owner,1082,0.03793137151944529,0.01568618207968966,0.2237916898766107,0.5309377015922301
hill_q0_unified,living_trees dentro de bandas de 2 grados,2020,0.3852945824661604,0.00749439656573939,0.6458440864348457,
dark_n_unified,todas,3094,0.6950103636153132,0.0015444618056785168,0.8340397833825933,
dark_n_unified,parcelas_cl,1082,0.43737799234494057,0.006201243553559375,0.655085918233906,
dark_n_unified,living_trees,2012,0.6527747066584958,0.00041038326055723644,0.8058543098299032,
dark_n_unified,parcelas_cl dentro de Owner,1082,0.2285089648060236,0.004574904555658976,0.4240784321541106,0.3479963071977734
dark_n_unified,living_trees dentro de bandas de 2 grados,2012,0.29930839540449194,0.000645438495971883,0.5497218761484025,
pcoa2_pa_unified,todas,3094,0.7802539755302879,0.0005325225361409314,0.8874594363024176,
pcoa2_pa_unified,parcelas_cl,1082,0.47470844426713826,0.004934327711302019,0.7091805541441145,
pcoa2_pa_unified,living_trees,2012,0.7437735334395695,0.0007027094734985164,0.8288396797842327,
pcoa2_pa_unified,parcelas_cl dentro de Owner,1082,0.25477572746081684,0.007761390351633224,0.4998896734566222,0.33484330415731134
pcoa2_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.5380948826031038,0.0023652676351032125,0.6876766174167588,
lcbd_pa_unified,todas,3094,0.42624824017269813,0.004723536150970424,0.5987518678839271,
lcbd_pa_unified,parcelas_cl,1082,0.49080543030805907,0.012360817707006094,0.7218917943270678,
lcbd_pa_unified,living_trees,2012,0.22789022290511926,0.00021455864282865419,0.4433299030162621,
lcbd_pa_unified,parcelas_cl dentro de Owner,1082,0.31653281361624086,0.0031273326798208706,0.5211925784002841,0.3357753295304873
lcbd_pa_unified,living_trees dentro de bandas de 2 grados,2012,0.21747483193557152,0.0020306277216793093,0.437858999327144,
