target,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,spearman_mean,n,n_seeds,R2_ensemble,RMSE_ensemble,spearman_ensemble
hill_q0_unified,0.3380047997033528,0.006173159315237803,2.4705988145483295,0.011510324800460742,1.8238794693198397,0.5728503751470914,3102,3,0.34114254563397295,2.4647545812828606,0.5754441296814745
lcbd_pa_unified,0.34569943895401,0.0031578386586854574,1.2079408854584194e-05,2.9140581000243682e-08,9.565527653974076e-06,0.5143572167536611,3094,3,0.34935293621110397,1.2045660383339674e-05,0.5166738293500678
pcoa1_pa_unified,0.3619705320060971,0.01667469928452278,0.23437158286184936,0.0030567282515684474,0.13115517289845155,0.6998209460330208,3094,3,0.36461998364229753,0.23389771719340746,0.7019743606146059
pcoa2_pa_unified,0.4575987865630819,0.0029466857357314034,0.19889127315739083,0.0005402905363088549,0.1519121971714724,0.6927621829925338,3094,3,0.4598985374711292,0.19846966951168724,0.6941318236015509
lcbd_freq_unified,0.31867709365693103,0.0008373193065429701,2.071310149209374e-05,1.272757062791777e-08,1.6463971596576426e-05,0.4987093501762964,3040,3,0.32150126377281485,2.0670130294106816e-05,0.5012560067730166
pcoa1_freq_unified,0.1433938419944758,0.0064010118056238765,0.46287208233629357,0.0017308208772449489,0.22607962744799415,0.5363062208783899,3040,3,0.1451160447504637,0.46240870231121683,0.5438644954223778
pcoa2_freq_unified,0.2709079000149892,0.005981919664842375,0.40374060106859105,0.0016568559378252216,0.26653008449563287,0.635459091956101,3040,3,0.2754140046532454,0.40249328096623954,0.6389492993384982
mpd_unified,0.023118950298036973,0.009927322271202759,115.43586465658736,0.5862378649931003,76.61558701090887,0.22734891542474753,2535,3,0.029924022791097626,115.03408076680327,0.2365685056282547
mntd_unified,-0.022807140646208184,0.00176536423816613,102.99660166677546,0.08887623325548451,67.59728643437148,0.08416752157167957,2535,3,-0.017530749401112766,102.7306175532084,0.08876510317458937
ses_pd_unified,0.022228295816736392,0.0018779679978535723,1.189650379164452,0.0011422390093007414,0.8824347865210322,0.17292222433515633,2535,3,0.027605316108379574,1.1863751361183512,0.17992953696842087
ses_mpd_unified,0.042507510491934096,0.0009358894786133861,1.243666387758388,0.0006077679517018495,0.9174447292648171,0.2178140913936972,2535,3,0.04602592549669271,1.2413793868303808,0.2237133275405687
ses_mntd_unified,-0.004330676708787691,0.001566640879948249,1.225842986201221,0.0009560461606588996,0.9086318225860127,0.09793197138668013,2535,3,-0.0005376332338320466,1.2235262313932591,0.09934177904134894
dark_n_unified,0.4813114307370461,0.0011451791794913828,19.99759171428966,0.022078488113658288,16.038498230639398,0.6909229658561,3094,3,0.48301713670681257,19.964691736026055,0.692397307703815
