target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,479,0.6948462455608226,8.093906456338067e-06,0.1576751763818541,6.245692202825923e-06,-1.2801088931166095e-06,0.7337955152325123,0
pd_inext_q0,226,-0.06671026760900811,1.829393092466709,0.22296160627294198,1.4217882662677919,-0.025288688074766634,0.1116136693412921,0
pd_inext_q1,226,0.35902501228974537,1.1425829326627461,0.2095858416071765,0.8928448427354778,-0.05917810202267789,0.5982693843096643,0
pd_inext_q2,226,0.33995142104688736,0.8981904440643871,0.20667773634471848,0.7252842281620522,-0.002547881152440716,0.5649134224337293,0
td_inext_q0,230,-0.18492342720266897,2.8923143799082522,0.26959994824072797,2.245148484644671,0.09483323102801582,-0.0689679710200918,0
td_inext_q1,230,0.028664052006026175,1.9645681799319499,0.2615235369294312,1.5372367464913217,0.03774825468309711,0.3353003312960205,0
td_inext_q2,230,0.014229885640880124,1.6772068279950512,0.2517207739899619,1.3456736749509517,0.11352627091095895,0.3264272224957917,0
lcbd_count_sorensen,479,0.7078631478254456,7.91939481079908e-06,0.1542755627787712,6.17649928368024e-06,-1.0188300351088224e-06,0.7269582447326092,1
pd_inext_q0,226,-0.0818638708744801,1.8423413771904829,0.22453970907237875,1.4079130758373923,-0.1976197713264553,0.11748427025660495,1
pd_inext_q1,226,0.3257442305911942,1.1718702438463529,0.21495806062721964,0.921976332501574,-0.04089443554940613,0.5844282013324255,1
pd_inext_q2,226,0.3393022910501672,0.8986320017766805,0.20677934079736596,0.7241372840931095,-0.040615993685516626,0.5519278270778115,1
td_inext_q0,230,-0.22659932635431068,2.9427387948447943,0.274300135658595,2.2800796183396783,-0.3011425748222154,-0.05563109155649861,1
td_inext_q1,230,-0.016299401302416028,2.0095240560165566,0.26750806820684137,1.5994981910766022,0.2096527016073938,0.32086888510375267,1
td_inext_q2,230,0.036991462069175474,1.6577302664796503,0.2487976669184384,1.330142678848973,0.11354198139336433,0.33692385343972187,1
lcbd_count_sorensen,479,0.7056941841953257,7.948739131204813e-06,0.15484721145308428,6.171454697451968e-06,-1.020307824400519e-06,0.7375398049845473,2
pd_inext_q0,226,-0.11682109886720315,1.8718696474222833,0.22813853678658338,1.445827095937415,-0.10897823465456047,0.0828298437980435,2
pd_inext_q1,226,0.3494216817863798,1.1511104164539934,0.21115005179804203,0.8991900585011645,-0.06617779501613923,0.6021075732500253,2
pd_inext_q2,226,0.3309119584582596,0.9043199545594466,0.20808816479270725,0.7341902680201542,0.010451807476742086,0.5576778333153891,2
td_inext_q0,230,-0.16973414958065258,2.873716610642488,0.2678664030679511,2.2296448010733876,-0.05680573610665897,-0.04558612985360663,2
td_inext_q1,230,0.03230020819446644,1.9608875920621212,0.2610335766585026,1.5607934375683286,0.16927917823631006,0.3322526844443182,2
td_inext_q2,230,0.052396710356519716,1.644417454424001,0.24679963584755557,1.3323016457125867,0.13879379286114552,0.3277463903499149,2
