target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,2499,0.13496675798627866,1.9711698174792883e-05,0.2403658781213556,1.5908020565403778e-05,-1.5635006939066296e-06,0.38108468986924227,0
pd_inext_q0,877,-0.06247436937239903,1.5863543633341501,0.22918065575475474,1.2114525153978861,-0.20094634988970161,0.15840952893643395,0
pd_inext_q1,877,-0.2143427496871857,1.2570055404589595,0.25066673268595624,0.984779971350386,0.038376683765955905,0.009606071826073226,0
pd_inext_q2,877,-0.17733299895868515,1.0082372147356022,0.2632330028562685,0.7965840440242923,0.025069649847041253,0.04503919756895683,0
td_inext_q0,881,-0.05140347596586814,2.379987651821087,0.23987054514676132,1.8081636833221448,-0.3290531707420107,0.052171622185412075,0
td_inext_q1,881,-0.02725860469657948,1.714757048248999,0.20955763712984302,1.3088684091851583,-0.0397228098170863,0.09613068526163882,0
td_inext_q2,881,-0.06271360604486254,1.5551074243086298,0.20896512649702154,1.208338115926165,0.07127437276771836,0.04787862366999638,0
lcbd_count_sorensen,2499,0.25351709795829835,1.8311232394940654e-05,0.2232884967629315,1.4863347402660024e-05,3.4113596653243833e-06,0.42729770996722866,1
pd_inext_q0,877,-0.06457955100865198,1.5879251830914367,0.22940759212557343,1.2300055166636001,-0.05465216339143389,0.13677518042759784,1
pd_inext_q1,877,-0.5098856288750144,1.4016467539425197,0.27951047221507386,1.0602805009742398,-0.17502175755208382,-0.0549647063893311,1
pd_inext_q2,877,-0.5507951858242455,1.1571516718663073,0.3021119483527468,0.8834095911947796,-0.07405056797223711,-0.07705571250307405,1
td_inext_q0,881,-0.6444639417012776,2.9764745746468284,0.29998835426297454,2.4787486048080813,1.0809064800318304,-0.10364410575025004,1
td_inext_q1,881,-0.17182838060863181,1.8314484910274007,0.22381830632894884,1.4026687522003791,0.23548939002069966,-0.01780078574033423,1
td_inext_q2,881,-0.20785983843114275,1.6579084492396392,0.22277885334504444,1.2658348170145766,0.13273754810396085,-0.04959362426076396,1
lcbd_count_sorensen,2499,0.31976023248955754,1.747988821181097e-05,0.21315102545898346,1.4069647480364128e-05,4.728387814596104e-07,0.47514550150120416,2
pd_inext_q0,877,-0.15419930189852504,1.6534131222153412,0.23886863637857333,1.331255856160733,0.2547562552526061,0.08369792092938863,2
pd_inext_q1,877,-0.32215825456386304,1.3116207245123785,0.2615578618823432,1.0783315553449373,0.3522926915548521,0.09194387608173304,2
pd_inext_q2,877,-0.18670308846547834,1.0122414133282196,0.26427842867884527,0.8359987091319333,0.2150778598743768,0.1363002378339432,2
td_inext_q0,881,-0.0760475711752866,2.4077186419807464,0.24266545365057948,1.8613343515496914,-0.14672270045816552,0.05636499236244396,2
td_inext_q1,881,-0.06944484570985199,1.749612603822111,0.21381727721950344,1.3839323291050591,0.2887988126233406,0.16193711169445638,2
td_inext_q2,881,-0.13130957538891952,1.6045121341145856,0.21560380706196064,1.274070083315072,0.36816043132130827,0.15486696985349974,2
lcbd_count_sorensen,2499,-0.11736163450142967,2.2402914416141802e-05,0.27318276428357907,1.7755939809695176e-05,5.830701821145689e-06,0.3294550069290842,3
pd_inext_q0,877,-0.07490753099330139,1.5956091908896604,0.23051770093021673,1.2346911339024573,0.08096216301253842,0.06734896176783357,3
pd_inext_q1,877,-0.288085285908267,1.2946097081740242,0.25816559689388036,1.0042522354228012,0.04943626899025142,-0.01682917874460593,3
pd_inext_q2,877,-0.4412500255662668,1.1155337882144756,0.29124625094931644,0.8682193924935485,0.11415158134075548,-0.02208048994459437,3
td_inext_q0,881,-0.12657401142674862,2.4635981186608267,0.24829734864108938,1.906126211746486,-0.16852133136169378,0.020694831978731364,3
td_inext_q1,881,-0.07851940762388931,1.7570199188827411,0.21472251300387712,1.3234520851486986,0.034107024995930095,0.03885926688634547,3
td_inext_q2,881,-0.15942626693090345,1.6243284157645201,0.2182665888974471,1.2497843848229104,0.09138823968809376,0.023152218415677675,3
lcbd_count_sorensen,2499,-0.0590876673104348,2.1810900548656892e-05,0.2659637042180185,1.721521568587062e-05,6.894773332302791e-06,0.33700492966326273,4
pd_inext_q0,877,-0.07346147233270628,1.5945355538766324,0.23036259256327457,1.2625930388519693,0.08776838015553518,0.07186059789599444,4
pd_inext_q1,877,-0.31484451916370104,1.3079879710911158,0.26083343354734223,0.9907972412643727,-0.03709697335453423,-0.04094137321026901,4
pd_inext_q2,877,-0.3028501932105958,1.060621205549717,0.2769095414744256,0.8142687308822548,-0.06714831906078719,-0.0391696115156549,4
td_inext_q0,881,-0.057072405041030505,2.3863952032246387,0.24051633961004343,1.8317694556683553,-0.07658476798127438,0.022898105050721044,4
td_inext_q1,881,-0.18537360306385486,1.8420029807288205,0.22510815314730676,1.3801175949497773,-0.1870219058316252,-0.030135071072727136,4
td_inext_q2,881,-0.16175880451237457,1.625961509439046,0.21848603330427355,1.2409480105170456,-0.165272744922732,0.0009137889431836304,4
