target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,2499,0.11702092842179768,1.9915116306533142e-05,0.24284637358288202,1.6304531525412597e-05,-2.3752302183424705e-06,0.3851967552648548,0
pd_inext_q0,877,-0.0963420265644066,1.6114395098472136,0.23280470751799687,1.2261357965046227,-0.1680854782813828,0.1760268203612807,0
pd_inext_q1,877,-0.18474754011821748,1.241593578199856,0.24759334430426447,0.9838141921427827,0.032804637752981536,-0.03484810983725221,0
pd_inext_q2,877,-0.17143481051872245,1.0057085164731656,0.2625728042172873,0.8040757598424848,0.010895197767565729,-0.03709716722984054,0
td_inext_q0,881,-0.03417453767121059,2.3604071416920736,0.23789709472347684,1.8060298691703767,-0.22786872560059537,0.09782611274385222,0
td_inext_q1,881,-0.07125802669299697,1.751095158445256,0.21399845778036453,1.34548630256561,0.06591934637464829,0.03657345656208857,0
td_inext_q2,881,-0.11171329415787778,1.5905549363301519,0.21372833045180634,1.2385579668372309,0.13566718621153065,-0.015299930111260442,0
lcbd_count_sorensen,2499,0.24754136852221398,1.8384378648303124e-05,0.22418044748502813,1.4833819608677453e-05,5.025505989659338e-06,0.46293602570447984,1
pd_inext_q0,877,-0.12083158264966998,1.6293378873806998,0.23539048658154052,1.23186236402608,-0.24428093961876435,0.1315695004886875,1
pd_inext_q1,877,-0.4615331356052701,1.3790210098545184,0.2749985419470043,1.0646697972475705,-0.1836958822426737,-0.11613006036467871,1
pd_inext_q2,877,-0.4045940620312607,1.1012564856668412,0.2875186983779835,0.865244179855299,-0.09021004100328395,-0.1050580686193734,1
td_inext_q0,881,-0.7139282001093707,3.0386894064645524,0.30625876731024926,2.5072056726213927,1.0467754508892906,-0.12351668351395044,1
td_inext_q1,881,-0.12705400178305482,1.7961188280751097,0.21950072635665133,1.3803692814438515,0.2568818705164269,0.05647267242486205,1
td_inext_q2,881,-0.2080320881071145,1.6580266599804754,0.22279473772835198,1.285653248705933,0.2281306043717743,-0.042629038204299044,1
lcbd_count_sorensen,2499,0.19312990188518342,1.9037479674559788e-05,0.23214440879805645,1.552893052651016e-05,-1.520285399538769e-07,0.39257606088281705,2
pd_inext_q0,877,-0.14655196475449084,1.6479265388736444,0.23807598954179698,1.3204949642085984,0.2739552875721787,0.04897780667158642,2
pd_inext_q1,877,-0.3576191035675964,1.3290934571347193,0.2650422003809136,1.0947823364299498,0.38704366428261333,0.08394436531471579,2
pd_inext_q2,877,-0.1507650602239765,0.9967962574514568,0.2602459701446802,0.8218414081786541,0.21427268732200505,0.15193834774902792,2
td_inext_q0,881,0.00963460633263269,2.309871007175103,0.23280373630755383,1.8124700481709648,0.007229459244675226,0.13016873275315727,2
td_inext_q1,881,-0.10367268430136156,1.7773904802386244,0.2172119657861861,1.4178675220624404,0.41326603652079125,0.16895693299244552,2
td_inext_q2,881,-0.16145399197040256,1.6257481923667296,0.2184573691565087,1.2986230352256285,0.43393663610750244,0.20300513552088836,2
lcbd_count_sorensen,2499,0.005455906113797981,2.113584733730027e-05,0.2577320563666999,1.6944175824459134e-05,4.447534486620239e-06,0.36799741533355756,3
pd_inext_q0,877,-0.07590459697493435,1.5963490493611998,0.23062458830266783,1.2521373537813718,0.11089930647675336,0.04384328790519766,3
pd_inext_q1,877,-0.21352902791838368,1.2565843149931983,0.2505827336837021,0.9936559317711576,0.08477166260712739,-0.01370289103336013,3
pd_inext_q2,877,-0.24798118519747092,1.0380471586584075,0.2710158548866161,0.8329676612889926,0.06306482438394663,-0.0024541527541037194,3
td_inext_q0,881,-0.10231577827890814,2.436929759172181,0.245609538927532,1.9086258225717356,-0.020074563133382257,-0.014319575896549024,3
td_inext_q1,881,-0.09124215536170421,1.7673528725483822,0.21598528626785352,1.3425063432506084,0.02419262829313039,0.06944235695811767,3
td_inext_q2,881,-0.11323064100445612,1.5916400185124564,0.21387413667196872,1.2323891130655722,0.04439571872578005,0.07435849708046918,3
lcbd_count_sorensen,2499,-0.02686036349307175,2.1476491643081124e-05,0.26188589775367693,1.7637251973641273e-05,5.802044008789709e-06,0.29585779606246015,4
pd_inext_q0,877,-0.05185391866523292,1.5784058833353882,0.22803233864448366,1.2407757796750358,0.04286539583425541,0.01675156239024242,4
pd_inext_q1,877,-0.050895586882596655,1.1693548841838894,0.2331878092293186,0.9135365404700375,-0.06531151620907288,0.03965785713729768,4
pd_inext_q2,877,-0.09252087628517147,0.9712430794574951,0.2535744848259845,0.764663344564305,-0.08110914050609601,0.04155772671223205,4
td_inext_q0,881,-0.06785330234078013,2.3985335469872076,0.24173972038400596,1.8348942300355457,-0.23142960446234162,0.012006295946582906,4
td_inext_q1,881,-0.12258753799846445,1.7925563264221769,0.21906535889195883,1.3678650025166144,-0.09839354026536301,-0.0736927594175357,4
td_inext_q2,881,-0.12388469792606793,1.5992381942255587,0.21489512964275395,1.2329203132809532,-0.05777176801154206,-0.04188121960766786,4
