target,lectura,n,R2,R2_sd,rho,var_owner
lcbd_count_sorensen,todas,2499,0.33656652267232534,0.018641702826391847,0.5057905774765272,
lcbd_count_sorensen,parcelas_cl,479,0.2047669911526696,0.1390813397228712,0.6997237414050385,
lcbd_count_sorensen,living_trees,2020,0.07683106853897963,0.013049759132135508,0.30773937552122527,
lcbd_count_sorensen,parcelas_cl dentro de Owner,479,-0.30053698125537226,0.030446676624224903,0.06639298036949172,0.7431492578096515
lcbd_count_sorensen,living_trees dentro de bandas de 2 grados,2020,0.021458369844357523,0.00560638579559659,0.23151030468432174,
td_inext_q0,todas,881,-0.1251845208457579,0.007931482910655104,-0.06738762815018974,
td_inext_q0,parcelas_cl,230,-0.26192022209124666,0.02277950619897378,-0.07274005912737934,
td_inext_q0,living_trees,651,-0.1284435017853279,0.007451736235293201,-0.018393857216775705,
td_inext_q0,parcelas_cl dentro de Owner,230,-0.05123375995867674,0.01319141364387133,-0.008360522280346583,0.06281921681591673
td_inext_q0,living_trees dentro de bandas de 2 grados,651,-0.10188942150841392,0.00463128823713616,-0.006657440390046155,
