target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed,run_id,scheme,family,features,substrate,index,fusion,model
lcbd_count_sorensen,2499,0.3153675298571132,1.7538607825603713e-05,0.2136712880517035,1.4345107524752285e-05,1.253396596946489e-06,0.4930469824865898,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q0,888,-0.0607023741509389,3.6069594931627327,0.1791038157873655,1.911598617332116,-0.7938689035468128,0.1885823453641884,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q1,888,-0.0150582591781611,1.1887723529876133,0.2222901051761045,0.9183847387483792,-0.0964471558319792,0.1565866821962774,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q2,888,-0.0529779344568037,0.9532682772386132,0.2502286378727384,0.7565512901368446,-0.0524120016693446,0.0608642454952605,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q0,895,-0.1054617344139867,11.90532890365406,0.2015489097855918,4.641622781725346,-2.745409876528506,-0.1526282143109989,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q1,895,-0.1055628930211585,2.689046729477311,0.1849470202525532,1.5872884182472515,-0.3360293034813317,0.1120913458139494,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
td_inext_q2,895,-0.0419176240160019,1.670318632794415,0.2107741020209901,1.218879769654303,0.0328963092737961,0.189151315834488,0,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
lcbd_count_sorensen,2499,0.3458489191989612,1.7143733321004145e-05,0.2088605673345554,1.3882879939878896e-05,1.672860001278051e-06,0.5095878137618677,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q0,888,-0.0869504028359651,3.651315481866675,0.1813063153843131,1.917106204803284,-0.8683370526496996,0.1743857265982703,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q1,888,-0.0174293809024426,1.1901599973659895,0.222549582622767,0.9266870936140656,-0.0490288430647472,0.1506688914449582,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
pd_inext_q2,888,-0.0519078257660294,0.9527837656735372,0.2501014557647658,0.7629025390353469,-0.0239197791576971,0.0551044779705451,1,RF03pc_curve-topo_ctr-area_kndvi_raw100_pg-all_unified,kfold_loc_time_unified,RF,curve+topo_ctr+area,,kndvi,none,RF
