target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed
lcbd_count_sorensen,1839,0.1773388462405815,2.6959257261649586e-05,0.20621380590104363,2.1415160557061862e-05,1.8060806722530188e-06,0.3958558573179881,0
pd_inext_q0,747,0.08716790617300463,1.4975105421402588,0.21345166878800392,1.168779183217048,0.03084981687715749,0.3214406798562755,0
pd_inext_q1,747,0.07956444536269847,1.077991937977056,0.21617080446094178,0.8416012065151519,-0.01419308667876772,0.27461163307603303,0
pd_inext_q2,747,0.07475852863970656,0.8809099664154171,0.23401596817899395,0.6886615236711158,-0.042568502343026796,0.26972066945824724,0
td_inext_q0,748,-0.04169356531453472,2.332756048710406,0.232684419764263,1.814127777055359,0.06545916763112784,0.03575957655151687,0
td_inext_q1,748,0.06822506101022308,1.6245967861954544,0.19642580099609833,1.213791106345496,-0.02395655154490093,0.22144400727578661,0
td_inext_q2,748,0.04712713226012666,1.4679597234890147,0.1958782096287419,1.1247960103044201,0.05941617277488576,0.19397857779465494,0
lcbd_count_sorensen,1839,0.18449488062513653,2.684174670204046e-05,0.20531495696409496,2.13393360436213e-05,7.873601232891134e-07,0.4086197325614349,1
pd_inext_q0,747,0.10519340138183886,1.4826513147446525,0.21133366908433604,1.1420416355432255,-0.054430445131723196,0.3515197569909515,1
pd_inext_q1,747,0.0855558757749264,1.0744777003469137,0.2154660908644743,0.836590720527546,-0.029724461872794233,0.2883693781933282,1
pd_inext_q2,747,0.07680902298490722,0.879933300950451,0.23375651451961368,0.6899495653201336,-0.014374316871711599,0.2806986469871781,1
td_inext_q0,748,-0.051039577459233154,2.3431973549404392,0.23372590427056586,1.8289687682314832,0.06221942704738706,0.03144543945570704,1
td_inext_q1,748,0.05987561943880082,1.6318593898850657,0.1973039036485047,1.2407113898176174,0.08894682699886644,0.21595267395910292,1
td_inext_q2,748,0.05101730808047511,1.464960130335205,0.1954779568648674,1.1175233739655879,0.02890933760014157,0.2012776467361332,1
lcbd_count_sorensen,1839,0.18414352293066905,2.6847528418425057e-05,0.20535918183753032,2.1140891433319187e-05,-1.830223476985797e-06,0.4040285607795822,2
pd_inext_q0,747,0.06232607612019758,1.5177504047211499,0.21633661171318463,1.1613775539359144,-0.12369849421707473,0.2892654626210264,2
pd_inext_q1,747,0.056237949276217614,1.0915661883984877,0.21889286251182272,0.8628562978519042,0.046365101508548924,0.2506522232447766,2
pd_inext_q2,747,0.09244267398890094,0.8724509335024674,0.23176880461807178,0.6869578400780615,-0.003402177573921326,0.30546773559619245,2
td_inext_q0,748,-0.033898319365586405,2.324011368309243,0.23181216786878792,1.7816263565743133,-0.1404799743776309,0.03396430635400413,2
td_inext_q1,748,0.06459381135192854,1.6277593417907672,0.19680817742407264,1.2269468683963778,-0.023673752248218716,0.2124965552645959,2
td_inext_q2,748,0.04816046129328666,1.467163553864852,0.1957719721904482,1.100177168566802,-0.07654362324038202,0.19295471248289225,2
