target,n,R2,RMSE,nRMSE,MAE,Bias,spearman,seed,run_id,scheme,family,features,substrate,index,fusion,model
lcbd_count_sorensen,2499,0.4258768540808726,1.606086378341406e-05,0.1956680647602605,1.2690078901279604e-05,-1.0032004214010349e-06,0.578990376268075,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q0,888,0.5715070346397016,2.292536943368332,0.1138360758331496,1.5457333430314446,0.1870230144535129,0.3807486324652062,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,888,0.0160604174962001,1.1704083934032197,0.2188562042301366,0.9265579801052216,0.1303568409488142,0.2031339051137274,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q2,888,0.0813616834177041,0.8903848946555981,0.2337220326029614,0.7046683110532709,-0.012303863352409,0.2969513744743202,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q0,895,0.8014554849090423,5.045433517089369,0.0854156683107622,2.671776949036357,-0.0165456396567763,0.2783368750476871,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q1,895,-0.1019617129626151,2.6846636047505728,0.1846455580842988,1.6774892382735205,0.2235931109507488,0.207104591563403,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
td_inext_q2,895,-0.0290868688380367,1.6600021557197482,0.2094722868171477,1.243654241663798,0.1823644873834565,0.1228560071837017,0,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
lcbd_count_sorensen,2499,0.4189482132300938,1.615748611160638e-05,0.1968452059293143,1.2889231374468006e-05,4.2911928930733874e-07,0.5806967585672185,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q0,888,0.6269010383194902,2.139225244136568,0.1062233731151668,1.4910062553523915,0.0720713540104746,0.3678550871435031,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
pd_inext_q1,888,-0.0009688449273856,1.180493205482438,0.2207419764994334,0.9152217043507354,0.0656745252310578,0.2155986833157215,1,C1D01_curve1d_kndvi_raw100_pg-all_unified_ctr,kfold5_block20_unified,C1D,topo+area,curve1d,kndvi,late,C1D-B
