sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U000002,128825.33951462815,5804107.547494328,-73.21724498897376,-37.83497040491559,2014,2012,2014,13_580,66,Shrubland,2014,0,54,0.21781569469896406,True
U000003,130284.0690250785,5802852.234218635,-73.20135327615776,-37.84684615662291,2014,2012,2014,13_580,59,Primary Forest,2014,0,61,0.2691247531317496,True
U000000,131236.63872672897,5802805.034526083,-73.19057923357065,-37.84765586696659,2022,2020,2022,13_580,66,Shrubland,2022,0,74,0.1654608112771282,True
U000001,127834.79633690958,5799228.238231572,-73.23098189327233,-37.878424860026456,2022,2020,2022,13_580,59,Primary Forest,2022,0,66,0.1940963186112819,True
U000006,125999.45924858836,5805779.109116666,-73.24840843817937,-37.818792612132114,2014,2012,2014,13_581,66,Shrubland,2014,0,58,0.24058416124330634,True
U000007,130302.1349815703,5809566.432696594,-73.1977233699054,-37.78650008588255,2014,2012,2014,13_581,60,Secondary Forest,2014,0,62,0.21014005686665171,True
U000004,127018.45181518566,5805346.439371302,-73.23708517824582,-37.82309828229872,2022,2020,2022,13_581,66,Shrubland,2022,0,66,0.19913365718092407,True
U000005,125039.43908655993,5809088.5555047225,-73.257574886697,-37.78865292096586,2022,2020,2022,13_581,59,Primary Forest,2022,0,72,0.23891121551985225,True
U000008,126898.43059450889,5817466.724439102,-73.2322202953505,-37.71410515131034,2019,2017,2019,13_582,59,Primary Forest,2019,0,65,0.13712787874890955,True
U000009,131370.57703201554,5822817.839258103,-73.1789108049547,-37.66781112696064,2022,2020,2022,13_582,59,Primary Forest,2022,0,79,0.20751885224016156,True
U000010,128524.23990691616,5831193.544285158,-73.20684467768383,-37.59137429665792,2020,2018,2020,13_583,59,Primary Forest,2020,0,72,0.24777749205272118,True
U000011,128650.8302922552,5825718.915996103,-73.20819214650392,-37.64063755133573,2021,2019,2021,13_583,59,Primary Forest,2021,0,74,0.201615336015364,True
