row,scheme,agg,spec,index,question,minutes,hill_q0,hill_q1,hill_q2,lcbd_pa,pcoa1_pa,pcoa2_pa,lcbd_cover,pcoa1_cover,pcoa2_cover,R2_beta,R2_beta_sd,R2_alpha,R2_beta_cover,n_features
X00,kfold5_owner,median,composite_all,,compuesto anual solo: cuanto da sin nada de forma ni fecha,2.36,-0.2705831815873816,-0.674361502163332,-1.0408543448230352,0.0458401582845377,0.2873648740815777,0.1369663618392478,-0.22657474271091,-0.0371187791845771,-0.0568604789105413,0.1567237980684544,0.0194813426857409,-0.6619330095245829,-0.1068513336020095,60
X00,kfold5_window,median,composite_all,,compuesto anual solo: cuanto da sin nada de forma ni fecha,2.78,0.4698708047649164,0.1630965319483359,0.0552066553462226,0.3584506190310914,0.4804398307530233,0.3765638121048837,0.23487188550093,0.2435963385294603,0.2422608852940342,0.4051514206296662,0.0042794310327519,0.2293913306864916,0.2402430364414749,60
X01,kfold5_owner,median,composite_all+topo+area,,el control no fenologico completo,3.01,-0.2793809693415623,-0.7602276022380471,-0.9667290831315144,0.0650761948594162,0.3916498840987527,0.1566518405252043,-0.308150523258839,0.0109808428254668,-0.0202409222207669,0.2044593064944577,0.0163064228836033,-0.6687792182370412,-0.1058035342180463,81
X01,kfold5_window,median,composite_all+topo+area,,el control no fenologico completo,4.04,0.5774632142875676,0.3297491215389113,0.2538176694603021,0.4549635904677309,0.5584626701092658,0.4573915090594787,0.276002016954748,0.3804454654644467,0.3226606347677114,0.4902725898788251,0.0041714338348009,0.3870100017622603,0.3263693723956354,81
X02,kfold5_owner,median,lsp+topo+area,kndvi,"LSP actual, la linea base del campo (= RF01)",2.17,-0.150902603525338,-0.4677629183994782,-0.64531316754132,0.1479946719551642,0.4050296120915055,0.1640396900318755,-0.2220271180641379,0.1006413004074597,0.049124194900733,0.2390213246928484,0.0178172189423322,-0.4213262298220454,-0.024087207585315,39
X02,kfold5_window,median,lsp+topo+area,kndvi,"LSP actual, la linea base del campo (= RF01)",2.11,0.6097354993410902,0.374662125589179,0.2975331635407979,0.4802732933846821,0.5638980032437617,0.4862308423521784,0.2778622934601528,0.3629022871741088,0.3193219918845974,0.5101340463268741,0.003504808277987,0.427310262823689,0.3200288575062863,39
X03,kfold5_owner,median,curve+topo+area,kndvi,LA REFERENCIA: la curva de 52 pasos (= RF03),2.45,-0.2447157105646932,-0.6325581958379146,-0.7928526550296958,0.1697737235007815,0.392863190878141,0.1887477677261119,-0.148598252989757,0.0432447876594496,0.0494564699724003,0.2504615607016781,0.0164067461008139,-0.5567088538107678,-0.018632331785969,73
X03,kfold5_window,median,curve+topo+area,kndvi,LA REFERENCIA: la curva de 52 pasos (= RF03),2.42,0.5941952234482907,0.4133953242097004,0.3371289313277416,0.4868922055137523,0.5574036554534544,0.47602432751058,0.2880438342415022,0.3666997937369185,0.3252943169239791,0.5067733961592623,0.0038961634984034,0.4482398263285775,0.3266793149674666,73
X04,kfold5_owner,median,composite_all+curve+topo+area,kndvi,EL CONTRASTE CENTRAL: la forma aporta SOBRE el compuesto?,3.2,-0.249617534148498,-0.6719490123842239,-0.885247106160462,0.1538299176861721,0.3986282170712028,0.1829473821500294,-0.153768175107258,0.0100912682570315,0.0061570003922086,0.2451351723024681,0.0179325463382372,-0.6022712175643946,-0.0458399688193393,133
X04,kfold5_window,median,composite_all+curve+topo+area,kndvi,EL CONTRASTE CENTRAL: la forma aporta SOBRE el compuesto?,3.17,0.5955708181662182,0.3709920038192653,0.2820844701994811,0.482191947613786,0.5615315411627241,0.4691610419525133,0.3066391804635327,0.3727652853468615,0.3359692283354228,0.5042948435763411,0.0025522686914433,0.4162157640616548,0.3384578980486056,133
