stem,center,mean5x5,delta_center_minus_5x5,block
C1D01_evi,-0.09705001360400861,-0.012417340982415696,-0.08463267262159291,beta
C1D01_kndvi,0.08896751035612896,0.09627842616959231,-0.007310915813463353,beta
C1D01_nbr,0.0579191992537392,0.07389545426963007,-0.015976255015890867,beta
C1D01_ndvi,0.05519928306524871,0.023500083449171136,0.031699199616077575,beta
C1D01_savi,-0.128837761350332,-0.052782225934296406,-0.0760555354160356,beta
RF01_evi,0.14560540439281686,0.1532550208801191,-0.007649616487302252,beta
RF01_kndvi,0.21568429665723635,0.23786377880574172,-0.022179482148505375,beta
RF01_nbr,0.18682788151604293,0.19787411158184257,-0.011046230065799634,beta
RF01_ndvi,0.228358498517891,0.21456192178066824,0.01379657673722276,beta
RF01_savi,0.13912538932500568,0.1425540854126461,-0.0034286960876404315,beta
RF03_evi,0.2289527411737624,0.2386726741296966,-0.00971993295593418,beta
RF03_kndvi,0.2510406287338119,0.25358595440551057,-0.002545325671698684,beta
RF03_nbr,0.1966929656991332,0.22837448018757092,-0.03168151448843773,beta
RF03_ndvi,0.24946197891897764,0.2414325778053255,0.008029401113652135,beta
RF03_savi,0.22401554334516968,0.22744884227772427,-0.0034332989325545904,beta
RF04_evi,0.2161306880019061,0.22683823410496112,-0.010707546103055021,beta
RF04_kndvi,0.24268474350359615,0.2508441545604696,-0.008159411056873456,beta
RF04_nbr,0.1929907550929413,0.2250800770160556,-0.03208932192311428,beta
RF04_ndvi,0.24151756092821364,0.23175835872973394,0.0097592021984797,beta
RF04_savi,0.20540092358815945,0.2137719653719365,-0.008371041783777039,beta
C1D01_evi,-0.6820258640203802,-0.5573824059381816,-0.12464345808219868,alpha
C1D01_kndvi,-0.5597144285364867,-0.2554230852504259,-0.3042913432860608,alpha
C1D01_nbr,-0.5999139203115492,-0.28548793071308587,-0.31442598959846335,alpha
C1D01_ndvi,-0.5825573634540655,-0.3474206368441701,-0.23513672660989537,alpha
C1D01_savi,-0.7154162878874916,-0.35342581521237515,-0.3619904726751164,alpha
RF01_evi,-0.4299061125976734,-0.5288694229450722,0.0989633103473988,alpha
RF01_kndvi,-0.45224573205003643,-0.42829559744527546,-0.023950134604760975,alpha
RF01_nbr,-0.41884940031686274,-0.48435936598362794,0.0655099656667652,alpha
RF01_ndvi,-0.3487703168957517,-0.40997758760836395,0.06120727071261223,alpha
RF01_savi,-0.4863468702252916,-0.534112065643568,0.04776519541827634,alpha
RF03_evi,-0.5605936757410758,-0.6582065694991158,0.09761289375804005,alpha
RF03_kndvi,-0.5705750450984481,-0.5533217603181577,-0.017253284780290423,alpha
RF03_nbr,-0.5841432138993666,-0.6419888605347954,0.057845646635428793,alpha
RF03_ndvi,-0.5567826858272888,-0.5571761338618164,0.00039344803452756594,alpha
RF03_savi,-0.5396426236637901,-0.6110529543383626,0.07141033067457248,alpha
RF04_evi,-0.5072811149314306,-0.6061594328661529,0.09887831793472235,alpha
RF04_kndvi,-0.5535821488672231,-0.5312995841894046,-0.022282564677818528,alpha
RF04_nbr,-0.5436860631128128,-0.5853086919220432,0.0416226288092304,alpha
RF04_ndvi,-0.5352653753394487,-0.5221262768992232,-0.013139098440225538,alpha
RF04_savi,-0.5091714031113785,-0.5929879912451559,0.08381658813377735,alpha
