facet,target,run_id,family,features,index,substrate,n,seeds,R2,R2_sd,nRMSE,nBias,spearman
alpha,hill_q0,B03_coords,BASE,coords,,,1082,3,0.6632576923927324,0.002945889405176989,0.12483044344545173,-0.0017758317310121467,0.7878601289725561
alpha,hill_q1,MLP06_curve_kndvi,MLP,curve,kndvi,tabular,1082,5,0.4605567220492374,0.016441082938613395,0.14859693563418538,-0.0008431178815203873,0.6557047000346998
alpha,hill_q2,MLP06_curve_kndvi,MLP,curve,kndvi,tabular,1082,5,0.4077962069598988,0.021661003471528294,0.14480674806744975,-0.0016315545282720647,0.5839388368395191
beta_cover,lcbd_cover,B03_coords,BASE,coords,,,546,3,0.411305849841959,0.006843025410886599,0.2040335718902321,-0.00797292975334679,0.6156969531531971
beta_cover,pcoa1_cover,RF03_curve-topo-area_nbr_v2,RF,curve+topo+area,nbr,,546,3,0.39408625738956554,0.008601398262017636,0.21984500460370063,0.02618093222197645,0.6549731377484477
beta_cover,pcoa2_cover,RF06_curve_all-topo-area,RF,curve_all+topo+area,,,546,3,0.33987929784927734,0.009772165162789868,0.19398194360532997,0.0033962153949698057,0.6100585090795199
beta_pa,lcbd_pa,B03_coords,BASE,coords,,,1082,3,0.507049176579632,0.003601099848707256,0.17574181087956373,0.0012595139095190864,0.7004802046941448
beta_pa,pcoa1_pa,RF03_curve-topo-area_evi,RF,curve+topo+area,evi,,1082,3,0.5737832742348173,0.004775554904390993,0.15973012991916288,-0.0005130338568455469,0.7697185927286908
beta_pa,pcoa2_pa,B03_coords,BASE,coords,,,1082,3,0.5036559919937398,0.0038415485813271073,0.16422364104194986,0.0027736432328066434,0.7330071555649319
dark,dark_n,MLP06_curve_kndvi,MLP,curve,kndvi,tabular,1082,5,0.4142288840713733,0.015969791710786094,0.18331080280401174,-0.007387665711228154,0.6645734468573425
phylo,mntd,C1D01_curve1d_kndvi_ctxclim-topo-area,C1D,clim+topo+area,kndvi,curve1d,969,5,0.21133019800428293,0.010944817858761306,0.1859878864917642,0.0012904058476783079,0.4375451649520075
phylo,mpd,RF04_lsp-curve-topo-area_ndvi,RF,lsp+curve+topo+area,ndvi,,969,3,0.15909593530237234,0.008066902196830799,0.16081994979386302,0.0039700144747517,0.4405452435923476
phylo,ses_mntd,RF01_lsp-topo-area_nbr,RF,lsp+topo+area,nbr,,969,3,0.17253208159208713,0.0006907376212292126,0.17624236141584904,0.005243029540311012,0.3500783014167716
phylo,ses_mpd,MLP06_curve_kndvi,MLP,curve,kndvi,tabular,969,5,0.2104190382121276,0.013063121817419629,0.16151375486784084,-0.0009547545659678938,0.3723089375994467
phylo,ses_pd,RF04_lsp-curve-topo-area_kndvi,RF,lsp+curve+topo+area,kndvi,,969,3,0.20006976229262138,0.0026512153178045285,0.16144502547753722,-0.0007834495191453283,0.3376852049304795
