run_id,family,features,index,substrate,fusion,model,facet,target,n,seeds,R2,R2_sd,nRMSE,RMSE,Bias,nBias,spearman
B03_coords,BASE,coords,,,none,RF,alpha,hill_q0,1082,3,0.6632576923927324,0.002945889405176989,0.12483044344545173,4.392783304845454,-0.06249151861431753,-0.0017758317310121467,0.7878601289725561
RF03_curve-topo-area_nbr,RF,curve+topo+area,nbr,,none,RF,alpha,hill_q0,1082,3,0.6529228117008623,0.010108987486718487,0.12672343973114789,4.459397844139104,-0.47008665234758656,-0.013358529478476433,0.7636433439862405
RF04_lsp-curve-topo-area_nbr,RF,lsp+curve+topo+area,nbr,,none,RF,alpha,hill_q0,1082,3,0.6527031322608142,0.007961884429447449,0.12676693277249532,4.460928364264119,-0.4755662364778103,-0.013514243719176167,0.7539133573580008
RF01_lsp-topo-area_nbr,RF,lsp+topo+area,nbr,,none,RF,alpha,hill_q0,1082,3,0.641521099171491,0.011369917855995781,0.12878642500701076,4.531994295996718,-0.5401050750725634,-0.015348254477765345,0.7496811615830891
RF03_curve-topo-area_nbr_v2,RF,curve+topo+area,nbr,,none,RF,alpha,hill_q0,1082,3,0.6411133246769366,0.008084348814905778,0.12886495279238167,4.534757688763919,-0.4815163100093974,-0.013683327934339204,0.7479723601571671
RF02_lsp-qc-topo-area_nbr,RF,lsp+qc+topo+area,nbr,,none,RF,alpha,hill_q0,1082,3,0.6389252698561266,0.0069061713503109105,0.12925871264148595,4.5486140978539,-0.5408843345246434,-0.01537039882138796,0.7469364646311677
RF03_curve-topo-area_evi,RF,curve+topo+area,evi,,none,RF,alpha,hill_q0,1082,3,0.629297808317857,0.007293114896853248,0.13097037905222123,4.608847638847674,-0.46352234736338177,-0.013171990547410653,0.756208360708281
RF03_curve-topo-area_savi,RF,curve+topo+area,savi,,none,RF,alpha,hill_q0,1082,3,0.6287266702970596,0.00775633543297928,0.13107069162929638,4.612377638434947,-0.48401990676824297,-0.013754473053942659,0.7525998977641705
RF04_lsp-curve-topo-area_evi,RF,lsp+curve+topo+area,evi,,none,RF,alpha,hill_q0,1082,3,0.6278354121565544,0.00985644746437937,0.13122504891232037,4.617809471224564,-0.5213202706534785,-0.014814443610499503,0.7533783555714159
RF04_lsp-curve-topo-area_savi,RF,lsp+curve+topo+area,savi,,none,RF,alpha,hill_q0,1082,3,0.6240784401812663,0.006866564253919797,0.1318897519710112,4.641200371859893,-0.5198766344578802,-0.014773419564020437,0.7508260017392954
RF03_curve-topo-area_savi_v2,RF,curve+topo+area,savi,,none,RF,alpha,hill_q0,1082,3,0.6237362871423611,0.007253121052526086,0.13194934568497738,4.643297474654362,-0.42383480027613557,-0.012044183014382913,0.7350039140587636
RF03_curve-topo-area_evi_v2,RF,curve+topo+area,evi,,none,RF,alpha,hill_q0,1082,3,0.6224486693720078,0.007417641109495004,0.13217476838534045,4.651230099480138,-0.44325978507376446,-0.012596185992434318,0.7363769358450863
